Sport,Season,Rank,Team,W,L
WVB,2009-10,1,Texas,29,2
WVB,2009-10,2,Penn St.,38,0
WVB,2009-10,3,Florida St.,31,3
WVB,2009-10,4,Illinois,26,6
WVB,2009-10,5,Minnesota,28,9
WVB,2009-10,6,Iowa St.,27,5
WVB,2009-10,7,Nebraska,26,7
WVB,2009-10,8,Stanford,23,8
WVB,2009-10,9,Michigan,27,10
WVB,2009-10,10,California,21,11
WVB,2009-10,11,Hawaii,32,3
WVB,2009-10,12,Washington,24,6
WVB,2009-10,13,UCLA,24,9
WVB,2009-10,14,Florida,25,6
WVB,2009-10,15,LSU,25,7
WVB,2009-10,16,UNI,31,3
WVB,2009-10,17,Tennessee,24,8
WVB,2009-10,18,FIU,32,4
WVB,2009-10,19,Colorado St.,25,6
WVB,2009-10,20,Dayton,30,4
WVB,2009-10,21,Kentucky,29,5
WVB,2009-10,22,Notre Dame,21,7
WVB,2009-10,23,Oregon,20,10
WVB,2009-10,24,Wichita St.,26,7
WVB,2009-10,25,Southern California,22,10
WVB,2009-10,26,Ohio,27,7
WVB,2009-10,27,St. Louis,24,8
WVB,2009-10,28,Ohio St.,25,10
WVB,2009-10,29,Arizona,19,11
WVB,2009-10,30,Baylor,24,10
WVB,2009-10,31,Duke,27,6
WVB,2009-10,32,Middle Tenn.,25,10
WVB,2009-10,33,Texas A&M,20,11
WVB,2009-10,34,TCU,27,7
WVB,2009-10,35,St. Mary's (CA),23,5
WVB,2009-10,36,Lipscomb,28,4
WVB,2009-10,37,Rice,23,9
WVB,2009-10,38,Tulane,18,10
WVB,2009-10,39,Louisville,21,11
WVB,2009-10,40,Long Beach St.,22,9
WVB,2009-10,41,Michigan St.,17,16
WVB,2009-10,42,New Mexico,20,10
WVB,2009-10,43,Delaware,21,8
WVB,2009-10,44,Cincinnati,25,11
WVB,2009-10,45,North Dakota St.,23,4
WVB,2009-10,46,Miami (FL),18,13
WVB,2009-10,47,UC Santa Barbara,22,8
WVB,2009-10,48,Furman,26,4
WVB,2009-10,49,Georgia Tech,21,10
WVB,2009-10,50,Pittsburgh,20,11
WVB,2009-10,50,Oklahoma,18,12
WVB,2009-10,52,Missouri St.,21,10
WVB,2009-10,53,Kansas,16,14
WVB,2009-10,54,Western Mich.,24,11
WVB,2009-10,55,Washington St.,18,13
WVB,2009-10,56,Southern Miss.,27,5
WVB,2009-10,57,Xavier,20,12
WVB,2009-10,58,Albany (NY),22,9
WVB,2009-10,59,George Mason,23,9
WVB,2009-10,60,San Diego,18,7
WVB,2009-10,61,Purdue,14,17
WVB,2009-10,62,Tulsa,26,7
WVB,2009-10,63,Northwestern,16,16
WVB,2009-10,64,Missouri,18,14
WVB,2009-10,65,VCU,27,9
WVB,2009-10,66,New Mexico St.,20,9
WVB,2009-10,67,Clemson,23,10
WVB,2009-10,68,UC Irvine,22,8
WVB,2009-10,69,South Fla.,18,10
WVB,2009-10,70,Pepperdine,16,11
WVB,2009-10,71,Virginia Tech,19,12
WVB,2009-10,72,Western Ky.,25,9
WVB,2009-10,73,SMU,19,12
WVB,2009-10,74,Penn,23,6
WVB,2009-10,75,Oregon St.,12,18
WVB,2009-10,76,Jacksonville St.,27,8
WVB,2009-10,77,Yale,21,4
WVB,2009-10,78,Indiana,17,17
WVB,2009-10,79,Wisconsin,11,18
WVB,2009-10,80,Marshall,22,9
WVB,2009-10,81,Auburn,16,15
WVB,2009-10,82,North Carolina,15,16
WVB,2009-10,83,Marquette,18,12
WVB,2009-10,84,Portland St.,21,8
WVB,2009-10,85,Utah,17,12
WVB,2009-10,86,Creighton,14,17
WVB,2009-10,87,Temple,14,12
WVB,2009-10,88,George Washington,21,12
WVB,2009-10,89,Arizona St.,13,17
WVB,2009-10,90,Syracuse,21,11
WVB,2009-10,91,Central Ark.,27,3
WVB,2009-10,92,Col. of Charleston,18,13
WVB,2009-10,93,Cal St. Fullerton,18,12
WVB,2009-10,94,UC Davis,20,10
WVB,2009-10,95,Iowa,13,19
WVB,2009-10,96,Santa Clara,17,12
WVB,2009-10,97,Northern Colo.,21,12
WVB,2009-10,98,BYU,15,14
WVB,2009-10,99,Drake,22,12
WVB,2009-10,100,Texas St.,22,13
WVB,2009-10,101,Virginia,12,19
WVB,2009-10,102,Army,26,6
WVB,2009-10,103,Miami (OH),17,14
WVB,2009-10,104,Georgia,17,14
WVB,2009-10,105,Liberty,20,14
WVB,2009-10,106,San Diego St.,14,15
WVB,2009-10,107,Southern Ill.,18,12
WVB,2009-10,108,South Carolina,14,16
WVB,2009-10,109,William & Mary,18,11
WVB,2009-10,110,Cleveland St.,26,8
WVB,2009-10,111,Kansas St.,12,18
WVB,2009-10,112,New Orleans,20,13
WVB,2009-10,113,Winthrop,19,11
WVB,2009-10,114,San Francisco,13,14
WVB,2009-10,115,Belmont,18,15
WVB,2009-10,116,Eastern Wash.,18,11
WVB,2009-10,117,Villanova,16,13
WVB,2009-10,118,Central Mich.,17,13
WVB,2009-10,119,Austin Peay,22,9
WVB,2009-10,120,Ga. Southern,21,10
WVB,2009-10,121,Fla. Gulf Coast,18,13
WVB,2009-10,122,Jacksonville,19,9
WVB,2009-10,123,Valparaiso,22,11
WVB,2009-10,124,Morehead St.,21,11
WVB,2009-10,125,IPFW,20,12
WVB,2009-10,126,Utah Valley,22,10
WVB,2009-10,127,Wake Forest,11,20
WVB,2009-10,128,Pacific,17,11
WVB,2009-10,129,Connecticut,14,17
WVB,2009-10,130,UAB,17,16
WVB,2009-10,131,Coastal Caro.,20,14
WVB,2009-10,132,Florida A&M,17,10
WVB,2009-10,133,IUPUI,20,10
WVB,2009-10,134,Illinois St.,12,17
WVB,2009-10,135,Northeastern,15,12
WVB,2009-10,136,Milwaukee,16,15
WVB,2009-10,137,Colorado,7,22
WVB,2009-10,138,Toledo,17,12
WVB,2009-10,139,North Dakota,22,6
WVB,2009-10,140,Samford,17,14
WVB,2009-10,141,Arkansas,13,18
WVB,2009-10,142,American,18,13
WVB,2009-10,143,West Virginia,17,13
WVB,2009-10,144,Stephen F. Austin,24,13
WVB,2009-10,145,Fairfield,19,12
WVB,2009-10,146,Elon,23,8
WVB,2009-10,147,Niagara,23,9
WVB,2009-10,148,Denver,16,17
WVB,2009-10,149,Arkansas St.,22,11
WVB,2009-10,150,Charlotte,15,17
WVB,2009-10,151,Butler,21,14
WVB,2009-10,152,Oakland,17,10
WVB,2009-10,153,Ball St.,15,16
WVB,2009-10,154,Evansville,14,16
WVB,2009-10,155,Montana,14,14
WVB,2009-10,156,Loyola Marymount,12,17
WVB,2009-10,157,Georgetown,14,16
WVB,2009-10,158,Buffalo,16,16
WVB,2009-10,159,Northern Ill.,14,16
WVB,2009-10,160,Kent St.,14,17
WVB,2009-10,161,Sam Houston St.,20,14
WVB,2009-10,162,UMBC,13,13
WVB,2009-10,163,Kennesaw St.,17,12
WVB,2009-10,164,Alabama,8,22
WVB,2009-10,165,Princeton,11,14
WVB,2009-10,166,Mississippi,10,20
WVB,2009-10,167,Duquesne,16,14
WVB,2009-10,168,Binghamton,15,16
WVB,2009-10,168,Md.-East. Shore,24,7
WVB,2009-10,170,UALR,16,14
WVB,2009-10,171,Gonzaga,10,18
WVB,2009-10,172,UNLV,8,19
WVB,2009-10,173,Lamar,15,14
WVB,2009-10,174,UCF,12,18
WVB,2009-10,175,Harvard,12,13
WVB,2009-10,176,UTSA,12,19
WVB,2009-10,177,Maryland,14,19
WVB,2009-10,178,Appalachian St.,14,17
WVB,2009-10,179,UNC Asheville,25,10
WVB,2009-10,180,Troy,12,18
WVB,2009-10,181,Texas-Arlington,12,17
WVB,2009-10,182,Colgate,15,13
WVB,2009-10,183,Long Island,21,14
WVB,2009-10,184,Cal Poly,9,20
WVB,2009-10,185,Bowling Green,13,20
WVB,2009-10,186,Oral Roberts,12,15
WVB,2009-10,187,Murray St.,13,18
WVB,2009-10,188,Seton Hall,12,19
WVB,2009-10,189,Idaho,15,15
WVB,2009-10,190,Mississippi St.,9,22
WVB,2009-10,191,Boston College,12,19
