Sport,Season,Team,W,L,Rank,Conf
WVB,2021-22,North Texas,15,12,124,C-USA
WVB,2021-22,New Mexico,20,10,125,Mountain West
WVB,2021-22,Indiana St.,18,13,126,MVC
WVB,2021-22,FIU,9,13,127,C-USA
WVB,2021-22,Murray St.,18,12,128,OVC
WVB,2021-22,Michigan St.,11,18,129,Big Ten
WVB,2021-22,TCU,8,18,130,Big 12
WVB,2021-22,Sacred Heart,19,10,131,NEC
WVB,2021-22,UNC Greensboro,23,7,132,SoCon
WVB,2021-22,Cal Poly,15,16,133,Big West
WVB,2021-22,Troy,18,13,134,Sun Belt
WVB,2021-22,Wyoming,16,14,135,Mountain West
WVB,2021-22,Tulane,18,14,136,AAC
WVB,2021-22,UNI,12,19,137,MVC
WVB,2021-22,Toledo,20,13,138,MAC
WVB,2021-22,Virginia Tech,12,18,139,ACC
WVB,2021-22,Mercer,16,12,140,SoCon
WVB,2021-22,Ga. Southern,17,11,141,Sun Belt
WVB,2021-22,Austin Peay,21,12,142,OVC
WVB,2021-22,Saint Mary's (CA),15,12,143,WCC
WVB,2021-22,South Dakota St.,19,12,144,Summit League
WVB,2021-22,Oklahoma,10,17,145,Big 12
WVB,2021-22,Ohio,12,19,146,MAC
WVB,2021-22,N.C. A&T,20,11,147,Big South
WVB,2021-22,Tulsa,14,16,148,AAC
WVB,2021-22,Dartmouth,15,8,149,Ivy League
WVB,2021-22,American,19,14,150,Patriot
WVB,2021-22,UAB,11,14,151,C-USA
WVB,2021-22,Tennessee Tech,16,14,152,OVC
WVB,2021-22,Montana St.,15,14,153,Big Sky
WVB,2021-22,Delaware,15,13,154,CAA
WVB,2021-22,Houston Baptist,21,9,155,Southland
WVB,2021-22,Army West Point,17,9,156,Patriot
WVB,2021-22,Hofstra,15,14,157,CAA
WVB,2021-22,Butler,16,16,158,Big East
WVB,2021-22,Indiana,10,22,159,Big Ten
WVB,2021-22,Marshall,9,16,160,C-USA
WVB,2021-22,UTSA,8,16,161,C-USA
WVB,2021-22,UMBC,19,12,162,America East
WVB,2021-22,Auburn,13,15,163,SEC
WVB,2021-22,Northeastern,12,15,164,CAA
WVB,2021-22,Lipscomb,14,13,165,ASUN
WVB,2021-22,Long Beach St.,16,15,166,Big West
WVB,2021-22,Middle Tenn.,9,12,167,C-USA
WVB,2021-22,Lafayette,15,10,168,Patriot
WVB,2021-22,Arkansas St.,15,14,169,Sun Belt
WVB,2021-22,McNeese,18,11,170,Southland
WVB,2021-22,Florida A&M,25,7,171,SWAC
WVB,2021-22,Oakland,15,15,172,Horizon
WVB,2021-22,CSU Bakersfield,18,11,173,Big West
WVB,2021-22,Pacific,13,17,174,WCC
WVB,2021-22,Northern Ill.,16,13,175,MAC
WVB,2021-22,Chicago St.,17,11,176,WAC
WVB,2021-22,Loyola Maryland,17,11,177,Patriot
WVB,2021-22,Oral Roberts,18,11,178,Summit League
WVB,2021-22,Sacramento St.,16,12,179,Big Sky
WVB,2021-22,Fla. Atlantic,11,14,179,C-USA
WVB,2021-22,Fresno St.,12,14,181,Mountain West
WVB,2021-22,Alabama,10,20,182,SEC
WVB,2021-22,Harvard,10,13,183,Ivy League
WVB,2021-22,Winthrop,18,10,184,Big South
WVB,2021-22,Seton Hall,14,18,185,Big East
WVB,2021-22,UC Irvine,17,13,186,Big West
