Sport,Season,Rank,Team,W,L
WVB,2010-11,1,Penn St.,32,5
WVB,2010-11,2,Stanford,27,4
WVB,2010-11,3,Florida,29,2
WVB,2010-11,4,California,30,4
WVB,2010-11,5,Southern California,29,5
WVB,2010-11,6,Nebraska,29,3
WVB,2010-11,7,Illinois,24,9
WVB,2010-11,8,UNI,30,3
WVB,2010-11,9,Minnesota,26,9
WVB,2010-11,10,Texas,27,6
WVB,2010-11,11,Purdue,24,11
WVB,2010-11,12,Dayton,28,4
WVB,2010-11,13,Duke,27,7
WVB,2010-11,14,Hawaii,29,3
WVB,2010-11,15,Tennessee,25,7
WVB,2010-11,16,Cincinnati,30,6
WVB,2010-11,17,LSU,25,5
WVB,2010-11,18,Washington,24,9
WVB,2010-11,19,Oklahoma,23,11
WVB,2010-11,20,UCLA,22,9
WVB,2010-11,21,North Carolina,25,10
WVB,2010-11,22,Colorado St.,26,5
WVB,2010-11,23,Tulsa,31,3
WVB,2010-11,24,Indiana,23,12
WVB,2010-11,25,Northwestern,20,13
WVB,2010-11,26,Miami (FL),23,9
WVB,2010-11,27,Louisville,23,8
WVB,2010-11,28,Middle Tenn.,29,6
WVB,2010-11,29,Ohio St.,24,12
WVB,2010-11,30,Wichita St.,21,8
WVB,2010-11,31,Florida St.,22,11
WVB,2010-11,32,Creighton,21,12
WVB,2010-11,33,Iowa St.,20,9
WVB,2010-11,34,San Diego,24,6
WVB,2010-11,35,Cal St. Fullerton,26,6
WVB,2010-11,36,Virginia Tech,20,12
WVB,2010-11,37,Long Beach St.,25,8
WVB,2010-11,38,Arizona,20,12
WVB,2010-11,39,Western Ky.,27,9
WVB,2010-11,40,Missouri,22,11
WVB,2010-11,41,Michigan,23,10
WVB,2010-11,42,Missouri St.,21,10
WVB,2010-11,43,New Mexico,20,10
WVB,2010-11,44,Auburn,21,13
WVB,2010-11,45,SMU,25,6
WVB,2010-11,46,Mississippi,19,11
WVB,2010-11,47,Marquette,23,9
WVB,2010-11,48,Michigan St.,15,16
WVB,2010-11,49,Western Mich.,22,10
WVB,2010-11,50,Ball St.,24,5
WVB,2010-11,51,Oregon,19,11
WVB,2010-11,52,Pepperdine,20,8
WVB,2010-11,53,Kentucky,17,14
WVB,2010-11,54,Georgia Tech,18,14
WVB,2010-11,55,Delaware,26,6
WVB,2010-11,56,Villanova,23,7
WVB,2010-11,57,Northern Ill.,27,8
WVB,2010-11,58,St. Louis,19,13
WVB,2010-11,59,Milwaukee,20,9
WVB,2010-11,60,St. Mary's (CA),20,8
WVB,2010-11,61,Xavier,20,10
WVB,2010-11,62,Utah St.,24,9
WVB,2010-11,63,UC Santa Barbara,16,13
WVB,2010-11,64,Cal Poly,22,7
WVB,2010-11,65,Lipscomb,24,7
WVB,2010-11,66,Clemson,18,13
WVB,2010-11,67,Col. of Charleston,29,6
WVB,2010-11,68,Central Ark.,28,8
WVB,2010-11,69,Wisconsin,16,15
WVB,2010-11,70,Wake Forest,19,12
WVB,2010-11,71,Virginia,14,16
WVB,2010-11,72,Drake,23,11
WVB,2010-11,73,Ga. Southern,27,9
WVB,2010-11,74,Maryland,19,13
WVB,2010-11,75,New Mexico St.,18,13
WVB,2010-11,76,Eastern Mich.,24,11
WVB,2010-11,77,American,29,3
WVB,2010-11,78,Baylor,16,15
WVB,2010-11,79,Ohio,22,13
WVB,2010-11,80,Utah,17,14
WVB,2010-11,81,Notre Dame,18,13
WVB,2010-11,82,Pacific,19,11
WVB,2010-11,83,Arizona St.,13,18
WVB,2010-11,84,Northern Colo.,24,7
WVB,2010-11,85,Illinois St.,19,14
