Sport,Season,Rank,Team,W,L
WVB,2016-17,152,Texas Tech,10,21
WVB,2016-17,153,LSU,9,20
WVB,2016-17,154,Arkansas,9,21
WVB,2016-17,155,Howard,26,6
WVB,2016-17,156,Louisville,12,18
WVB,2016-17,157,UNCG,18,13
WVB,2016-17,158,North Florida,18,14
WVB,2016-17,159,Northwestern,10,22
WVB,2016-17,160,CSU Bakersfield,14,15
WVB,2016-17,161,Sacred Heart,22,8
WVB,2016-17,162,Loyola Chicago,14,18
WVB,2016-17,163,UT Arlington,17,16
WVB,2016-17,164,UC Irvine,13,18
WVB,2016-17,165,Mississippi St.,14,18
WVB,2016-17,166,Columbia,14,10
WVB,2016-17,167,St. Mary's (CA),11,18
WVB,2016-17,168,Virginia Tech,13,18
WVB,2016-17,169,SFA,20,11
WVB,2016-17,170,Liberty,16,13
WVB,2016-17,171,Memphis,15,17
WVB,2016-17,172,Colgate,18,11
WVB,2016-17,173,UMKC,15,13
WVB,2016-17,174,St. John's (NY),16,15
WVB,2016-17,175,California,9,21
WVB,2016-17,176,Duquesne,18,12
WVB,2016-17,177,Campbell,16,16
WVB,2016-17,178,Belmont,16,12
WVB,2016-17,179,Fla. Atlantic,15,14
WVB,2016-17,180,Navy,20,9
WVB,2016-17,181,Ill.-Chicago,16,14
WVB,2016-17,182,Seattle U,13,15
WVB,2016-17,183,Elon,18,15
WVB,2016-17,184,Valparaiso,15,19
WVB,2016-17,185,Drake,17,15
WVB,2016-17,186,Alabama St.,24,9
WVB,2016-17,187,North Texas,13,19
WVB,2016-17,188,Tennessee St.,17,16
WVB,2016-17,189,Georgia,13,18
WVB,2016-17,190,IUPUI,12,20
WVB,2016-17,191,Western Mich.,12,19
WVB,2016-17,192,East Carolina,15,15
WVB,2016-17,193,LIU Brooklyn,16,15
WVB,2016-17,194,Mercer,15,14
WVB,2016-17,195,San Jose St.,12,18
WVB,2016-17,196,UMBC,17,9
WVB,2016-17,197,Wright St.,9,20
WVB,2016-17,198,South Ala.,16,14
WVB,2016-17,199,Eastern Wash.,13,13
WVB,2016-17,200,Kent St.,15,15
WVB,2016-17,201,Cornell,12,12
WVB,2016-17,202,Harvard,9,14
WVB,2016-17,203,North Dakota St.,14,18
WVB,2016-17,204,Idaho,11,18
WVB,2016-17,205,Florida A&M,17,12
WVB,2016-17,206,Houston Baptist,18,15
WVB,2016-17,207,Wofford,17,15
WVB,2016-17,208,Little Rock,12,18
WVB,2016-17,209,UMES,18,13
WVB,2016-17,210,Ball St.,13,18
WVB,2016-17,211,Central Ark.,16,14
WVB,2016-17,212,Rutgers,4,29
WVB,2016-17,213,Binghamton,13,14
WVB,2016-17,214,UTEP,8,22
WVB,2016-17,215,Penn,10,16
WVB,2016-17,216,Youngstown St.,8,22
WVB,2016-17,217,Furman,11,19
WVB,2016-17,218,Weber St.,14,13
WVB,2016-17,219,Central Mich.,11,17
WVB,2016-17,220,Texas Southern,22,11
WVB,2016-17,221,Oral Roberts,17,15
WVB,2016-17,222,USC Upstate,14,19
WVB,2016-17,223,Syracuse,7,23
WVB,2016-17,224,Jacksonville,9,19
WVB,2016-17,225,Marist,13,17
WVB,2016-17,226,Clemson,6,26
WVB,2016-17,227,Ga. Southern,15,18
WVB,2016-17,228,Bryant,19,15
WVB,2016-17,229,William & Mary,8,21
WVB,2016-17,230,George Washington,11,18
WVB,2016-17,231,Indiana St.,10,20
WVB,2016-17,232,Fort Wayne,13,18
WVB,2016-17,233,FIU,9,19
WVB,2016-17,234,Wake Forest,9,22
WVB,2016-17,235,Georgetown,7,24
WVB,2016-17,236,Boston College,8,22
WVB,2016-17,237,Central Conn. St.,14,13
WVB,2016-17,238,Virginia,7,25
WVB,2016-17,239,Davidson,10,19
WVB,2016-17,240,Eastern Ky.,15,15
WVB,2016-17,241,Lehigh,13,17
WVB,2016-17,242,Winthrop,15,17
WVB,2016-17,243,Abilene Christian,12,19
WVB,2016-17,244,Dartmouth,9,16
WVB,2016-17,245,Houston,5,26
WVB,2016-17,246,Incarnate Word,12,17
WVB,2016-17,247,Northwestern St.,12,20
WVB,2016-17,248,Providence,13,21
WVB,2016-17,249,Georgia St.,10,18
WVB,2016-17,250,Stony Brook,8,21
WVB,2016-17,251,Eastern Mich.,8,21
WVB,2016-17,252,Quinnipiac,21,13
WVB,2016-17,253,Air Force,10,21
WVB,2016-17,254,Robert Morris,14,16
WVB,2016-17,255,Louisiana Tech,13,17
WVB,2016-17,256,Evansville,5,26
WVB,2016-17,257,UNC Asheville,12,16
WVB,2016-17,258,Holy Cross,10,19
WVB,2016-17,259,Montana St.,5,20
WVB,2016-17,260,Brown,5,19
WVB,2016-17,261,La Salle,10,20
WVB,2016-17,262,UT Martin,9,22
WVB,2016-17,263,Western Caro.,11,19
WVB,2016-17,264,San Francisco,4,27
WVB,2016-17,265,UC Riverside,8,20
WVB,2016-17,266,Omaha,8,22
WVB,2016-17,267,Morehead St.,11,20
WVB,2016-17,268,Lamar University,6,22
WVB,2016-17,269,Rider,17,14
WVB,2016-17,270,Siena,12,18
WVB,2016-17,271,Bradley,7,22
WVB,2016-17,272,Troy,10,23
WVB,2016-17,273,Fordham,11,18
WVB,2016-17,274,Niagara,12,19
WVB,2016-17,275,George Mason,7,20
WVB,2016-17,276,Montana,5,21
WVB,2016-17,277,UAB,11,19
WVB,2016-17,278,Middle Tenn.,5,24
WVB,2016-17,279,Bethune-Cookman,10,21
WVB,2016-17,280,UMass Lowell,6,22
WVB,2016-17,281,Hartford,6,20
WVB,2016-17,282,Charleston So.,13,20
WVB,2016-17,283,Charlotte,7,23
WVB,2016-17,284,McNeese,10,22
WVB,2016-17,285,Louisiana,10,21
WVB,2016-17,286,La.-Monroe,9,25
WVB,2016-17,287,Gardner-Webb,13,18
WVB,2016-17,288,Cal St. Fullerton,6,24
WVB,2016-17,289,Tennessee Tech,7,22
WVB,2016-17,290,Akron,8,20
WVB,2016-17,291,Jacksonville St.,18,19
WVB,2016-17,292,Southern Utah,4,24
WVB,2016-17,293,Southeast Mo. St.,7,23
WVB,2016-17,294,Grand Canyon,6,21
WVB,2016-17,295,Southern U.,14,14
WVB,2016-17,296,Stetson,4,25
WVB,2016-17,297,South Dakota St.,5,23
WVB,2016-17,298,Appalachian St.,4,25
WVB,2016-17,299,Manhattan,12,20
WVB,2016-17,300,Southeastern La.,7,23
WVB,2016-17,301,Presbyterian,5,26
