Sport,Season,Rank,Team,W,L
WVB,2015-16,1,Nebraska,32,4
WVB,2015-16,2,Texas,30,3
WVB,2015-16,3,Minnesota,30,5
WVB,2015-16,4,Southern California,33,3
WVB,2015-16,5,Florida,25,7
WVB,2015-16,6,Kansas,30,3
WVB,2015-16,7,Wisconsin,26,7
WVB,2015-16,8,Washington,31,3
WVB,2015-16,9,Texas A&M,24,7
WVB,2015-16,10,Penn St.,28,6
WVB,2015-16,11,BYU,28,4
WVB,2015-16,12,UCLA,25,8
WVB,2015-16,13,Stanford,23,7
WVB,2015-16,14,Creighton,27,9
WVB,2015-16,15,Hawaii,29,2
WVB,2015-16,16,Western Ky.,32,4
WVB,2015-16,17,Ohio St.,25,10
WVB,2015-16,18,Missouri,27,6
WVB,2015-16,19,Loyola Marymount,24,9
WVB,2015-16,20,Arkansas St.,28,2
WVB,2015-16,21,Louisville,25,7
WVB,2015-16,22,Dayton,27,6
WVB,2015-16,23,Illinois,21,13
WVB,2015-16,24,Kentucky,21,10
WVB,2015-16,25,Colorado St.,26,4
WVB,2015-16,26,Iowa St.,19,11
WVB,2015-16,27,North Carolina,21,10
WVB,2015-16,28,Florida St.,25,8
WVB,2015-16,29,San Diego,22,10
WVB,2015-16,30,Wichita St.,27,9
WVB,2015-16,31,Michigan,20,13
WVB,2015-16,32,Purdue,23,10
WVB,2015-16,33,Northern Ariz.,28,5
WVB,2015-16,34,SMU,27,6
WVB,2015-16,35,Missouri St.,24,11
WVB,2015-16,36,Marquette,22,12
WVB,2015-16,37,Santa Clara,22,9
WVB,2015-16,38,Michigan St.,19,14
WVB,2015-16,39,Villanova,25,9
WVB,2015-16,40,Arizona St.,19,13
WVB,2015-16,41,Southern Ill.,23,10
WVB,2015-16,42,Wyoming,23,7
WVB,2015-16,43,Boise St.,23,7
WVB,2015-16,44,Miami (FL),21,10
WVB,2015-16,44,Oregon,16,14
WVB,2015-16,46,Pittsburgh,23,9
WVB,2015-16,47,Baylor,17,13
WVB,2015-16,48,Long Beach St.,25,6
WVB,2015-16,49,Ohio,25,8
WVB,2015-16,50,Arizona,19,14
WVB,2015-16,51,Lipscomb,23,9
WVB,2015-16,52,TCU,19,10
WVB,2015-16,53,Northwestern,14,17
WVB,2015-16,54,UNI,19,15
WVB,2015-16,55,Kansas St.,17,12
WVB,2015-16,56,Idaho St.,23,10
WVB,2015-16,57,Syracuse,23,8
WVB,2015-16,58,UNCW,24,8
WVB,2015-16,59,Virginia,18,13
WVB,2015-16,60,American,28,7
WVB,2015-16,61,Arkansas,17,13
WVB,2015-16,62,Cleveland St.,26,7
WVB,2015-16,62,New Mexico St.,28,6
WVB,2015-16,64,UTSA,24,9
WVB,2015-16,65,Xavier,18,12
WVB,2015-16,66,Colorado,19,13
WVB,2015-16,67,A&M-Corpus Christi,31,5
WVB,2015-16,68,Pacific,17,13
WVB,2015-16,69,Auburn,18,12
WVB,2015-16,70,Saint Louis,22,10
WVB,2015-16,71,Oklahoma,12,16
WVB,2015-16,72,Temple,24,8
WVB,2015-16,73,Illinois St.,22,10
WVB,2015-16,74,Rice,21,10
WVB,2015-16,75,James Madison,22,8
WVB,2015-16,76,Duke,17,13
WVB,2015-16,77,Chattanooga,26,6
WVB,2015-16,78,Sacramento St.,26,7
WVB,2015-16,79,Pepperdine,17,14
WVB,2015-16,80,Appalachian St.,22,8
WVB,2015-16,81,Furman,21,9
WVB,2015-16,82,Virginia Tech,19,13
WVB,2015-16,83,Towson,26,6
WVB,2015-16,84,Coastal Caro.,25,5
WVB,2015-16,85,Denver,27,8
WVB,2015-16,86,Cincinnati,21,10
WVB,2015-16,87,Col. of Charleston,20,13
WVB,2015-16,88,North Texas,20,13
WVB,2015-16,89,Indiana,16,16
WVB,2015-16,90,Gonzaga,16,15
WVB,2015-16,91,Fla. Atlantic,18,11
WVB,2015-16,92,Iowa,12,21
WVB,2015-16,93,Alabama,17,15
WVB,2015-16,94,Northern Ill.,19,11
WVB,2015-16,95,Ole Miss,22,11
WVB,2015-16,96,FGCU,21,11
WVB,2015-16,97,Maryland,15,19
WVB,2015-16,98,Kent St.,20,10
WVB,2015-16,99,Oakland,18,13
WVB,2015-16,100,Murray St.,27,3
WVB,2015-16,101,Rhode Island,20,9
WVB,2015-16,102,Kennesaw St.,19,9
WVB,2015-16,103,Cal Poly,19,8
WVB,2015-16,104,George Washington,21,11
WVB,2015-16,105,Texas St.,19,12
WVB,2015-16,106,Hofstra,21,11
WVB,2015-16,107,New Mexico,17,14
WVB,2015-16,108,Southern Miss.,24,11
WVB,2015-16,109,Tulsa,15,17
WVB,2015-16,110,Tennessee,21,12
WVB,2015-16,111,Georgia Tech,18,14
WVB,2015-16,112,Miami (OH),21,10
WVB,2015-16,113,IUPUI,21,10
WVB,2015-16,114,Washington St.,16,16
WVB,2015-16,115,Little Rock,14,14
WVB,2015-16,116,UNCG,22,11
WVB,2015-16,117,Portland,16,15
WVB,2015-16,118,San Francisco,17,14
WVB,2015-16,119,Loyola Chicago,20,12
WVB,2015-16,120,Army West Point,21,10
WVB,2015-16,121,Texas-Arlington,19,10
WVB,2015-16,122,Valparaiso,27,8
WVB,2015-16,123,UCF,15,17
WVB,2015-16,124,North Dakota St.,19,12
WVB,2015-16,125,St. John's (NY),18,15
WVB,2015-16,126,UC Davis,15,15
WVB,2015-16,127,ETSU,19,12
WVB,2015-16,128,Memphis,19,14
WVB,2015-16,129,CSU Bakersfield,13,15
WVB,2015-16,130,Mississippi St.,17,15
WVB,2015-16,131,Jacksonville,12,16
WVB,2015-16,132,LSU,9,20
WVB,2015-16,133,Utah,10,21
WVB,2015-16,134,Harvard,15,11
WVB,2015-16,135,Central Ark.,16,13
WVB,2015-16,136,Samford,15,12
WVB,2015-16,137,Albany (NY),17,9
WVB,2015-16,138,North Florida,21,11
WVB,2015-16,139,North Dakota,21,13
WVB,2015-16,140,New Hampshire,21,9
WVB,2015-16,141,UConn,16,15
WVB,2015-16,142,Seton Hall,14,16
WVB,2015-16,143,UC Irvine,13,15
WVB,2015-16,144,Houston,19,13
WVB,2015-16,145,Princeton,15,9
WVB,2015-16,145,San Diego St.,12,19
WVB,2015-16,147,Butler,12,19
WVB,2015-16,148,Oregon St.,6,24
WVB,2015-16,149,Indiana St.,17,16
WVB,2015-16,150,Seattle,18,11
WVB,2015-16,151,South Fla.,11,21
WVB,2015-16,152,Northern Colo.,14,16
WVB,2015-16,153,South Carolina,13,18
WVB,2015-16,154,North Carolina St.,16,16
WVB,2015-16,155,FIU,15,13
WVB,2015-16,156,Lehigh,19,13
WVB,2015-16,157,UNLV,16,14
WVB,2015-16,158,Fairfield,21,10
WVB,2015-16,159,Marshall,16,14
WVB,2015-16,160,UMKC,15,13
WVB,2015-16,161,Dartmouth,12,11
WVB,2015-16,162,Omaha,19,13
WVB,2015-16,163,South Ala.,13,15
WVB,2015-16,164,Western Mich.,15,18
WVB,2015-16,165,Yale,15,9
WVB,2015-16,166,Belmont,17,15
WVB,2015-16,167,Liberty,14,14
WVB,2015-16,168,Stephen F. Austin,20,14
WVB,2015-16,169,Texas Tech,14,16
WVB,2015-16,170,Green Bay,17,13
WVB,2015-16,171,Boston College,12,20
WVB,2015-16,172,Milwaukee,9,21
WVB,2015-16,173,Idaho,14,16
