Sport,Season,Rank,Team,W,L
WSB,2014-15,1,Florida,60,7
WSB,2014-15,2,LSU,52,14
WSB,2014-15,3,Auburn,56,11
WSB,2014-15,4,Michigan,60,8
WSB,2014-15,5,Oregon,51,8
WSB,2014-15,6,Alabama,48,15
WSB,2014-15,7,UCLA,51,12
WSB,2014-15,8,Florida St.,49,14
WSB,2014-15,9,Tennessee,47,17
WSB,2014-15,10,La.-Lafayette,42,12
WSB,2014-15,11,Missouri,42,16
WSB,2014-15,12,Oklahoma,49,9
WSB,2014-15,13,James Madison,48,10
WSB,2014-15,14,Georgia,44,17
WSB,2014-15,15,Arizona,41,20
WSB,2014-15,16,UCF,50,9
WSB,2014-15,17,Hofstra,38,14
WSB,2014-15,18,Baylor,41,17
WSB,2014-15,19,Minnesota,49,11
WSB,2014-15,20,Arizona St.,36,22
WSB,2014-15,21,Texas A&M,40,20
WSB,2014-15,22,Kentucky,32,26
WSB,2014-15,23,California,39,18
WSB,2014-15,24,Kansas,40,15
WSB,2014-15,25,Notre Dame,42,15
WSB,2014-15,26,Washington,42,17
WSB,2014-15,27,Utah,36,19
WSB,2014-15,28,South Ala.,40,13
WSB,2014-15,29,North Carolina St.,38,22
WSB,2014-15,30,Western Ky.,36,14
WSB,2014-15,31,Texas,38,17
WSB,2014-15,32,South Carolina,38,22
WSB,2014-15,33,North Dakota St.,45,11
WSB,2014-15,34,Mississippi St.,36,21
WSB,2014-15,35,Fla. Atlantic,39,19
WSB,2014-15,36,North Carolina,37,16
WSB,2014-15,37,Northwestern,28,23
WSB,2014-15,38,San Diego St.,38,20
WSB,2014-15,39,USC Upstate,44,10
WSB,2014-15,40,Georgia St.,38,22
WSB,2014-15,41,Nebraska,35,23
WSB,2014-15,42,Chattanooga,35,15
WSB,2014-15,43,New Mexico St.,47,16
WSB,2014-15,44,Fordham,38,20
WSB,2014-15,45,Fresno St.,40,16
WSB,2014-15,46,Pittsburgh,37,22
WSB,2014-15,47,Virginia Tech,34,23
WSB,2014-15,48,UAB,32,19
WSB,2014-15,49,SIUE,43,16
WSB,2014-15,50,Louisville,30,19
WSB,2014-15,51,CSUN,41,17
WSB,2014-15,52,Cal St. Fullerton,34,22
