Sport,Season,Rank,Team,W,L
WSB,2018-19,1,Oklahoma,57,6
WSB,2018-19,2,UCLA,56,6
WSB,2018-19,3,Washington,52,9
WSB,2018-19,4,Arizona,48,14
WSB,2018-19,5,Florida St.,55,10
WSB,2018-19,6,Alabama,60,10
WSB,2018-19,7,Minnesota,46,14
WSB,2018-19,8,Texas,46,17
WSB,2018-19,9,Oklahoma St.,45,17
WSB,2018-19,10,Florida,49,18
WSB,2018-19,11,James Madison,51,10
WSB,2018-19,12,Northwestern,47,13
WSB,2018-19,13,LSU,43,19
WSB,2018-19,14,Michigan,45,13
WSB,2018-19,15,Ole Miss,41,20
WSB,2018-19,16,Kentucky,36,24
WSB,2018-19,17,Tennessee,43,17
WSB,2018-19,18,Louisiana,52,6
WSB,2018-19,19,Texas Tech,42,16
WSB,2018-19,20,Auburn,39,21
WSB,2018-19,21,North Carolina,38,20
WSB,2018-19,22,Drake,43,16
WSB,2018-19,23,South Carolina,38,19
WSB,2018-19,24,Arizona St.,35,20
WSB,2018-19,25,Georgia,42,19
WSB,2018-19,26,Missouri,35,25
WSB,2018-19,27,Virginia Tech,47,11
WSB,2018-19,28,Mississippi St.,35,23
WSB,2018-19,29,Wisconsin,43,14
WSB,2018-19,30,Tulsa,37,20
WSB,2018-19,31,Stanford,33,20
WSB,2018-19,32,South Fla.,41,19
WSB,2018-19,33,Arkansas,38,20
WSB,2018-19,34,Louisville,35,23
WSB,2018-19,35,Boise St.,36,16
WSB,2018-19,36,Houston,39,19
WSB,2018-19,37,Notre Dame,37,18
WSB,2018-19,38,Colorado St.,39,12
WSB,2018-19,39,Ohio St.,35,18
WSB,2018-19,40,Lipscomb,42,15
WSB,2018-19,41,Illinois,33,25
WSB,2018-19,42,Oregon St.,26,19
WSB,2018-19,43,Southern Ill.,34,15
WSB,2018-19,44,Louisiana Tech,45,16
WSB,2018-19,45,UNLV,36,14
WSB,2018-19,46,Cal St. Fullerton,38,18
WSB,2018-19,47,North Dakota St.,42,16
WSB,2018-19,48,Iowa St.,37,25
WSB,2018-19,49,San Jose St.,37,16
WSB,2018-19,50,Texas A&M,28,27
WSB,2018-19,51,UCF,34,21
WSB,2018-19,52,Indiana,36,21
WSB,2018-19,53,UT Arlington,36,27
WSB,2018-19,54,North Texas,35,19
WSB,2018-19,55,Liberty,40,22
WSB,2018-19,56,Seattle U,40,17
WSB,2018-19,57,Western Ky.,37,13
WSB,2018-19,58,Baylor,18,31
WSB,2018-19,59,Southeast Mo. St.,46,18
WSB,2018-19,60,Oregon,22,30
WSB,2018-19,61,Wichita St.,32,24
WSB,2018-19,62,Sam Houston St.,35,23
WSB,2018-19,63,Fresno St.,37,20
WSB,2018-19,64,Texas St.,29,25
WSB,2018-19,65,Troy,37,20
WSB,2018-19,66,California,28,27
WSB,2018-19,67,LMU (CA),40,21
WSB,2018-19,68,UC Davis,39,14
WSB,2018-19,69,Marshall,42,22
WSB,2018-19,70,Longwood,37,22
WSB,2018-19,71,Elon,33,20
WSB,2018-19,72,New Mexico St.,33,22
WSB,2018-19,73,UNC Greensboro,33,23
WSB,2018-19,74,Grand Canyon,33,24
WSB,2018-19,75,Kent St.,28,26
WSB,2018-19,76,Coastal Caro.,39,21
WSB,2018-19,77,DePaul,35,16
WSB,2018-19,78,Jacksonville St.,36,15
WSB,2018-19,79,Miami (OH),35,16
WSB,2018-19,80,Long Beach St.,25,25
WSB,2018-19,81,USC Upstate,41,15
WSB,2018-19,82,Nicholls St.,34,22
WSB,2018-19,83,FGCU,29,22
WSB,2018-19,84,NC State,31,27
WSB,2018-19,85,McNeese,33,32
WSB,2018-19,86,Bradley,29,21
WSB,2018-19,87,Missouri St.,30,21
WSB,2018-19,88,Duke,25,31
WSB,2018-19,89,Rutgers,29,26
WSB,2018-19,90,Georgia Tech,31,27
WSB,2018-19,91,Eastern Ky.,35,22
WSB,2018-19,92,Purdue,34,29
WSB,2018-19,93,Hawaii,33,16
WSB,2018-19,94,UNI,28,23
WSB,2018-19,95,Nevada,29,27
WSB,2018-19,96,Chattanooga,37,17
WSB,2018-19,97,Boston U.,37,20
WSB,2018-19,98,Southern Miss.,30,22
WSB,2018-19,99,San Diego St.,25,26
WSB,2018-19,100,Utah,19,35
WSB,2018-19,101,Nebraska,21,31
WSB,2018-19,102,Ohio,34,21
WSB,2018-19,103,Austin Peay,33,22
WSB,2018-19,104,North Florida,30,24
WSB,2018-19,105,BYU,30,26
WSB,2018-19,106,SFA,36,23
WSB,2018-19,107,South Dakota St.,37,19
WSB,2018-19,108,Weber St.,27,21
WSB,2018-19,109,North Ala.,26,20
WSB,2018-19,110,Appalachian St.,31,25
WSB,2018-19,111,Iowa,19,32
WSB,2018-19,112,Stony Brook,32,19
WSB,2018-19,113,St. John's (NY),26,22
WSB,2018-19,114,UMass Lowell,28,20
WSB,2018-19,115,George Washington,44,18
WSB,2018-19,116,Virginia,22,31
WSB,2018-19,117,Toledo,29,28
WSB,2018-19,118,Northern Ill.,27,25
WSB,2018-19,119,FIU,26,25
WSB,2018-19,120,LIU Brooklyn,36,18
WSB,2018-19,121,Towson,27,27
WSB,2018-19,122,Belmont,31,23
WSB,2018-19,123,Maryland,20,31
WSB,2018-19,124,Ball St.,34,20
WSB,2018-19,125,UIC,32,23
WSB,2018-19,126,Middle Tenn.,29,30
WSB,2018-19,127,Monmouth,36,18
WSB,2018-19,128,East Carolina,23,31
WSB,2018-19,129,Murray St.,26,27
WSB,2018-19,130,Southeastern La.,34,23
WSB,2018-19,131,Syracuse,21,32
WSB,2018-19,132,Winthrop,30,25
WSB,2018-19,133,Villanova,29,24
WSB,2018-19,134,CSUN,26,28
WSB,2018-19,135,Illinois St.,18,33
WSB,2018-19,136,South Dakota,33,28
WSB,2018-19,137,Fordham,29,26
WSB,2018-19,138,Memphis,22,33
WSB,2018-19,139,Providence,30,22
WSB,2018-19,140,Albany (NY),26,17
WSB,2018-19,141,Massachusetts,26,22
WSB,2018-19,142,Northwestern St.,30,27
WSB,2018-19,143,UNCW,26,28
WSB,2018-19,144,Lehigh,27,28
WSB,2018-19,145,Col. of Charleston,26,30
WSB,2018-19,146,South Alabama,18,31
WSB,2018-19,147,Fla. Atlantic,20,30
WSB,2018-19,148,Kansas,15,36
WSB,2018-19,149,Hofstra,20,27
WSB,2018-19,150,Penn St.,24,32
WSB,2018-19,151,Samford,23,31
WSB,2018-19,152,Campbell,26,28
WSB,2018-19,153,UConn,21,29
WSB,2018-19,154,UAB,19,31
WSB,2018-19,155,Harvard,25,19
WSB,2018-19,156,Central Mich.,22,28
WSB,2018-19,157,UC Riverside,26,27
WSB,2018-19,158,Loyola Chicago,25,25
WSB,2018-19,159,Boston College,18,35
WSB,2018-19,160,Saint Joseph's,28,25
WSB,2018-19,161,Utah St.,17,30
WSB,2018-19,162,Sacramento St.,31,25
WSB,2018-19,163,New Mexico,12,41
WSB,2018-19,164,Kennesaw St.,26,29
WSB,2018-19,165,Michigan St.,16,34
WSB,2018-19,166,UTSA,21,31
WSB,2018-19,167,Bucknell,28,24
WSB,2018-19,168,Western Ill.,20,20
WSB,2018-19,169,Saint Francis (PA),29,31
WSB,2018-19,170,Radford,25,34
WSB,2018-19,171,Mercer,27,29
WSB,2018-19,172,Delaware,22,29
WSB,2018-19,173,Ga. Southern,23,28
WSB,2018-19,174,UTEP,17,33
WSB,2018-19,175,Gardner-Webb,30,24
WSB,2018-19,176,Creighton,20,24
