Sport,Season,Team,W,L,Rank,Conf
WSB,2019-20,Missouri St.,7,12,124,MVC
WSB,2019-20,Bradley,14,9,125,MVC
WSB,2019-20,Tennessee Tech,10,9,126,OVC
WSB,2019-20,North Dakota St.,7,16,127,Summit League
WSB,2019-20,Rutgers,9,14,128,Big Ten
WSB,2019-20,Eastern Ill.,11,10,129,OVC
WSB,2019-20,George Washington,8,13,130,Atlantic 10
WSB,2019-20,Virginia,8,12,131,ACC
WSB,2019-20,Ga. Southern,13,10,132,Sun Belt
WSB,2019-20,Indiana St.,11,12,133,MVC
WSB,2019-20,Toledo,9,9,134,MAC
WSB,2019-20,Army,11,9,135,Patriot
WSB,2019-20,Central Ark.,15,9,136,Southland
WSB,2019-20,Montana,12,12,136,Big Sky
WSB,2019-20,Longwood,8,11,138,Big South
WSB,2019-20,Northwestern St.,15,7,138,Southland
WSB,2019-20,South Alabama,8,16,140,Sun Belt
WSB,2019-20,Southeastern La.,15,7,141,Southland
WSB,2019-20,Youngstown St.,8,5,142,Horizon
WSB,2019-20,ETSU,9,13,143,SoCon
WSB,2019-20,Elon,11,10,144,CAA
WSB,2019-20,Loyola Chicago,12,9,145,MVC
WSB,2019-20,Syracuse,10,10,146,ACC
WSB,2019-20,Southeast Mo. St.,12,5,147,OVC
WSB,2019-20,San Diego,15,12,148,WCC
WSB,2019-20,Utah St.,13,11,149,Mountain West
WSB,2019-20,Charlotte,13,13,150,C-USA
WSB,2019-20,UC Riverside,13,12,151,Big West
WSB,2019-20,Nicholls St.,12,14,152,Southland
WSB,2019-20,Columbia,5,5,153,Ivy League
WSB,2019-20,Samford,9,15,154,SoCon
WSB,2019-20,Kent St.,9,10,155,MAC
WSB,2019-20,UNI,7,14,156,MVC
WSB,2019-20,USC Upstate,16,6,157,Big South
WSB,2019-20,Canisius,8,9,158,MAAC
WSB,2019-20,Murray St.,12,10,158,OVC
WSB,2019-20,La.-Monroe,10,13,160,Sun Belt
WSB,2019-20,Ohio,9,15,161,MAC
WSB,2019-20,Kansas City,6,13,162,WAC
WSB,2019-20,Mercer,10,16,163,SoCon
WSB,2019-20,Saint Mary's (CA),7,17,164,WCC
WSB,2019-20,Presbyterian,16,7,165,Big South
WSB,2019-20,Monmouth,11,9,166,MAAC
WSB,2019-20,A&M-Corpus; Christi,6,16,167,Southland
WSB,2019-20,Hawaii,9,13,168,Big West
WSB,2019-20,Sam Houston St.,9,15,169,Southland
WSB,2019-20,Valparaiso,9,10,170,MVC
WSB,2019-20,Col. of Charleston,10,9,171,CAA
WSB,2019-20,Pittsburgh,7,11,172,ACC
WSB,2019-20,Lamar University,8,12,173,Southland
WSB,2019-20,Evansville,11,11,174,MVC
WSB,2019-20,Omaha,12,12,175,Summit League
WSB,2019-20,Furman,7,17,176,SoCon
WSB,2019-20,Dartmouth,4,6,177,Ivy League
WSB,2019-20,Southern Miss.,14,7,178,C-USA
WSB,2019-20,St. John's (NY),7,15,179,Big East
WSB,2019-20,Towson,8,7,180,CAA
WSB,2019-20,North Carolina,9,13,181,ACC
WSB,2019-20,Wright St.,7,11,182,Horizon
WSB,2019-20,Penn St.,11,14,183,Big Ten
WSB,2019-20,Princeton,4,4,184,Ivy League
WSB,2019-20,Creighton,11,10,185,Big East
WSB,2019-20,UC Santa Barbara,12,15,186,Big West
WSB,2019-20,UT Martin,12,10,187,OVC
WSB,2019-20,Appalachian St.,12,9,188,Sun Belt
WSB,2019-20,DePaul,8,12,189,Big East
WSB,2019-20,Portland St.,6,17,190,Big Sky
WSB,2019-20,Central Mich.,4,11,191,MAC
WSB,2019-20,Idaho St.,7,14,192,Big Sky
WSB,2019-20,Bucknell,8,10,193,Patriot
WSB,2019-20,Stetson,11,14,194,ASUN
WSB,2019-20,California Baptist,10,14,195,WAC
WSB,2019-20,Northern Ky.,9,9,196,Horizon
WSB,2019-20,Marist,10,9,197,MAAC
WSB,2019-20,Abilene Christian,7,17,198,Southland
WSB,2019-20,Southern Utah,5,14,199,Big Sky
WSB,2019-20,Western Caro.,3,11,200,SoCon
WSB,2019-20,Campbell,10,14,201,Big South
WSB,2019-20,Fla. Atlantic,7,13,202,C-USA
WSB,2019-20,Saint Joseph's,4,10,203,Atlantic 10
WSB,2019-20,Seton Hall,10,13,204,Big East
WSB,2019-20,Houston Baptist,12,10,205,Southland
WSB,2019-20,Oakland,7,11,206,Horizon
WSB,2019-20,Massachusetts,4,7,207,Atlantic 10
WSB,2019-20,New Mexico,11,14,208,Mountain West
WSB,2019-20,Georgia St.,7,15,209,Sun Belt
WSB,2019-20,Georgetown,8,15,210,Big East
WSB,2019-20,Robert Morris,8,11,211,NEC
WSB,2019-20,Santa Clara,8,16,212,WCC
WSB,2019-20,Sacred Heart,8,8,213,NEC
WSB,2019-20,Belmont,5,13,214,OVC
WSB,2019-20,Fordham,7,13,215,Atlantic 10
WSB,2019-20,Austin Peay,9,12,216,OVC
WSB,2019-20,South Dakota,11,15,217,Summit League
WSB,2019-20,UMass Lowell,6,9,218,America East
WSB,2019-20,Siena,1,8,219,MAAC
WSB,2019-20,Albany (NY),6,5,220,America East
WSB,2019-20,Texas Southern,6,13,221,SWAC
WSB,2019-20,Drake,8,16,222,MVC
WSB,2019-20,Louisiana Tech,8,16,223,C-USA
WSB,2019-20,Green Bay,4,15,224,Horizon
WSB,2019-20,Fairfield,3,9,225,MAAC
WSB,2019-20,Akron,6,19,226,MAC
WSB,2019-20,Bryant,3,10,227,NEC
WSB,2019-20,Charleston So.,10,9,228,Big South
