Sport,Season,Rank,Team,W,L
WSB,2015-16,1,Oklahoma,57,8
WSB,2015-16,2,Florida,56,7
WSB,2015-16,3,Auburn,58,12
WSB,2015-16,4,Michigan,52,7
WSB,2015-16,5,Florida St.,55,10
WSB,2015-16,6,Alabama,51,14
WSB,2015-16,7,James Madison,50,6
WSB,2015-16,8,LSU,52,18
WSB,2015-16,9,Washington,39,15
WSB,2015-16,10,Oregon,48,10
WSB,2015-16,11,Missouri,42,16
WSB,2015-16,12,UL Lafayette,46,9
WSB,2015-16,13,UCLA,40,16
WSB,2015-16,14,Baylor,45,14
WSB,2015-16,15,Tennessee,43,16
WSB,2015-16,16,Georgia,46,20
WSB,2015-16,17,Texas A&M,39,20
WSB,2015-16,18,Kentucky,45,14
WSB,2015-16,19,Arizona,40,21
WSB,2015-16,20,Minnesota,43,14
WSB,2015-16,21,Fresno St.,42,12
WSB,2015-16,22,South Fla.,45,16
WSB,2015-16,23,Utah,35,21
WSB,2015-16,24,South Carolina,38,23
WSB,2015-16,25,Cal St. Fullerton,45,16
WSB,2015-16,26,UCF,38,22
WSB,2015-16,27,Ole Miss,41,22
WSB,2015-16,28,Fla. Atlantic,51,9
WSB,2015-16,29,Oregon St.,30,20
WSB,2015-16,30,Texas,38,16
WSB,2015-16,31,Oklahoma St.,32,26
WSB,2015-16,32,Notre Dame,43,13
WSB,2015-16,33,McNeese St.,43,14
WSB,2015-16,34,Nebraska,35,21
WSB,2015-16,35,California,33,24
WSB,2015-16,36,North Carolina,32,25
WSB,2015-16,37,Long Beach St.,33,22
WSB,2015-16,38,Arizona St.,31,26
WSB,2015-16,39,Mississippi St.,26,31
WSB,2015-16,40,Ohio St.,34,20
WSB,2015-16,41,Tulsa,35,21
WSB,2015-16,42,Texas St.,40,22
WSB,2015-16,43,Wichita St.,36,21
WSB,2015-16,44,Virginia Tech,29,28
WSB,2015-16,45,Northwestern,27,28
WSB,2015-16,46,South Ala.,33,18
WSB,2015-16,47,Illinois,36,23
WSB,2015-16,48,Kansas,31,20
WSB,2015-16,49,Louisville,35,17
WSB,2015-16,50,BYU,36,21
WSB,2015-16,51,Jacksonville St.,43,17
WSB,2015-16,52,Samford,40,20
WSB,2015-16,53,USC Upstate,43,15
WSB,2015-16,54,North Dakota St.,39,15
WSB,2015-16,55,Grand Canyon,35,15
WSB,2015-16,56,Boston College,30,23
