SCHOOL,NO.,NAME,POS.,HT.,WT.,YEAR,HOMETOWN/PREVIOUS_SCHOOL,HIGH_SCHOOL,LAST_SCHOOL
Rutgers,4,Aaron Young,RB,5-10,200,Jr.,"Coatesville, Pa. / Coatesville",,
Rutgers,5,Kessawn Abraham,DB,5-10,190,Sr.,"Brooklyn, N.Y. / Erasmus Hall",,
Rutgers,5,Sean Ryan,WR,6-4,200,Sr.,"Brooklyn, N.Y. / Erasmus Hall",,
Rutgers,6,Christian Braswell,DB,5-11,185,Sr.,"Washington, D.C. / Friendship College Academy",,
Rutgers,6,Christian Dremel,WR,5-9,185,Jr.,"Caldwell, N.J. / Don Bosco Prep",,
Rutgers,7,Shameen Jones,WR,6-2,185,Sr.,"Bronx, N.Y. / Cardinal Hayes",,
Rutgers,7,Robert Longerbeam,DB,5-11,170,So.,"Alexandria, Va. / T.C. Williams",,
Rutgers,8,Mohamed Toure,DL,6-2,235,Jr.,"Pleasantville, N.J. / Pleasantville",,
Rutgers,8,Jamier Wright-Collins,RB,6-1,215,So.,"Paterson, N.J. / John F. Kennedy",,
Rutgers,9,Chris Long,WR,6-0,175,So.,"Willingboro, N.J. / Willingboro",,
Rutgers,10,Matt Alaimo,TE,6-5,250,Sr.,"Paramus, N.J. / St. Joseph Regional [Montvale]",,
Rutgers,10,Shawn Collins,DL,6-5,250,So.,"Montclair, N.J. / Montclair",,
Rutgers,11,Don Munnerlyn,WR,6-5,215,So.,"Columbus, Ohio / Independence",,
Rutgers,11,Cam'Ron Stewart,DL,6-5,250,So.,"Shillington, Pa. / Governor Mifflin",,
Rutgers,12,Khayri Banton,LB,6-3,225,So.,"East Orange, N.J. / West Side",,
Rutgers,12,Kenny Fletcher,DL,6-3,220,Fr.,"Delran, N.J. / Delran",,
Rutgers,12,Brandon Sanders,WR,5-11,205,Sr.,"Downingtown, Pa. / St. Joseph’s Prep",,
Rutgers,13,Nasir Montgomery,WR,6-1,190,So.,"East Orange, N.J. / East Orange",,
Rutgers,14,Jordan Thompson,DL,6-2,250,So.,"Parsippany, N.J. / Parsippany Hills",,
Rutgers,14,Isaiah Washington,WR,6-3,205,Jr.,"Jacksonville, Fla. / Trinity Christian Academy",,
Rutgers,15,Carnell Davis,DB,6-1,180,So.,"Galloway, N.J. / Eau Gallie [Fla.]",,
Rutgers,15,Max Patterson,WR,6-0,180,So.,"Arlington, Va. / Yorktown",,
Rutgers,16,Thomas Amankwaa,WR,6-0,205,Fr.,"Hillsborough, N.J. / Hillsborough",,
Rutgers,16,Max Melton,DB,6-0,190,So.,"Mays Landing, N.J. / Cedar Creek",,
Rutgers,17,Deion Jennings,LB,6-1,225,Sr.,"Sicklerville, N.J. / Timber Creek",,
Rutgers,17,Gavin Rupp,QB,6-2,205,So.,"Tampa, Fla. / Berkeley Prep",,
Rutgers,18,Keenan Reid,DB,5-10,180,Sr.,"Somerset, N.J. / Franklin",,
Rutgers,18,Rashad Rochelle,WR,5-11,170,Fr.,"Springfield, Ill. / Springfield",,
Rutgers,19,Austin Albericci,QB,5-10,175,Sr.,"Closter, N.J. / Demarest",,
Rutgers,20,Elijuwan Mack,DB,5-11,185,So.,"Newark, N.J. / St. Joseph Regional [Montvale]",,
Rutgers,21,Johnny Langan,TE,6-3,235,Sr.,"Wayne, N.J. / Bergen Catholic",,
Rutgers,21,Adrian Taffe,DB,6-2,200,So.,"Hackensack, N.J. / Bergen Catholic",,
Rutgers,22,Tyreem Powell,LB,6-5,235,So.,"Vineland, N.J. / Vineland South",,
Rutgers,23,Wesley Bailey,DL,6-5,245,So.,"Ottawa, Ontario, Canada / Clearwater Academy International [Fla.]",,
Rutgers,23,Kyle Monangai,RB,5-9,205,So.,"Roseland, N.J. / Don Bosco Prep",,
Rutgers,24,Brian Ugwu,DL,6-3,240,Jr.,"Hillside, N.J. / Hillside",,
Rutgers,25,Shaquan Loyal,DB,6-0,200,So.,"Newark, N.J. / West Side",,
Rutgers,26,Al-Shadee Salaam,RB,5-10,190,So.,"East Orange, N.J. / East Orange",,
Rutgers,28,Damon Matthews,DB,5-10,180,Jr.,"Pine Hill, N.J. / Overbrook",,
Rutgers,29,Timmy Ward,WR,6-0,190,So.,"Canton, Pa. / Canton",,
Rutgers,31,Michael Robinson II,DB,5-11,190,So.,"Montclair, N.J. / Montclair",,
Rutgers,32,Rani Abdulaziz,DB,5-10,195,Sr.,"Roseland, N.J. / West Essex",,
Rutgers,33,Parker Day,RB,5-10,190,Sr.,"Toms River, N.J. / Toms River North",,
Rutgers,33,Andrew Vince,LB,6-4,230,So.,"Schwenksville, Pa. / Souderton",,
Rutgers,34,Q'yaeir Price,DL,6-2,255,Fr.,"Paterson, N.J. / DePaul Catholic",,
Rutgers,36,Dominick Williams,LB,6-1,215,Sr.,"Rahway, N.J. / Rahway",,
Rutgers,37,Joe Lusardi,DB,5-11,190,So.,"Summit, N.J. / Summit",,
Rutgers,38,Austin Dean,LB,6-2,225,So.,"Tampa, Fla. / Berkeley Prep",,
Rutgers,39,Amir Byrd,DB,5-7,165,Jr.,"Mount Laurel, N.J. / Lenape",,
Rutgers,39,Nyjon Freeman,RB,6-0,220,So.,"Hoboken, N.J. / Hoboken",,
Rutgers,40,Connor Hebbeler,TE,6-1,230,Sr.,"Franklin Lakes, N.J. / Bergen Catholic",,
Rutgers,41,Todd Bowles Jr.,DB,5-11,185,So.,"Tampa, Fla. / Jesuit",,
Rutgers,41,Jordan Kinsler,RB,5-10,175,So.,"Franklin Park, N.J. / St. Joseph [Metuchen]",,
Rutgers,43,Dami Awoyinfa,LB,6-1,220,So.,"Linden, N.J. / Linden",,
Rutgers,44,Anthony Johnson,LB,6-1,240,Fr.,"Philadelphia, Pa. / Neumann Goretti",,
Rutgers,46,Brendan Shank,LS,6-0,225,Sr.,"Franklin Township, N.J. / St. Joseph [Metuchen]",,
Rutgers,48,Kyonte Hamilton,DL,6-4,270,So.,"District Heights, Md. / Georgetown Prep",,
Rutgers,49,Zack Taylor,LS,5-11,215,So.,"Parsippany, N.J. / Parsippany Hills",,
Rutgers,50,CJ Hanson,OL,6-5,310,Jr.,"Jackson, N.J. / St. John Vianney",,
Rutgers,51,Curtis Dunlap Jr.,OL,6-5,335,Sr.,"Jacksonville, Fla. / IMG Academy",,
Rutgers,51,Troy Rainey,DL,6-4,285,So.,"Bridgeport, Conn. / Harding",,
Rutgers,53,Mike Ciaffoni,OL,6-3,295,Jr.,"Sudbury, Mass. / Lincoln-Sudbury",,
Rutgers,55,Zaire Angoy,DL,6-3,325,So.,"Irvington, N.J. / Irvington",,
Rutgers,55,J.D. DiRenzo,OL,6-6,315,Sr.,"Hammonton, N.J. / St. Joseph Academy",,
Rutgers,55,Kamar Missouri,OL,6-5,295,So.,"Baltimore, Md. / Mergenthaler Vo-Tech",,
Rutgers,56,Sean Cooper,DL,6-5,235,So.,"Stanhope, N.J. / Lenape Valley",,
Rutgers,56,Tyler Needham,OL,6-4,300,So.,"Newton, Pa. / William Penn Charter",,
Rutgers,57,Ireland Brown,OL,6-3,295,Jr.,"Jamaica, N.Y. / Pope John XXIII",,
Rutgers,57,Stanley Dennis II,DL,5-11,280,So.,"Jersey City, N.J. / St. Peter's Prep",,The Taft School
Rutgers,58,David Nwaogwugwu,OL,6-5,305,Sr.,"Bronx, N.Y. / DeWitt Clinton",,
Rutgers,59,Gus Zilinskas,OL,6-2,295,So.,"Englewood, Colo. / Cherry Creek",,
Rutgers,60,Moses Gbagbe-Sowah,OL,6-1,295,So.,"Newark, N.J. / West Side",,
Rutgers,65,Bryan Felter,OL,6-3,305,So.,"Westfield, N.J. / Bergen Catholic",,
Rutgers,69,Kwabena Asamoah,OL,6-2,330,Fr.,"Pickerington, Ohio / Pickerington Central",,
Rutgers,69,Caleb Patterson,DL,6-2,260,So.,"Jamesville, N.Y. / Jamesville-DeWitt",,
Rutgers,70,Reggie Sutton,OL,6-4,310,Sr.,"Baltimore, Md. / Calvert Hall",,
Rutgers,71,Aaron Lewis,DL,6-5,250,So.,"Williamstown, N.J. / Williamstown",,
Rutgers,72,Hollin Pierce,OL,6-8,330,So.,"Trenton, N.J. / Trenton Central",,Fork Union Military Academy
Rutgers,73,Terrence Salami,OL,6-2,290,So.,"Willingboro, N.J. / Holy Cross Prep",,
Rutgers,74,Isaiah Wright,OL,6-4,300,So.,"North Plainfield, N.J. / St. Peter's Prep",,
Rutgers,75,Beau Lanzidelle,OL,6-4,305,So.,"Medford, N.J. / Shawnee/The Hun School",,
Rutgers,76,Dantae Chin,OL,6-4,310,Fr.,"Weston, Fla. / Cypress Bay HS",,
Rutgers,77,Willie Tyler III,OL,6-6,325,Sr.,"Racine, Wis. / Racine Lutheran",,Iowa Western CC
Rutgers,81,Zach Goodale,WR,6-0,180,So.,"Toms River, N.J. / Toms River North",,
Rutgers,82,Myles Goddard,TE,6-5,235,So.,"Amityville, N.Y. / Amityville Memorial",,
Rutgers,83,Joshua Youngblood,WR,5-10,180,Jr.,"Tampa, Fla. / Berkeley Prep",,
Rutgers,84,Ahmirr Robinson,WR,6-2,190,So.,"Vauxhall, N.J. / Union",,
Rutgers,85,Taj Harris,WR,6-1,185,Sr.,"Beverly, N.J. / Palmyra",,
Rutgers,86,Kevin Schaeffer,TE,6-5,245,So.,"Hewitt, N.J. / West Milford",,
Rutgers,88,Mike Higgins,TE,6-5,240,Fr.,"Ho-Ho-Kus, N.J. / Blair Academy",,
Rutgers,88,Ifeanyi Maijeh,DL,6-2,290,Sr.,"Far Rockaway, N.Y. / Poly Prep",,
Rutgers,89,Victor Konopka,TE,6-7,250,So.,"Kinnelon, N.J. / Blair Academy/Don Bosco Prep",,
Rutgers,90,Rene Konga,DL,6-4,285,So.,"Ottawa, Ontario, Canada / Colonel By Secondary School",,
Rutgers,92,Mayan Ahanotu,DL,6-4,290,Sr.,"Tampa, Fla. / Berkeley Prep",,
Rutgers,94,Adam Korsak,P,6-2,185,Sr.,"Melbourne, Australia / Maribyrnong College",,Victoria University
Rutgers,95,Henry Hughes Jr.,DL,6-5,280,So.,"Tampa, Fla. / Tampa Bay Tech",,
Rutgers,96,Guy Fava,PK,6-0,195,Jr.,"Mahwah, N.J. / Don Bosco Prep",,
Rutgers,96,Keshon Griffin,DL,6-4,290,So.,"Sicklerville, N.J. / St. Joseph Academy",,
Rutgers,99,Ryan Keeler,DL,6-4,265,So.,"Chicago, Ill. / Nazareth Academy",,
Rutgers,99,Michael O’Connor,PK,6-1,185,So.,"Middletown, N.J. / Red Bank Catholic",,
Wisconsin,0,Braelon Allen,RB,6-2,240,So.,"Fond du Lac, Wis.",Fond du Lac,
Wisconsin,1,Jay Shaw,CB,5-11,188,Sr.,"Corona, Calif.",Centennial,
Wisconsin,2,Ricardo Hallman,CB,5-10,177,R-Fr.,"Miami, Fla.",University School,
Wisconsin,2,Chase Wolf,QB,6-1,200,Sr.,"Cincinnati, Ohio",Saint Xavier,
Wisconsin,3,T.J. Bollers,OLB,6-2,251,R-Fr.,"Tiffin, Iowa",Clear Creek Amana,
Wisconsin,3,Keontez Lewis,WR,6-2,194,So.,"East St. Louis, Ill.",East St. Louis,
Wisconsin,4,Markus Allen,WR,6-1,211,R-Fr.,"Dayton, Ohio",Northmont,
Wisconsin,4,A'Khoury Lyde,CB,5-9,184,Fr.,"Paterson, N.J.",DePaul Catholic,
Wisconsin,5,Cedrick Dort Jr.,CB,5-11,183,Sr.,"Palm Beach Gardens, Fla.",Dwyer,
Wisconsin,5,Graham Mertz,QB,6-3,216,Jr.,"Overland Park, Kan.",Blue Valley North,
Wisconsin,6,Dean Engram,WR,5-9,169,Jr.,"Columbia, Md.",Gonzaga College HS,
Wisconsin,6,Chez Mellusi,RB,5-11,210,Sr.,"Naples, Fla.",Naples,
Wisconsin,7,Spencer Lytle,ILB,6-2,231,Jr.,"Redondo Beach, Calif.",St. John Bosco,
Wisconsin,8,Avyonne Jones,CB,5-11,180,Fr.,"Southlake, Texas",Carroll,
Wisconsin,10,Stephan Bracey Jr.,WR,5-10,182,Jr.,"Grand Rapids, Mich.",East Kentwood,
Wisconsin,10,Deacon Hill,QB,6-3,262,R-Fr.,"Santa Barbara, Calif.",Santa Barbara,
Wisconsin,11,Skyler Bell,WR,6-0,190,R-Fr.,"Bronx, N.Y.",The Taft School,
Wisconsin,11,Alexander Smith,CB,5-11,179,Sr.,"Culver City, Calif.",Culver City,
Wisconsin,12,Max Lofy,CB,5-10,180,So.,"Colorado Springs, Colo.",Pine Creek,
Wisconsin,13,Chimere Dike,WR,6-1,194,Jr.,"Waukesha, Wis.",North,
Wisconsin,14,Preston Zachman,S,6-1,211,So.,"Elysburg, Pa.",Southern Columbia,
Wisconsin,15,John Torchio,S,6-1,210,Sr.,"Lafayette, Calif.",Campolindo,
Wisconsin,16,Myles Burkett,QB,6-0,198,Fr.,"Franklin, Wis.",Franklin,
Wisconsin,17,Darryl Peterson,OLB,6-1,242,R-Fr.,"Akron, Ohio",Archbishop Hoban,
Wisconsin,19,Nick Herbig,OLB,6-2,227,Jr.,"Kauai, Hawaii",Saint Louis School,
Wisconsin,20,Isaac Guerendo,RB,6-0,223,Sr.,"Clayton, Ind.",Avon,
Wisconsin,20,Semar Melvin,CB,5-11,172,Jr.,"Pembroke Pines, Fla.",St. Thomas Aquinas,
Wisconsin,21,Justin Clark,CB,5-11,178,Sr.,"Pontiac, Mich.",West Bloomfield,
Wisconsin,22,Jack Van Dyke,K,6-5,214,Jr.,"Neenah, Wis.",Neenah,
Wisconsin,24,Hunter Wohler,S,6-2,206,So.,"Muskego, Wis.",Muskego,
Wisconsin,25,Jake Ratzlaff,ILB,6-2,220,R-Fr.,"Rosemount, Minn.",Rosemount,
Wisconsin,26,Travian Blaylock,S,5-11,205,Sr.,"Humble, Texas",Atascocita,
Wisconsin,27,Haakon Anderson,WR,6-1,209,So.,"Verona, Wis.",Verona,
Wisconsin,27,Al Ashford III,CB,6-0,181,R-Fr.,"Denver, Colo.",Cherry Creek,
Wisconsin,28,Mike Gregoire,WR,5-10,186,Sr.,"Green Bay, Wis.",Notre Dame Academy,
Wisconsin,28,Gavin Meyers,P,6-1,194,So.,"Oshkosh, Wis.",Lourdes Academy,
Wisconsin,29,Brady Schipper,RB,5-11,200,Sr.,"Stoughton, Wis.",Stoughton,
Wisconsin,29,Nate Van Zelst,K,5-11,188,R-Fr.,"Glenview, Ill.",Loyola Academy,
Wisconsin,30,Alex Moeller,WR,5-11,174,R-Fr.,"Arlington Heights, Ill.",Prospect,
Wisconsin,31,Jordan DiBenedetto,WR,6-0,195,Sr.,"Stoughton, Wis.",Stoughton,
Wisconsin,31,Amaun Williams,CB,5-10,180,So.,"Milwaukee, Wis.",Riverside,
Wisconsin,32,Julius Davis,RB,5-10,201,Jr.,"Menomonee Falls, Wis.",Menomonee Falls,
Wisconsin,32,Marty Strey,OLB,6-2,226,Sr.,"Sun Prairie, Wis.",Sun Prairie,
Wisconsin,34,Jackson Acker,RB,6-1,232,R-Fr.,"Madison, Wis.",Verona,
Wisconsin,34,Ross Gengler,OLB,6-2,226,So.,"Delavan, Wis.",Delavan-Darien,
Wisconsin,36,Jake Chaney,ILB,5-11,225,So.,"Cape Coral, Fla.",Lehigh,
Wisconsin,37,Bryce Carey,S,6-1,183,Jr.,"Middleton, Wis.",Middleton,
Wisconsin,37,Riley Nowakowski,FB,6-1,237,So.,"Milwaukee, Wis.",Marquette University HS,
Wisconsin,38,Andy Vujnovich,P,6-3,234,Sr.,"Columbus, Wis.",Columbus,
Wisconsin,39,Tatum Grass,ILB,6-2,234,Jr.,"Holmen, Wis.",Holmen,
Wisconsin,43,Grover Bortolotti,RB,5-9,192,R-Fr.,"Whitefish Bay, Wis.",Whitefish Bay,
Wisconsin,45,Garrison Solliday,FB,5-11,229,R-Fr.,"Eagan, Minn.",St. Thomas Academy,
Wisconsin,47,Peter Bowden,LS,6-2,230,Jr.,"San Diego, Calif.",Francis Parker,
Wisconsin,47,Jack Pugh,TE,6-5,233,R-Fr.,"Columbus, Ohio",Hilliard Bradley,
Wisconsin,48,Owen Arnett,S,5-11,215,R-Fr.,"Delafield, Wis.",Arrowhead,
Wisconsin,48,Cole Dakovich,TE,6-5,260,So.,"Waukesha, Wis.",Catholic Memorial,
Wisconsin,49,Cam Large,TE,6-3,234,So.,"Pomfret, Conn.",Noble & Greenough,
Wisconsin,50,Logan Brown,OL,6-6,310,Jr.,"Grand Rapids, Mich.",East Kentwood,
Wisconsin,50,Aidan Vaughan,ILB,6-2,207,Fr.,"Wixom, Mich.",Walled Lake Western,
Wisconsin,51,Bryan Sanborn,ILB,6-1,233,R-Fr.,"Deer Park, Ill.",Lake Zurich,
Wisconsin,52,Kaden Johnson,OLB,6-2,235,So.,"St. Paul, Minn",Minnehaha Academy,
Wisconsin,54,Jordan Turner,ILB,6-1,224,So.,"Farmington, Mich.",Farmington,
Wisconsin,55,Maema Njongmeta,ILB,6-0,224,Jr.,"Buffalo Grove, Ill.",Adlai E. Stevenson,
Wisconsin,56,Rodas Johnson,DE,6-2,291,Jr.,"Columbus, Ohio",St. Francis DeSales,
Wisconsin,59,Aaron Witt,OLB,6-6,254,So.,"Winona, Minn.",Winona,
Wisconsin,61,Dylan Barrett,OL,6-5,318,So.,"St. Charles, Ill.",East,
Wisconsin,62,Cormac Sampson,OL,6-4,295,Sr.,"Eau Claire, Wis.",Memorial,
Wisconsin,63,Tanor Bortolini,OL,6-4,306,So.,"Kewaunee, Wis.",Kewaunee,
Wisconsin,64,Duncan McKinley,LS,6-2,224,So.,"Eau Claire, Wis.",Memorial,
Wisconsin,64,Sean Timmis,OL,6-4,300,So.,"Shorewood, Wis.",Marquette University HS,
Wisconsin,65,Tyler Beach,OL,6-6,316,Sr.,"Grafton, Wis.",Port Washington,
Wisconsin,66,Nolan Rucci,OL,6-8,292,R-Fr.,"Lititz, Pa.",Warwick,
Wisconsin,67,JP Benzschawel,OL,6-6,297,R-Fr.,"Grafton, Wis.",Grafton,
Wisconsin,68,Ben Barten,DE,6-5,304,So.,"Stratford, Wis.",Stratford,
Wisconsin,69,Zach Zei,LS,6-2,217,R-Fr.,"Arlington Heights, Ill.",Prospect,
Wisconsin,70,Barrett Nelson,OL,6-6,277,Fr.,"Stoughton, Wis.",Stoughton,
Wisconsin,71,Riley Mahlman,OL,6-8,312,R-Fr.,"Lakeville, Minn.",South,
Wisconsin,73,Kerry Kodanko,OL,6-2,303,So.,"Green Bay, Wis.",West DePere,
Wisconsin,74,Michael Furtney,OL,6-5,315,Sr.,"Milan, Mich.",Milan,
Wisconsin,75,Joe Tippmann,OL,6-6,317,Jr.,"Fort Wayne, Ind.",Bishop Dwenger,
Wisconsin,76,Tommy Brunner,DE,6-3,253,Jr.,"Milwaukee, Wis.",Whitefish Bay,
Wisconsin,78,Trey Wedig,OL,6-7,310,So.,"Oconomowoc, Wis.",Kettle Moraine,
Wisconsin,79,Jack Nelson,OL,6-7,303,So.,"Stoughton, Wis.",Stoughton,
Wisconsin,81,Jaylan Franklin,TE,6-4,240,Sr.,"Brownstown, Mich.",O.A. Carlson,
Wisconsin,82,Jack Eschenbach,TE,6-6,239,Sr.,"Downers Grove, Ill.",Benet Academy,
Wisconsin,85,Clay Cundiff,TE,6-3,236,Jr.,"Wichita, Kan.",Bishop Carroll,
Wisconsin,87,Hayden Rucci,TE,6-4,259,Jr.,"Lititz, Pa.",Warwick,
Wisconsin,90,James Thompson Jr.,DE,6-5,290,So.,"Cincinnati, Ohio",Roger Bacon,
Wisconsin,91,Vito Calvaruso,K,6-3,198,Jr.,"Jefferson City, Mo.",Helias Catholic,
Wisconsin,92,Curt Neal,NT,6-0,288,Fr.,"Cornelius, N.C.",William A. Hough,
Wisconsin,93,Isaac Townsend,DE,6-5,280,Jr.,"Arvada, Colo.",Ralston Valley,
Wisconsin,94,Gio Paez,DE,6-3,319,Jr.,"Los Angeles, Calif.",William A. Hough (N.C.),
Wisconsin,95,Keeanu Benton,NT,6-4,316,Sr.,"Janesville, Wis.",Craig,
Wisconsin,96,Cade McDonald,DE,6-6,280,So.,"Houlton, Wis.",Hudson,
Wisconsin,97,Mike Jarvis,DE,6-4,290,R-Fr.,"Medford, N.J.",Shawnee,
Wisconsin,98,C.J. Goetz,OLB,6-3,232,Sr.,"Muskego, Wis.",Catholic Memorial,
Wisconsin,99,Isaiah Mullens,DE,6-4,300,Sr.,"Columbus, Ohio",Harvest Prep,
