Sport,Season,Rank,Team,W,L
WBB,2006-07,1,Tennessee,34,3
WBB,2006-07,2,Duke,32,2
WBB,2006-07,3,North Carolina,34,4
WBB,2006-07,4,Purdue,31,6
WBB,2006-07,5,Connecticut,32,4
WBB,2006-07,6,Rutgers,27,9
WBB,2006-07,7,Oklahoma,28,5
WBB,2006-07,8,Maryland,28,6
WBB,2006-07,9,Vanderbilt,28,6
WBB,2006-07,10,Georgia,27,7
WBB,2006-07,11,LSU,30,8
WBB,2006-07,12,Ohio St.,28,4
WBB,2006-07,13,George Washington,28,4
WBB,2006-07,14,Marquette,26,7
WBB,2006-07,15,Middle Tenn.,30,4
WBB,2006-07,16,Arizona St.,31,5
WBB,2006-07,17,Stanford,29,5
WBB,2006-07,18,North Carolina St.,25,10
WBB,2006-07,19,Bowling Green,31,4
WBB,2006-07,20,Baylor,26,8
WBB,2006-07,21,Michigan St.,24,9
WBB,2006-07,22,Old Dominion,24,9
WBB,2006-07,23,Texas A&M,25,7
WBB,2006-07,24,Pittsburgh,24,9
WBB,2006-07,25,Iowa St.,26,9
WBB,2006-07,26,James Madison,27,6
WBB,2006-07,27,Marist,29,6
WBB,2006-07,28,Temple,25,8
WBB,2006-07,29,Mississippi,24,11
WBB,2006-07,30,Delaware,26,6
WBB,2006-07,31,Louisville,27,8
WBB,2006-07,32,Notre Dame,20,12
WBB,2006-07,33,Florida St.,24,10
WBB,2006-07,34,BYU,23,10
WBB,2006-07,35,Western Ky.,23,9
WBB,2006-07,36,California,23,9
WBB,2006-07,37,Hartford,25,9
WBB,2006-07,38,Xavier,26,8
WBB,2006-07,39,South Dakota St.,25,6
WBB,2006-07,40,Chattanooga,25,8
WBB,2006-07,41,West Virginia,21,11
WBB,2006-07,42,Wyoming,27,9
WBB,2006-07,43,Ball St.,24,7
WBB,2006-07,44,Hofstra,26,8
WBB,2006-07,45,Green Bay,29,4
WBB,2006-07,46,South Fla.,21,12
WBB,2006-07,47,Nebraska,22,10
WBB,2006-07,48,New Mexico,24,9
WBB,2006-07,49,Auburn,21,13
WBB,2006-07,50,Gonzaga,24,10
WBB,2006-07,51,Georgia Tech,21,12
WBB,2006-07,52,Texas,18,14
WBB,2006-07,53,Washington,18,13
WBB,2006-07,54,La.-Lafayette,25,9
WBB,2006-07,55,Montana,27,4
WBB,2006-07,56,Indiana,19,14
WBB,2006-07,57,Davidson,23,9
