Sport,Season,Rank,Team,W,L
WBB,2017-18,1,UConn,32,0
WBB,2017-18,2,Notre Dame,29,3
WBB,2017-18,3,Louisville,32,2
WBB,2017-18,4,Baylor,31,1
WBB,2017-18,5,Mississippi St.,32,1
WBB,2017-18,6,Ohio St.,27,6
WBB,2017-18,7,Oregon,30,4
WBB,2017-18,8,Florida St.,25,6
WBB,2017-18,9,Tennessee,24,7
WBB,2017-18,10,UCLA,24,7
WBB,2017-18,11,South Carolina,26,6
WBB,2017-18,12,Texas,26,6
WBB,2017-18,13,Stanford,22,10
WBB,2017-18,14,South Fla.,26,7
WBB,2017-18,15,Central Mich.,28,4
WBB,2017-18,16,Texas A&M,24,9
WBB,2017-18,17,NC State,24,8
WBB,2017-18,18,Maryland,25,7
WBB,2017-18,19,Duke,22,8
WBB,2017-18,20,DePaul,26,7
WBB,2017-18,21,Iowa,24,7
WBB,2017-18,22,Buffalo,27,5
WBB,2017-18,23,Green Bay,29,3
WBB,2017-18,24,Missouri,24,7
WBB,2017-18,25,Marquette,23,9
WBB,2017-18,26,Georgia,25,6
WBB,2017-18,27,Princeton,24,5
WBB,2017-18,28,South Dakota St.,26,6
WBB,2017-18,29,LSU,19,9
WBB,2017-18,30,Villanova,22,8
WBB,2017-18,31,Elon,25,7
WBB,2017-18,32,Northern Colo.,26,6
WBB,2017-18,33,Virginia,18,13
WBB,2017-18,34,Gonzaga,27,5
WBB,2017-18,35,Oklahoma,16,14
WBB,2017-18,36,Dayton,23,6
WBB,2017-18,37,Quinnipiac,27,5
WBB,2017-18,38,Syracuse,22,8
WBB,2017-18,39,Michigan,22,9
WBB,2017-18,40,Rutgers,20,12
WBB,2017-18,41,Minnesota,23,8
WBB,2017-18,42,Oregon St.,23,7
WBB,2017-18,43,California,21,10
WBB,2017-18,44,Ball St.,24,6
WBB,2017-18,45,UCF,21,10
WBB,2017-18,46,American,26,6
WBB,2017-18,47,FGCU,30,4
WBB,2017-18,48,Mercer,30,2
WBB,2017-18,49,Creighton,18,12
WBB,2017-18,50,Western Ky.,24,8
WBB,2017-18,51,Drexel,26,7
WBB,2017-18,52,Southern California,20,11
WBB,2017-18,53,Miami (FL),21,10
WBB,2017-18,54,Indiana,17,14
WBB,2017-18,55,Arizona St.,21,12
WBB,2017-18,56,Harvard,18,10
WBB,2017-18,57,Belmont,31,3
WBB,2017-18,58,Oklahoma St.,20,10
WBB,2017-18,59,South Dakota,26,6
WBB,2017-18,60,Nebraska,21,10
WBB,2017-18,61,Penn,21,8
WBB,2017-18,62,Purdue,18,13
WBB,2017-18,63,Drake,26,7
WBB,2017-18,64,West Virginia,21,11
WBB,2017-18,65,Michigan St.,17,13
WBB,2017-18,66,Virginia Tech,18,13
WBB,2017-18,67,Georgia Tech,18,13
WBB,2017-18,68,James Madison,21,10
WBB,2017-18,69,TCU,19,12
WBB,2017-18,70,Maine,23,9
WBB,2017-18,71,Navy,25,7
WBB,2017-18,72,UAB,26,6
WBB,2017-18,73,UC Davis,25,6
WBB,2017-18,74,Duquesne,23,7
WBB,2017-18,75,St. John's (NY),16,14
WBB,2017-18,76,Wyoming,21,10
WBB,2017-18,77,George Washington,19,13
WBB,2017-18,78,Miami (OH),21,10
