Sport,Season,Rank,Team,W,L
WBB,2012-13,1,Baylor,34,2
WBB,2012-13,2,Notre Dame,35,2
WBB,2012-13,3,Connecticut,35,4
WBB,2012-13,4,Stanford,33,3
WBB,2012-13,5,Duke,33,3
WBB,2012-13,6,Kentucky,30,6
WBB,2012-13,7,Penn St.,26,6
WBB,2012-13,8,Tennessee,27,8
WBB,2012-13,9,California,32,4
WBB,2012-13,10,Maryland,26,8
WBB,2012-13,11,Texas A&M,25,10
WBB,2012-13,12,Louisville,29,9
WBB,2012-13,13,Georgia,28,7
WBB,2012-13,14,Purdue,25,9
WBB,2012-13,15,UCLA,26,8
WBB,2012-13,16,Nebraska,25,9
WBB,2012-13,17,Dayton,28,3
WBB,2012-13,18,North Carolina,29,7
WBB,2012-13,19,Delaware,32,4
WBB,2012-13,20,Florida St.,23,10
WBB,2012-13,21,South Carolina,25,8
WBB,2012-13,22,Iowa St.,24,9
WBB,2012-13,23,Green Bay,29,3
WBB,2012-13,24,Michigan St.,25,9
WBB,2012-13,25,Vanderbilt,21,12
WBB,2012-13,26,LSU,22,12
WBB,2012-13,27,Oklahoma,24,11
WBB,2012-13,28,Michigan,22,11
WBB,2012-13,29,Colorado,25,7
WBB,2012-13,30,DePaul,21,12
WBB,2012-13,31,Princeton,22,7
WBB,2012-13,32,Oklahoma St.,22,11
WBB,2012-13,33,Villanova,21,11
WBB,2012-13,34,Creighton,25,8
WBB,2012-13,35,Gonzaga,27,6
WBB,2012-13,36,Saint Joseph's,23,9
WBB,2012-13,37,Duquesne,24,8
WBB,2012-13,38,Syracuse,24,8
WBB,2012-13,39,Quinnipiac,30,3
WBB,2012-13,40,Chattanooga,29,4
WBB,2012-13,41,Middle Tenn.,25,8
WBB,2012-13,42,Iowa,21,13
WBB,2012-13,43,St. John's (NY),18,13
WBB,2012-13,44,St. Mary's (CA),23,11
WBB,2012-13,45,Kansas,20,14
WBB,2012-13,46,Marist,26,7
WBB,2012-13,47,Florida,22,15
WBB,2012-13,48,Pacific,27,8
WBB,2012-13,49,San Diego St.,27,7
WBB,2012-13,50,Toledo,29,4
WBB,2012-13,51,South Fla.,22,11
WBB,2012-13,52,Texas Tech,21,11
WBB,2012-13,53,Central Mich.,21,12
WBB,2012-13,54,West Virginia,17,14
WBB,2012-13,55,Drexel,28,10
WBB,2012-13,56,Charlotte,26,6
WBB,2012-13,57,Miami (FL),21,11
WBB,2012-13,58,Boston U.,24,6
WBB,2012-13,59,Wichita St.,24,10
WBB,2012-13,60,Fordham,26,9
WBB,2012-13,61,Albany (NY),27,4
WBB,2012-13,62,Kansas St.,19,18
WBB,2012-13,63,James Madison,25,11
WBB,2012-13,64,Liberty,27,7
WBB,2012-13,65,FGCU,27,7
WBB,2012-13,66,South Dakota St.,25,8
WBB,2012-13,67,San Diego,22,10
WBB,2012-13,68,Ohio St.,18,13
WBB,2012-13,69,UALR,24,9
WBB,2012-13,70,Illinois,19,14
WBB,2012-13,71,Illinois St.,24,11
WBB,2012-13,72,Montana,24,8
WBB,2012-13,73,BYU,23,11
WBB,2012-13,74,SMU,21,10
