Sport,Season,Rank,Team,W,L
WBB,2015-16,1,Notre Dame,31,1
WBB,2015-16,2,Baylor,33,1
WBB,2015-16,3,UConn,32,0
WBB,2015-16,4,South Carolina,31,1
WBB,2015-16,5,Oregon St.,28,4
WBB,2015-16,6,Ohio St.,24,7
WBB,2015-16,7,Texas,28,4
WBB,2015-16,8,Maryland,30,3
WBB,2015-16,9,Stanford,24,7
WBB,2015-16,10,UCLA,24,8
WBB,2015-16,11,Arizona St.,25,6
WBB,2015-16,12,Syracuse,25,7
WBB,2015-16,13,Kentucky,23,7
WBB,2015-16,14,Louisville,25,7
WBB,2015-16,15,Florida St.,23,7
WBB,2015-16,16,BYU,26,6
WBB,2015-16,17,Michigan St.,24,8
WBB,2015-16,18,Duquesne,27,5
WBB,2015-16,19,Texas A&M,21,9
WBB,2015-16,20,Green Bay,28,4
WBB,2015-16,21,South Fla.,23,9
WBB,2015-16,22,West Virginia,24,9
WBB,2015-16,23,George Washington,26,6
WBB,2015-16,24,Mississippi St.,26,7
WBB,2015-16,25,Miami (FL),24,8
WBB,2015-16,26,Florida,22,8
WBB,2015-16,27,Penn,24,4
WBB,2015-16,28,Tennessee,19,13
WBB,2015-16,29,DePaul,25,8
WBB,2015-16,30,Oklahoma St.,21,9
WBB,2015-16,31,James Madison,27,5
WBB,2015-16,32,Oklahoma,21,10
WBB,2015-16,33,Washington,22,10
WBB,2015-16,34,St. Bonaventure,23,7
WBB,2015-16,35,Georgia,21,9
WBB,2015-16,36,Princeton,23,5
WBB,2015-16,37,UTEP,26,4
WBB,2015-16,38,Western Ky.,24,6
WBB,2015-16,39,Seton Hall,23,8
WBB,2015-16,40,Chattanooga,24,7
WBB,2015-16,41,Colorado St.,31,1
WBB,2015-16,42,St. John's (NY),23,9
WBB,2015-16,43,Arkansas St.,26,5
WBB,2015-16,44,Albany (NY),27,4
WBB,2015-16,45,Missouri,21,9
WBB,2015-16,46,Indiana,20,11
WBB,2015-16,47,Duke,20,12
WBB,2015-16,48,Kansas St.,18,12
WBB,2015-16,49,North Carolina St.,20,11
WBB,2015-16,50,South Dakota St.,26,6
WBB,2015-16,51,Ohio,24,6
WBB,2015-16,52,Rutgers,18,14
WBB,2015-16,53,St. Mary's (CA),24,7
WBB,2015-16,54,Saint Louis,24,7
WBB,2015-16,55,Villanova,19,11
WBB,2015-16,56,Southern California,19,13
WBB,2015-16,57,Auburn,19,12
WBB,2015-16,58,Iowa,19,13
WBB,2015-16,59,Middle Tenn.,24,8
WBB,2015-16,60,Maine,26,8
WBB,2015-16,61,Army West Point,29,2
WBB,2015-16,62,South Dakota,26,6
WBB,2015-16,63,Santa Clara,23,8
WBB,2015-16,64,Ball St.,21,9
WBB,2015-16,65,UC Riverside,23,8
