Sport,Season,Rank,Team,W,L
WBB,2021-22,154,Campbell,20,8
WBB,2021-22,155,Wake Forest,16,17
WBB,2021-22,156,Harvard,13,14
WBB,2021-22,157,Murray State,20,10
WBB,2021-22,158,Richmond,16,14
WBB,2021-22,159,James Madison,14,15
WBB,2021-22,160,Marshall,13,13
WBB,2021-22,161,Clemson,10,21
WBB,2021-22,162,UC Riverside,12,11
WBB,2021-22,163,Nevada,18,13
WBB,2021-22,164,Army,15,13
WBB,2021-22,165,Auburn,10,18
WBB,2021-22,166,Southern Utah,16,12
WBB,2021-22,167,Howard,20,10
WBB,2021-22,168,Loyola-Chicago,17,12
WBB,2021-22,169,Oral Roberts,14,15
WBB,2021-22,170,Saint John's,12,19
WBB,2021-22,171,Northern Illinois,14,15
WBB,2021-22,172,Western Michigan,14,14
WBB,2021-22,173,Pittsburgh,11,19
WBB,2021-22,174,Northern Arizona,17,14
WBB,2021-22,175,Norfolk State,16,12
WBB,2021-22,176,Santa Clara,14,15
WBB,2021-22,177,California,10,13
WBB,2021-22,178,Jacksonville,12,13
WBB,2021-22,179,Southern Miss,16,12
WBB,2021-22,180,Montana,18,11
WBB,2021-22,181,Charleston,16,13
WBB,2021-22,182,South Carolina Upstate,19,8
WBB,2021-22,183,Utah Valley,14,15
WBB,2021-22,184,Washington,7,16
WBB,2021-22,185,Vermont,20,11
WBB,2021-22,186,Morgan State,16,8
WBB,2021-22,187,Appalachian State,12,12
WBB,2021-22,188,San Diego State,14,16
WBB,2021-22,189,Saint Francis (NY),16,10
WBB,2021-22,190,Syracuse,11,18
WBB,2021-22,191,Texas A&M-Corpus Christi,16,10
WBB,2021-22,192,Sam Houston State,12,16
WBB,2021-22,193,Penn State,11,18
WBB,2021-22,194,Penn,10,14
WBB,2021-22,195,Texas State,12,14
WBB,2021-22,196,Saint Louis,9,18
WBB,2021-22,197,Austin Peay,18,13
WBB,2021-22,198,TCU,6,22
WBB,2021-22,199,High Point,15,14
WBB,2021-22,200,Northeastern,14,18
WBB,2021-22,201,Georgia Southern,15,10
WBB,2021-22,202,Wofford,14,14
WBB,2021-22,203,UTEP,14,15
WBB,2021-22,204,Milwaukee,14,16
WBB,2021-22,205,George Washington,12,18
WBB,2021-22,206,Oakland,15,15
WBB,2021-22,207,UC Santa Barbara,14,12
WBB,2021-22,208,North Dakota,13,15
WBB,2021-22,209,Eastern Illinois,14,14
WBB,2021-22,210,Gardner-Webb,16,15
WBB,2021-22,211,Providence,11,19
WBB,2021-22,212,UAB,14,15
WBB,2021-22,213,Fairleigh Dickinson,19,12
WBB,2021-22,214,Lamar,12,15
WBB,2021-22,215,UTRGV,14,19
WBB,2021-22,216,East Carolina,11,18
WBB,2021-22,217,Cincinnati,11,17
WBB,2021-22,218,NJIT,15,15
WBB,2021-22,219,Houston Baptist,13,11
WBB,2021-22,220,Rutgers,11,20
WBB,2021-22,221,Niagara,15,15
WBB,2021-22,222,Idaho,13,18
WBB,2021-22,223,George Mason,10,19
WBB,2021-22,224,Virginia,5,22
WBB,2021-22,225,Duquesne,11,18
WBB,2021-22,226,Mount Saint Mary's,15,13
WBB,2021-22,227,Alabama State,14,15
WBB,2021-22,228,Loyola-Marymount,10,19
WBB,2021-22,229,Abilene Christian,13,13
WBB,2021-22,230,Tarleton State,12,13
