Sport,Season,Rank,Team,W,L
WBB,2019-20,1,South Carolina,32,1
WBB,2019-20,2,Oregon,31,2
WBB,2019-20,3,Maryland,28,4
WBB,2019-20,4,Connecticut,29,3
WBB,2019-20,5,Baylor,31,2
WBB,2019-20,6,Stanford,27,6
WBB,2019-20,7,Louisville,28,4
WBB,2019-20,8,Princeton,28,1
WBB,2019-20,9,Mississippi State,27,6
WBB,2019-20,10,Northwestern,26,4
WBB,2019-20,11,Gonzaga,28,3
WBB,2019-20,12,Missouri State,26,5
WBB,2019-20,13,UCLA,26,5
WBB,2019-20,14,Indiana,24,8
WBB,2019-20,15,Iowa,23,7
WBB,2019-20,16,North Carolina State,28,4
WBB,2019-20,17,DePaul,28,5
WBB,2019-20,18,Ohio State,21,12
WBB,2019-20,19,TCU,24,8
WBB,2019-20,20,Texas A&M,22,8
WBB,2019-20,21,Oregon State,23,9
WBB,2019-20,22,Drake,24,8
WBB,2019-20,23,Central Michigan,23,7
WBB,2019-20,24,James Madison,28,4
WBB,2019-20,25,Kentucky,22,8
WBB,2019-20,26,Marquette,24,8
WBB,2019-20,27,South Dakota,29,2
WBB,2019-20,28,Duke,18,12
WBB,2019-20,29,Arkansas,24,8
WBB,2019-20,30,Old Dominion,26,7
WBB,2019-20,31,Western Kentucky,23,8
WBB,2019-20,32,Arizona,24,7
WBB,2019-20,33,Florida State,24,8
WBB,2019-20,34,Michigan,21,11
WBB,2019-20,35,FGCU,28,3
WBB,2019-20,36,LSU,20,10
WBB,2019-20,37,UCF,20,10
WBB,2019-20,38,Iowa State,19,12
WBB,2019-20,39,Virginia Tech,21,9
WBB,2019-20,40,Troy,24,5
WBB,2019-20,41,Dayton,25,8
WBB,2019-20,42,Arizona State,20,11
WBB,2019-20,43,Bucknell,26,6
WBB,2019-20,44,Texas,20,12
WBB,2019-20,45,Rice,24,8
WBB,2019-20,46,Purdue,18,14
WBB,2019-20,47,Rutgers,22,9
WBB,2019-20,48,Yale,20,9
WBB,2019-20,49,Tennessee-Martin,22,10
WBB,2019-20,50,Drexel,24,8
WBB,2019-20,51,Bradley,22,8
WBB,2019-20,52,Montana State,24,6
WBB,2019-20,53,Creighton,19,11
WBB,2019-20,54,Marist,27,5
WBB,2019-20,55,Illinois State,20,11
WBB,2019-20,56,Belmont,22,9
WBB,2019-20,57,Middle Tennessee,21,10
WBB,2019-20,58,Saint John's,19,12
WBB,2019-20,59,Abilene Christian,23,5
WBB,2019-20,60,IUPUI,22,8
WBB,2019-20,61,Cincinnati,22,10
WBB,2019-20,62,Penn,19,8
WBB,2019-20,63,Boston College,20,12
WBB,2019-20,64,Fresno State,23,7
WBB,2019-20,65,Stony Brook,28,3
WBB,2019-20,66,Tennessee,21,10
WBB,2019-20,67,Georgia,17,14
WBB,2019-20,68,South Florida,19,13
WBB,2019-20,69,Seton Hall,19,12
WBB,2019-20,70,South Dakota State,22,10
WBB,2019-20,71,Alabama,18,12
WBB,2019-20,72,Charlotte,21,10
WBB,2019-20,73,Texas A&M-Corpus Christi,21,8
WBB,2019-20,74,Virginia,13,17
WBB,2019-20,75,Rider,28,4
WBB,2019-20,76,Ball State,20,10
WBB,2019-20,77,Northern Iowa,17,12
WBB,2019-20,78,West Virginia,17,13
WBB,2019-20,79,Georgia Tech,20,11
WBB,2019-20,80,Coastal Carolina,25,4
