Sport,Season,Rank,Team,W,L
WBB,2013-14,1,Notre Dame,32,0
WBB,2013-14,2,UConn,34,0
WBB,2013-14,3,Stanford,29,3
WBB,2013-14,4,Duke,27,6
WBB,2013-14,5,Tennessee,27,5
WBB,2013-14,6,South Carolina,27,4
WBB,2013-14,7,Baylor,29,4
WBB,2013-14,8,Louisville,30,4
WBB,2013-14,9,Purdue,21,8
WBB,2013-14,10,Kentucky,24,8
WBB,2013-14,11,Gonzaga,29,4
WBB,2013-14,12,West Virginia,29,4
WBB,2013-14,13,Penn St.,22,7
WBB,2013-14,14,Texas A&M,24,8
WBB,2013-14,15,LSU,19,12
WBB,2013-14,16,Dayton,23,7
WBB,2013-14,17,Middle Tenn.,29,4
WBB,2013-14,18,North Carolina St.,25,7
WBB,2013-14,19,Nebraska,25,6
WBB,2013-14,20,Maryland,24,6
WBB,2013-14,21,North Carolina,24,9
WBB,2013-14,22,Saint Joseph's,22,9
WBB,2013-14,23,Iowa,26,8
WBB,2013-14,24,Texas,21,11
WBB,2013-14,25,DePaul,27,6
WBB,2013-14,26,Syracuse,22,9
WBB,2013-14,27,California,21,9
WBB,2013-14,28,St. John's (NY),22,10
WBB,2013-14,29,Oklahoma St.,23,8
WBB,2013-14,30,Southern Miss.,26,6
WBB,2013-14,31,Michigan St.,22,9
WBB,2013-14,32,Bowling Green,27,4
WBB,2013-14,33,Arizona St.,22,9
WBB,2013-14,34,Southern California,22,12
WBB,2013-14,35,Oregon St.,23,10
WBB,2013-14,36,Georgia Tech,20,11
WBB,2013-14,37,Fordham,25,7
WBB,2013-14,38,BYU,26,6
WBB,2013-14,39,Florida St.,20,11
WBB,2013-14,40,Central Mich.,20,11
WBB,2013-14,41,Marist,27,6
WBB,2013-14,42,Iowa St.,20,10
WBB,2013-14,43,Vanderbilt,18,12
WBB,2013-14,44,Chattanooga,29,3
WBB,2013-14,45,James Madison,28,5
WBB,2013-14,46,Minnesota,20,12
WBB,2013-14,47,Georgia,20,11
WBB,2013-14,48,St. Mary's (CA),22,9
WBB,2013-14,49,South Dakota St.,22,9
WBB,2013-14,50,Villanova,22,8
WBB,2013-14,51,Rutgers,22,9
WBB,2013-14,52,Ohio St.,17,18
WBB,2013-14,53,San Diego,22,8
WBB,2013-14,54,FGCU,26,7
WBB,2013-14,55,Penn,22,6
WBB,2013-14,56,Washington St.,17,16
WBB,2013-14,57,South Fla.,19,12
WBB,2013-14,58,Army,25,7
WBB,2013-14,59,UTEP,24,7
WBB,2013-14,60,Stetson,26,7
WBB,2013-14,61,Oklahoma,18,14
WBB,2013-14,62,St. Bonaventure,23,10
WBB,2013-14,63,Florida,19,12
WBB,2013-14,64,Navy,24,7
WBB,2013-14,65,Hampton,28,4
WBB,2013-14,66,Creighton,19,13
WBB,2013-14,67,Auburn,17,14
WBB,2013-14,68,Iona,26,5
