Sport,Season,Rank,Team,W,L
MFB,2009-10,1,Florida Gators,13,1
MFB,2009-10,2,Texas Longhorns,13,1
MFB,2009-10,3,Alabama Crimson Tide,14,0
MFB,2009-10,4,Oklahoma Sooners,8,5
MFB,2009-10,5,Virginia Tech Hokies,10,3
MFB,2009-10,6,TCU Horned Frogs,12,1
MFB,2009-10,7,Ohio State Buckeyes,11,2
MFB,2009-10,8,Penn State Nittany Lions,11,2
MFB,2009-10,9,Oregon Ducks,10,3
MFB,2009-10,10,Boise State Broncos,14,0
MFB,2009-10,11,Nebraska Cornhuskers,10,4
MFB,2009-10,12,LSU Tigers,9,4
MFB,2009-10,13,USC Trojans,9,4
MFB,2009-10,14,Georgia Tech Yellow Jackets,11,3
MFB,2009-10,15,Arkansas Razorbacks,8,5
MFB,2009-10,16,Texas Tech Red Raiders,9,4
MFB,2009-10,17,Ole Miss Rebels,9,4
MFB,2009-10,18,Miami Hurricanes,9,4
MFB,2009-10,19,Pittsburgh Panthers,10,3
MFB,2009-10,20,Clemson Tigers,9,5
MFB,2009-10,21,Stanford Cardinal,8,5
MFB,2009-10,22,Cincinnati Bearcats,12,1
MFB,2009-10,23,Iowa Hawkeyes,11,2
MFB,2009-10,24,Tennessee Volunteers,7,6
MFB,2009-10,25,Georgia Bulldogs,8,5
MFB,2009-10,26,Auburn Tigers,8,5
MFB,2009-10,27,BYU Cougars,11,2
MFB,2009-10,28,Oklahoma State Cowboys,9,4
MFB,2009-10,29,California Golden Bears,8,5
MFB,2009-10,30,Wisconsin Badgers,10,3
MFB,2009-10,50,Notre Dame Fighting Irish,6,6
MFB,2009-10,32,Arizona Wildcats,8,5
MFB,2009-10,33,Florida State Seminoles,7,6
MFB,2009-10,34,Oregon State Beavers,8,5
MFB,2009-10,35,North Carolina Tar Heels,8,5
MFB,2009-10,36,Connecticut Huskies,8,5
MFB,2009-10,37,West Virginia Mountaineers,9,4
MFB,2009-10,38,South Carolina Gamecocks,7,6
MFB,2009-10,39,Utah Utes,10,3
MFB,2009-10,40,Michigan State Spartans,6,7
MFB,2009-10,41,Boston College Eagles,8,5
MFB,2009-10,42,Missouri Tigers,8,5
MFB,2009-10,43,Houston Cougars,10,4
MFB,2009-10,44,Air Force Falcons,8,5
MFB,2009-10,45,Kansas Jayhawks,5,7
MFB,2009-10,46,Central Michigan Chippewas,12,2
MFB,2009-10,47,UCLA Bruins,7,6
MFB,2009-10,48,South Florida Bulls,8,5
MFB,2009-10,49,Kentucky Wildcats,7,6
MFB,2009-10,50,Wake Forest Demon Deacons,5,7
MFB,2009-10,51,Washington Huskies,5,7
MFB,2009-10,52,Texas A&M Aggies,6,7
MFB,2009-10,53,East Carolina Pirates,9,5
MFB,2009-10,54,Rutgers Scarlet Knights,9,4
MFB,2009-10,55,Mississippi State Bulldogs,5,7
MFB,2009-10,56,Navy Midshipmen,10,4
MFB,2009-10,57,Southern Mississippi Golden Eagles,7,6
MFB,2009-10,58,Arizona State Sun Devils,4,8
MFB,2009-10,59,Nevada Wolf Pack,8,5
MFB,2009-10,60,Michigan Wolverines,5,7
MFB,2009-10,61,Minnesota Golden Gophers,6,7
MFB,2009-10,62,Purdue Boilermakers,5,7
MFB,2009-10,63,NC State Wolfpack,5,7
MFB,2009-10,64,Kansas State Wildcats,6,6
MFB,2009-10,65,Virginia Cavaliers,3,9
MFB,2009-10,66,Baylor Bears,4,8
MFB,2009-10,67,Fresno State Bulldogs,8,5
MFB,2009-10,68,Northwestern Wildcats,8,5
MFB,2009-10,69,Illinois Fighting Illini,3,9
MFB,2009-10,70,UCF Knights,8,5
MFB,2009-10,71,Troy Trojans,9,4
MFB,2009-10,72,Middle Tennessee Blue Raiders,10,3
MFB,2009-10,73,Iowa State Cyclones,7,6
MFB,2009-10,74,Temple Owls,9,4
MFB,2009-10,75,Vanderbilt Commodores,2,10
MFB,2009-10,76,Tulsa Golden Hurricane,5,7
MFB,2009-10,77,Colorado Buffaloes,3,9
MFB,2009-10,78,Duke Blue Devils,5,7
MFB,2009-10,79,Louisiana Tech Bulldogs,4,8
MFB,2009-10,80,Northern Illinois Huskies,7,6
MFB,2009-10,81,Ohio Bobcats,9,5
MFB,2009-10,82,Maryland Terrapins,2,10
MFB,2009-10,83,Marshall Thundering Herd,7,6
MFB,2009-10,84,SMU Mustangs,8,5
MFB,2009-10,85,Indiana Hoosiers,4,8
MFB,2009-10,86,Bowling Green Falcons,7,6
MFB,2009-10,87,Syracuse Orange,4,8
MFB,2009-10,88,Buffalo Bulls,5,7
MFB,2009-10,89,Louisville Cardinals,4,8
MFB,2009-10,90,UAB Blazers,5,7
MFB,2009-10,91,UTEP Miners,4,8
MFB,2009-10,92,Arkansas State Red Wolves,4,8
MFB,2009-10,93,Utah State Aggies,4,8
MFB,2009-10,94,Louisiana Monroe Warhawks,6,6
MFB,2009-10,95,Wyoming Cowboys,7,6
MFB,2009-10,96,UNLV Rebels,5,7
MFB,2009-10,97,Colorado State Rams,3,9
MFB,2009-10,98,Western Michigan Broncos,5,7
MFB,2009-10,99,Idaho Vandals,8,5
MFB,2009-10,100,Florida Atlantic Owls,5,7
MFB,2009-10,101,Kent State Golden Flashes,5,7
MFB,2009-10,102,Toledo Rockets,5,7
MFB,2009-10,103,Memphis Tigers,2,10
MFB,2009-10,104,San Diego State Aztecs,4,8
MFB,2009-10,105,Hawai'i Rainbow Warriors,6,7
MFB,2009-10,106,Louisiana Ragin' Cajuns,6,6
MFB,2009-10,107,Florida Intl Golden Panthers,3,9
MFB,2009-10,108,Akron Zips,3,9
MFB,2009-10,109,Ball State Cardinals,2,10
MFB,2009-10,110,Army Black Knights,5,7
MFB,2009-10,111,North Texas Mean Green,2,10
MFB,2009-10,112,New Mexico Lobos,1,11
MFB,2009-10,113,Washington State Cougars,1,11
MFB,2009-10,114,San Jose State Spartans,2,10
MFB,2009-10,115,Miami (OH) RedHawks,1,11
MFB,2009-10,116,Rice Owls,2,10
MFB,2009-10,117,Tulane Green Wave,3,9
MFB,2009-10,118,Eastern Michigan Eagles,0,12
MFB,2009-10,119,Western Kentucky Hilltoppers,0,12
MFB,2009-10,120,New Mexico State Aggies,3,10
