Sport,Season,Rank,Team,W,L
MFB,2021-22,1,Georgia Bulldogs,14,1
MFB,2021-22,2,Alabama Crimson Tide,13,2
MFB,2021-22,3,Ohio State Buckeyes,11,2
MFB,2021-22,4,Michigan Wolverines,12,2
MFB,2021-22,5,Oklahoma Sooners,11,2
MFB,2021-22,6,Notre Dame Fighting Irish,11,2
MFB,2021-22,7,Oklahoma State Cowboys,12,2
MFB,2021-22,8,Clemson Tigers,10,3
MFB,2021-22,9,Iowa State Cyclones,7,6
MFB,2021-22,10,Cincinnati Bearcats,13,1
MFB,2021-22,11,Utah Utes,10,4
MFB,2021-22,12,Pittsburgh Panthers,11,3
MFB,2021-22,13,Wisconsin Badgers,9,4
MFB,2021-22,14,Texas A&M Aggies,8,4
MFB,2021-22,15,Baylor Bears,12,2
MFB,2021-22,16,NC State Wolfpack,9,3
MFB,2021-22,17,Penn State Nittany Lions,7,6
MFB,2021-22,18,Ole Miss Rebels,10,3
MFB,2021-22,19,Michigan State Spartans,11,2
MFB,2021-22,20,Auburn Tigers,6,7
MFB,2021-22,21,Arkansas Razorbacks,9,4
MFB,2021-22,22,Wake Forest Demon Deacons,11,3
MFB,2021-22,23,Miami Hurricanes,7,5
MFB,2021-22,24,Texas Longhorns,5,7
MFB,2021-22,25,Purdue Boilermakers,9,4
MFB,2021-22,26,Tennessee Volunteers,7,6
MFB,2021-22,27,Minnesota Golden Gophers,9,4
MFB,2021-22,28,Kentucky Wildcats,10,3
MFB,2021-22,29,Nebraska Cornhuskers,3,9
MFB,2021-22,30,Oregon Ducks,10,4
MFB,2021-22,31,UCLA Bruins,8,4
MFB,2021-22,32,Iowa Hawkeyes,10,4
MFB,2021-22,33,Appalachian State Mountaineers,10,4
MFB,2021-22,34,Florida Gators,6,7
MFB,2021-22,35,Kansas State Wildcats,8,5
MFB,2021-22,36,Mississippi State Bulldogs,7,6
MFB,2021-22,37,Houston Cougars,12,2
MFB,2021-22,38,Boise State Broncos,7,5
MFB,2021-22,39,Arizona State Sun Devils,8,5
MFB,2021-22,40,BYU Cougars,10,3
MFB,2021-22,41,Western Kentucky Hilltoppers,9,5
MFB,2021-22,42,LSU Tigers,6,7
MFB,2021-22,43,North Carolina Tar Heels,6,7
MFB,2021-22,44,SMU Mustangs,8,4
MFB,2021-22,45,Coastal Carolina Chanticleers,11,2
MFB,2021-22,46,Louisville Cardinals,6,7
MFB,2021-22,47,Virginia Cavaliers,6,6
MFB,2021-22,48,Louisiana Ragin' Cajuns,13,1
MFB,2021-22,49,West Virginia Mountaineers,6,7
MFB,2021-22,50,Texas Tech Red Raiders,7,6
MFB,2021-22,51,Florida State Seminoles,5,7
MFB,2021-22,52,Oregon State Beavers,7,6
MFB,2021-22,53,Fresno State Bulldogs,10,3
MFB,2021-22,54,Washington State Cougars,7,6
MFB,2021-22,55,UCF Knights,9,4
MFB,2021-22,56,Liberty Flames,8,5
MFB,2021-22,57,UTSA Roadrunners,12,2
MFB,2021-22,58,USC Trojans,4,8
MFB,2021-22,59,Nevada Wolf Pack,8,5
MFB,2021-22,60,UAB Blazers,9,4
MFB,2021-22,61,Army Black Knights,9,4
MFB,2021-22,62,Washington Huskies,4,8
MFB,2021-22,63,Maryland Terrapins,7,6
MFB,2021-22,64,Virginia Tech Hokies,6,7
MFB,2021-22,65,Toledo Rockets,7,6
MFB,2021-22,66,Air Force Falcons,10,3
MFB,2021-22,67,Illinois Fighting Illini,5,7
MFB,2021-22,68,TCU Horned Frogs,5,7
MFB,2021-22,69,South Carolina Gamecocks,7,6
MFB,2021-22,70,Marshall Thundering Herd,7,6
MFB,2021-22,71,Boston College Eagles,6,6
MFB,2021-22,72,San Diego State Aztecs,12,2
MFB,2021-22,73,California Golden Bears,5,7
MFB,2021-22,74,Utah State Aggies,11,3
MFB,2021-22,75,Western Michigan Broncos,8,5
MFB,2021-22,76,Tulsa Golden Hurricane,7,6
MFB,2021-22,77,Syracuse Orange,5,7
MFB,2021-22,78,Missouri Tigers,6,7
MFB,2021-22,79,Central Michigan Chippewas,9,4
MFB,2021-22,80,Memphis Tigers,6,6
MFB,2021-22,81,East Carolina Pirates,7,5
MFB,2021-22,82,Georgia Tech Yellow Jackets,3,9
MFB,2021-22,83,Georgia State Panthers,8,5
MFB,2021-22,84,Indiana Hoosiers,2,10
MFB,2021-22,85,Miami (OH) RedHawks,7,6
MFB,2021-22,86,Rutgers Scarlet Knights,5,8
MFB,2021-22,87,Middle Tennessee Blue Raiders,7,6
MFB,2021-22,88,Wyoming Cowboys,7,6
MFB,2021-22,89,Colorado Buffaloes,4,8
MFB,2021-22,90,Tulane Green Wave,2,10
MFB,2021-22,91,Stanford Cardinal,3,9
MFB,2021-22,92,Florida Atlantic Owls,5,7
MFB,2021-22,93,Northern Illinois Huskies,9,5
MFB,2021-22,94,Northwestern Wildcats,3,9
MFB,2021-22,95,Eastern Michigan Eagles,7,6
MFB,2021-22,96,North Texas Mean Green,6,7
MFB,2021-22,97,Colorado State Rams,3,9
MFB,2021-22,98,Troy Trojans,5,7
MFB,2021-22,99,Buffalo Bulls,4,8
MFB,2021-22,100,Kent State Golden Flashes,7,7
MFB,2021-22,101,Navy Midshipmen,4,8
MFB,2021-22,102,Hawai'i Rainbow Warriors,6,7
MFB,2021-22,103,Ball State Cardinals,6,7
MFB,2021-22,104,Louisiana Tech Bulldogs,3,9
MFB,2021-22,105,Old Dominion Monarchs,6,7
MFB,2021-22,106,Arizona Wildcats,1,11
MFB,2021-22,107,South Florida Bulls,2,10
MFB,2021-22,108,San José State Spartans,5,7
MFB,2021-22,109,South Alabama Jaguars,5,7
MFB,2021-22,110,UTEP Miners,7,6
MFB,2021-22,111,Georgia Southern Eagles,3,9
MFB,2021-22,112,UNLV Rebels,2,10
MFB,2021-22,113,Duke Blue Devils,3,9
MFB,2021-22,114,Kansas Jayhawks,2,10
MFB,2021-22,115,Ohio Bobcats,3,9
MFB,2021-22,116,Southern Miss Golden Eagles,3,9
MFB,2021-22,117,Charlotte 49ers,5,7
