Sport,Season,Rank,Team,W,L
MFB,2011-12,1,Alabama Crimson Tide,12,1
MFB,2011-12,2,LSU Tigers,13,1
MFB,2011-12,3,Oklahoma State Cowboys,12,1
MFB,2011-12,4,Oregon Ducks,12,2
MFB,2011-12,5,Stanford Cardinal,11,2
MFB,2011-12,6,Oklahoma Sooners,10,3
MFB,2011-12,7,Wisconsin Badgers,11,3
MFB,2011-12,8,Boise State Broncos,12,1
MFB,2011-12,9,USC Trojans,10,2
MFB,2011-12,10,Michigan Wolverines,11,2
MFB,2011-12,11,Texas A&M Aggies,7,6
MFB,2011-12,12,Arkansas Razorbacks,11,2
MFB,2011-12,50,Notre Dame Fighting Irish,8,5
MFB,2011-12,14,Georgia Bulldogs,10,4
MFB,2011-12,15,Florida State Seminoles,9,4
MFB,2011-12,16,Missouri Tigers,8,5
MFB,2011-12,17,Houston Cougars,13,1
MFB,2011-12,18,South Carolina Gamecocks,11,2
MFB,2011-12,19,TCU Horned Frogs,11,2
MFB,2011-12,20,Michigan State Spartans,11,3
MFB,2011-12,21,Texas Longhorns,8,5
MFB,2011-12,22,Baylor Bears,10,3
MFB,2011-12,23,Virginia Tech Hokies,11,3
MFB,2011-12,24,Arizona State Sun Devils,6,7
MFB,2011-12,25,Nebraska Cornhuskers,9,4
MFB,2011-12,26,Florida Gators,7,6
MFB,2011-12,27,West Virginia Mountaineers,10,3
MFB,2011-12,28,Ohio State Buckeyes,6,7
MFB,2011-12,29,Mississippi State Bulldogs,7,6
MFB,2011-12,30,California Golden Bears,7,6
MFB,2011-12,31,Miami Hurricanes,6,6
MFB,2011-12,32,Cincinnati Bearcats,10,3
MFB,2011-12,33,Southern Mississippi Golden Eagles,12,2
MFB,2011-12,34,Clemson Tigers,10,4
MFB,2011-12,35,Kansas State Wildcats,10,3
MFB,2011-12,36,Penn State Nittany Lions,9,4
MFB,2011-12,37,Utah Utes,8,5
MFB,2011-12,38,Tulsa Golden Hurricane,8,5
MFB,2011-12,39,BYU Cougars,10,3
MFB,2011-12,40,Vanderbilt Commodores,6,7
MFB,2011-12,41,Toledo Rockets,9,4
MFB,2011-12,42,Tennessee Volunteers,5,7
MFB,2011-12,43,North Carolina Tar Heels,7,6
MFB,2011-12,44,South Florida Bulls,5,7
MFB,2011-12,45,Illinois Fighting Illini,7,6
MFB,2011-12,46,Iowa Hawkeyes,7,6
MFB,2011-12,47,Georgia Tech Yellow Jackets,8,5
MFB,2011-12,48,Washington Huskies,7,6
MFB,2011-12,49,Temple Owls,9,4
MFB,2011-12,50,Arizona Wildcats,4,8
MFB,2011-12,51,Auburn Tigers,8,5
MFB,2011-12,52,Rutgers Scarlet Knights,9,4
MFB,2011-12,53,Nevada Wolf Pack,7,6
MFB,2011-12,54,UCLA Bruins,6,8
