Sport,Season,Rank,Team,W,L
MFB,2008-09,1,Florida Gators,13,1
MFB,2008-09,2,USC Trojans,12,1
MFB,2008-09,3,Oklahoma Sooners,12,2
MFB,2008-09,4,Texas Longhorns,12,1
MFB,2008-09,5,Penn State Nittany Lions,11,2
MFB,2008-09,6,Ohio State Buckeyes,10,3
MFB,2008-09,7,Texas Tech Red Raiders,11,2
MFB,2008-09,8,Oregon Ducks,10,3
MFB,2008-09,9,Alabama Crimson Tide,12,2
MFB,2008-09,10,Missouri Tigers,10,4
MFB,2008-09,11,TCU Horned Frogs,11,2
MFB,2008-09,12,Utah Utes,13,0
MFB,2008-09,13,Iowa Hawkeyes,9,4
MFB,2008-09,14,Georgia Bulldogs,10,3
MFB,2008-09,15,Oklahoma State Cowboys,9,4
MFB,2008-09,16,Boise State Broncos,12,1
MFB,2008-09,17,Arizona Wildcats,8,5
MFB,2008-09,18,California Golden Bears,9,4
MFB,2008-09,19,Florida State Seminoles,9,4
MFB,2008-09,20,Ole Miss Rebels,9,4
MFB,2008-09,21,Oregon State Beavers,9,4
MFB,2008-09,22,LSU Tigers,8,5
MFB,2008-09,23,Clemson Tigers,7,6
MFB,2008-09,24,West Virginia Mountaineers,9,4
MFB,2008-09,25,Kansas Jayhawks,8,5
MFB,2008-09,26,South Florida Bulls,8,5
MFB,2008-09,27,BYU Cougars,10,3
MFB,2008-09,28,North Carolina Tar Heels,8,5
MFB,2008-09,29,Virginia Tech Hokies,10,4
MFB,2008-09,30,Tulsa Golden Hurricane,11,3
MFB,2008-09,31,Pittsburgh Panthers,9,4
MFB,2008-09,32,Nebraska Cornhuskers,9,4
MFB,2008-09,33,Rutgers Scarlet Knights,8,5
MFB,2008-09,34,Michigan State Spartans,9,4
MFB,2008-09,35,Boston College Eagles,9,5
MFB,2008-09,36,South Carolina Gamecocks,7,6
MFB,2008-09,37,Connecticut Huskies,8,5
MFB,2008-09,38,Miami Hurricanes,7,6
MFB,2008-09,39,Cincinnati Bearcats,11,3
MFB,2008-09,40,Illinois Fighting Illini,5,7
MFB,2008-09,41,Stanford Cardinal,5,7
MFB,2008-09,42,Tennessee Volunteers,5,7
MFB,2008-09,43,Wisconsin Badgers,7,6
MFB,2008-09,44,Arizona State Sun Devils,5,7
MFB,2008-09,45,Northwestern Wildcats,9,4
MFB,2008-09,46,Wake Forest Demon Deacons,8,5
MFB,2008-09,47,Ball State Cardinals,12,2
MFB,2008-09,50,Notre Dame Fighting Irish,7,6
MFB,2008-09,49,Auburn Tigers,5,7
MFB,2008-09,50,Troy Trojans,8,5
MFB,2008-09,51,Georgia Tech Yellow Jackets,9,4
MFB,2008-09,52,Vanderbilt Commodores,7,6
MFB,2008-09,53,Purdue Boilermakers,4,8
MFB,2008-09,54,Maryland Terrapins,8,5
MFB,2008-09,55,Houston Cougars,8,5
