Sport,Season,Rank,Team,W,L
MFB,2018-19,1,Clemson Tigers,15,0
MFB,2018-19,2,Alabama Crimson Tide,14,1
MFB,2018-19,3,Georgia Bulldogs,11,3
MFB,2018-19,4,Ohio State Buckeyes,13,1
MFB,2018-19,5,Oklahoma Sooners,12,2
MFB,2018-19,6,Michigan Wolverines,10,3
MFB,2018-19,50,Notre Dame Fighting Irish,12,1
MFB,2018-19,8,Penn State Nittany Lions,9,4
MFB,2018-19,9,Mississippi State Bulldogs,8,5
MFB,2018-19,10,Washington Huskies,10,4
MFB,2018-19,11,Florida Gators,10,3
MFB,2018-19,12,Auburn Tigers,8,5
MFB,2018-19,13,Texas A&M Aggies,9,4
MFB,2018-19,14,Missouri Tigers,8,5
MFB,2018-19,15,West Virginia Mountaineers,8,4
MFB,2018-19,16,Iowa Hawkeyes,9,4
MFB,2018-19,17,LSU Tigers,10,3
MFB,2018-19,18,Washington State Cougars,11,2
MFB,2018-19,19,Texas Longhorns,10,4
MFB,2018-19,20,Utah Utes,9,5
MFB,2018-19,21,Stanford Cardinal,9,4
MFB,2018-19,22,Fresno State Bulldogs,12,2
MFB,2018-19,23,Utah State Aggies,11,2
MFB,2018-19,24,Wisconsin Badgers,8,5
MFB,2018-19,25,UCF Knights,12,1
MFB,2018-19,26,Kentucky Wildcats,10,3
MFB,2018-19,27,Miami Hurricanes,7,6
MFB,2018-19,28,Syracuse Orange,10,3
MFB,2018-19,29,Boise State Broncos,10,3
MFB,2018-19,30,Oklahoma State Cowboys,7,6
MFB,2018-19,31,Oregon Ducks,9,4
MFB,2018-19,32,Michigan State Spartans,7,6
MFB,2018-19,33,NC State Wolfpack,9,4
MFB,2018-19,34,Texas Tech Red Raiders,5,7
MFB,2018-19,35,South Carolina Gamecocks,7,6
MFB,2018-19,36,Boston College Eagles,7,5
MFB,2018-19,37,Northwestern Wildcats,9,5
MFB,2018-19,38,Iowa State Cyclones,8,5
MFB,2018-19,39,Georgia Tech Yellow Jackets,7,6
MFB,2018-19,40,Purdue Boilermakers,6,7
MFB,2018-19,41,Arizona State Sun Devils,7,6
MFB,2018-19,42,Virginia Cavaliers,8,5
MFB,2018-19,43,Duke Blue Devils,8,5
MFB,2018-19,44,Cincinnati Bearcats,11,2
MFB,2018-19,45,Appalachian State Mountaineers,11,2
MFB,2018-19,46,USC Trojans,5,7
MFB,2018-19,47,TCU Horned Frogs,7,6
MFB,2018-19,48,Minnesota Golden Gophers,7,6
MFB,2018-19,49,Pittsburgh Panthers,7,7
MFB,2018-19,50,Maryland Terrapins,5,7
MFB,2018-19,51,Memphis Tigers,8,6
MFB,2018-19,52,California Golden Bears,7,6
MFB,2018-19,53,Vanderbilt Commodores,6,7
MFB,2018-19,54,Ohio Bobcats,9,4
MFB,2018-19,55,Virginia Tech Hokies,6,7
MFB,2018-19,56,Army Black Knights,11,2
MFB,2018-19,57,Nebraska Cornhuskers,4,8
MFB,2018-19,58,Ole Miss Rebels,5,7
MFB,2018-19,59,Wake Forest Demon Deacons,7,6
MFB,2018-19,60,BYU Cougars,7,6
MFB,2018-19,61,Baylor Bears,7,6
MFB,2018-19,62,Kansas State Wildcats,5,7
MFB,2018-19,63,Indiana Hoosiers,5,7
MFB,2018-19,64,Arizona Wildcats,5,7
MFB,2018-19,65,Tennessee Volunteers,5,7
MFB,2018-19,66,Temple Owls,8,5
MFB,2018-19,67,Florida State Seminoles,5,7
MFB,2018-19,68,UCLA Bruins,3,9
MFB,2018-19,69,Colorado Buffaloes,5,7
MFB,2018-19,70,UAB Blazers,11,3
MFB,2018-19,71,Houston Cougars,8,5
MFB,2018-19,72,Toledo Rockets,7,6
MFB,2018-19,73,Marshall Thundering Herd,9,4
MFB,2018-19,74,North Texas Mean Green,9,4
MFB,2018-19,75,Buffalo Bulls,10,4
MFB,2018-19,76,Georgia Southern Eagles,10,3
MFB,2018-19,77,North Carolina Tar Heels,2,9
MFB,2018-19,78,Air Force Falcons,5,7
MFB,2018-19,79,Troy Trojans,10,3
MFB,2018-19,80,Kansas Jayhawks,3,9
MFB,2018-19,81,Middle Tennessee Blue Raiders,8,6
MFB,2018-19,82,Miami (OH) RedHawks,6,6
MFB,2018-19,83,Northern Illinois Huskies,8,6
MFB,2018-19,84,Nevada Wolf Pack,8,5
MFB,2018-19,85,Tulane Green Wave,7,6
MFB,2018-19,86,Florida International Panthers,9,4
MFB,2018-19,87,Arkansas State Red Wolves,8,5
MFB,2018-19,88,Wyoming Cowboys,6,6
MFB,2018-19,89,Eastern Michigan Eagles,7,6
MFB,2018-19,90,San Diego State Aztecs,7,6
MFB,2018-19,91,Arkansas Razorbacks,2,10
MFB,2018-19,92,Florida Atlantic Owls,5,7
MFB,2018-19,93,Louisiana Tech Bulldogs,8,5
MFB,2018-19,94,South Florida Bulls,7,6
MFB,2018-19,95,Southern Mississippi Golden Eagles,6,5
MFB,2018-19,96,Western Michigan Broncos,7,6
MFB,2018-19,97,SMU Mustangs,5,7
MFB,2018-19,98,Illinois Fighting Illini,4,8
MFB,2018-19,99,Navy Midshipmen,3,10
MFB,2018-19,100,Rutgers Scarlet Knights,1,11
MFB,2018-19,101,Tulsa Golden Hurricane,3,9
MFB,2018-19,102,Louisiana Ragin' Cajuns,7,7
MFB,2018-19,103,Louisville Cardinals,2,10
MFB,2018-19,104,Oregon State Beavers,2,10
MFB,2018-19,105,UL Monroe Warhawks,6,6
MFB,2018-19,106,UMass Minutemen,4,8
MFB,2018-19,107,Hawai'i Rainbow Warriors,8,6
MFB,2018-19,108,Akron Zips,4,8
MFB,2018-19,109,Charlotte 49ers,5,7
MFB,2018-19,110,UNLV Rebels,4,8
MFB,2018-19,111,Colorado State Rams,3,9
MFB,2018-19,112,New Mexico Lobos,3,9
MFB,2018-19,113,Liberty Flames,6,6
MFB,2018-19,114,Ball State Cardinals,4,8
MFB,2018-19,115,Western Kentucky Hilltoppers,3,9
MFB,2018-19,116,Coastal Carolina Chanticleers,5,7
MFB,2018-19,117,Old Dominion Monarchs,4,8
MFB,2018-19,118,Central Michigan Chippewas,1,11
MFB,2018-19,119,San Jose State Spartans,1,11
MFB,2018-19,120,East Carolina Pirates,3,9
MFB,2018-19,121,Georgia State Panthers,2,10
MFB,2018-19,122,Bowling Green Falcons,3,9
MFB,2018-19,123,Kent State Golden Flashes,2,10
MFB,2018-19,124,New Mexico State Aggies,3,9
MFB,2018-19,125,UTSA Roadrunners,3,9
MFB,2018-19,126,Texas State Bobcats,3,9
MFB,2018-19,127,South Alabama Jaguars,3,9
MFB,2018-19,128,Rice Owls,2,11
MFB,2018-19,129,UConn Huskies,1,11
MFB,2018-19,130,UTEP Miners,1,11
