Team,Conference,ConferenceAbbrev,Power5,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7
Bowling Green,Mid-American,MAC,FALSE,Falcons,BGSU,Bowling Green State,Bowling Green St.,Bowling Green St,,,
Buffalo,Mid-American,MAC,FALSE,Bulls,BUFF,,,,,,
Central Michigan,Mid-American,MAC,FALSE,Chippewas,CMU,Cent Michigan,C Michigan,,,,
Eastern Michigan,Mid-American,MAC,FALSE,Eagles,EMU,E Michigan,,,,,
Kent State,Mid-American,MAC,FALSE,Golden Flashes,KENT,Kent St.,Kent St,,,,
Miami (OH),Mid-American,MAC,FALSE,RedHawks,M-OH,Miami (Ohio),,,,,
Northern Illinois,Mid-American,MAC,FALSE,Huskies,NIU,N Illinois,,,,,
Ohio,Mid-American,MAC,FALSE,Bobcats,OHIO,,,,,,
Toledo,Mid-American,MAC,FALSE,Rockets,TOL,TOLEDO,,,,,
Western Michigan,Mid-American,MAC,FALSE,Broncos,WMU,W Michigan,,,,,
Air Force,Mountain West,MWC,FALSE,Falcons,AFA,,,,,,
Boise St.,Mountain West,MWC,FALSE,Broncos,BSU,Boise St,Boise State,,,,
Colorado St.,Mountain West,MWC,FALSE,Rams,CSU,Colorado St,Colorado State,,,,
Fresno St.,Mountain West,MWC,FALSE,Bulldogs,FRES,Fresno St,Fresno State,,,,
Hawaii,Mountain West,MWC,FALSE,Rainbow Warriors,HAW,Hawai'i,,,,,
Nevada,Mountain West,MWC,FALSE,Wolf Pack,NEV,,,,,,
New Mexico,Mountain West,MWC,FALSE,Lobos,UNM,,,,,,
San Diego St.,Mountain West,MWC,FALSE,Aztecs,SDSU,San Diego St,San Diego State,,,,
San Jose St.,Mountain West,MWC,FALSE,Spartans,SJSU,San Jose St,San Jose State,San José State,,,
UNLV,Mountain West,MWC,FALSE,Rebels,UNLV,Nevada-Las Vegas,Nevada Las Vegas,,,,
Utah St.,Mountain West,MWC,FALSE,Aggies,USU,Utah St,Utah State,,,,
Wyoming,Mountain West,MWC,FALSE,Cowboys,WYO,,,,,,
Arizona,Pac 12,Pac-12,TRUE,Wildcats,ARIZ,,,,,,
Arizona St.,Pac 12,Pac-12,TRUE,Sun Devils,ASU,Arizona St,Arizona State,,,,
California,Pac 12,Pac-12,TRUE,Golden Bears,CAL,Cal,,,,,
Colorado,Pac 12,Pac-12,TRUE,Buffaloes,COLO,,,,,,
Oregon,Pac 12,Pac-12,TRUE,Ducks,ORE,UO,,,,,
Oregon St.,Pac 12,Pac-12,TRUE,Beavers,ORST,Oregon St,Oregon State,,,,
Stanford,Pac 12,Pac-12,TRUE,Cardinal,STAN,,,,,,
UCLA,Pac 12,Pac-12,TRUE,Bruins,UCLA,,,,,,
USC,Pac 12,Pac-12,TRUE,Trojans,USC,Southern Cal,Southern California,,,,
Utah,Pac 12,Pac-12,TRUE,Utes,UTAH,,,,,,
Washington,Pac 12,Pac-12,TRUE,Huskies,WASH,UW,,,,,
Washington St.,Pac 12,Pac-12,TRUE,Cougars,WSU,Washington St,Washington State,,,,
Alabama,Southeastern,SEC,TRUE,Crimson Tide,ALA,BAMA,,,,,
Arkansas,Southeastern,SEC,TRUE,Razorbacks,ARK,,,,,,
Auburn,Southeastern,SEC,TRUE,Tigers,AUB,,,,,,
Florida,Southeastern,SEC,TRUE,Gators,FLA,UF,,,,,
Georgia,Southeastern,SEC,TRUE,Bulldogs,UGA,,,,,,
Kentucky,Southeastern,SEC,TRUE,Wildcats,UK,,,,,,
LSU,Southeastern,SEC,TRUE,Tigers,LSU,Louisiana State,,,,,
Ole Miss,Southeastern,SEC,TRUE,Rebels,MISS,Mississippi,,,,,
Mississippi St.,Southeastern,SEC,TRUE,Bulldogs,MSST,Mississippi St,Mississippi State,Miss St,Miss St.,,
Missouri,Southeastern,SEC,TRUE,Tigers,MIZ,MIZZ,,,,,
South Carolina,Southeastern,SEC,TRUE,Gamecocks,SC,SCAR,S Carolina,,,,
Tennessee,Southeastern,SEC,TRUE,Volunteers,TENN,,,,,,
Texas A&M,Southeastern,SEC,TRUE,Aggies,TAMU,Texas A&M,,,,,
Vanderbilt,Southeastern,SEC,TRUE,Commodores,VAN,,,,,,
Appalachian St.,Sun Belt,Sun Belt,FALSE,Mountaineers,APP,Appalachian St,App State,Appalachian,Appalachian State,,
Arkansas St.,Sun Belt,Sun Belt,FALSE,Red Wolves,ARST,Arkansas St,AKST,Arkansas State,,,
Coastal Carolina,Sun Belt,Sun Belt,FALSE,Chanticleers,CCU,C. Carolina,Coast Carolina,,,,
Georgia Southern,Sun Belt,Sun Belt,FALSE,Eagles,GASO,Ga Southern,,,,,
Georgia St.,Sun Belt,Sun Belt,FALSE,Panthers,GAST,GSU,Georgia St,Georgia State,,,
Louisiana,Sun Belt,Sun Belt,FALSE,Ragin' Cajuns,ULL,Louisiana Lafayette,Louisiana-Lafayette,,,,
UL Monroe,Sun Belt,Sun Belt,FALSE,Warhawks,ULM,Louisiana Monroe,Louisiana-Monroe,,,,
South Alabama,Sun Belt,Sun Belt,FALSE,Jaguars,USA,S Alabama,,,,,
Texas St.,Sun Belt,Sun Belt,FALSE,Bobcats,TXST,Texas St,Texas State,,,,
