Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin/G
2012,Houston,C-USA,82,12,5,7,12,19,31,15,20,35,-0.33
2012,Kentucky,SEC,82,12,2,10,7,5,12,6,10,16,-0.33
2012,UTEP,C-USA,82,12,3,9,12,7,19,10,13,23,-0.33
2012,Texas A&M,SEC,86,13,11,2,4,12,16,11,10,21,-0.38
2012,Virginia Tech,ACC,86,13,7,6,8,13,21,9,17,26,-0.38
2012,Boston College,ACC,88,12,2,10,9,10,19,11,13,24,-0.42
2012,Colorado St.,Mountain West,88,12,4,8,14,7,21,11,15,26,-0.42
2012,Eastern Michigan,MAC,88,12,2,10,9,7,16,6,15,21,-0.42
2012,Miami (FL),OH ,88,12,7,5,2,12,14,7,12,19,-0.42
2012,Tennessee,SEC,88,12,5,7,5,12,17,8,14,22,-0.42
2012,Florida St.,ACC,93,14,12,2,10,11,21,17,10,27,-0.43
2012,UNLV,Mountain West,94,13,2,11,8,9,17,6,17,23,-0.46
2012,Buffalo,MAC,95,12,4,8,3,13,16,12,10,22,-0.5
2012,California,Pac-12,96,12,3,9,9,14,23,17,13,30,-0.58
2012,Troy,Sun Belt,96,12,5,7,14,6,20,15,12,27,-0.58
2012,Army,Independent,98,12,2,10,7,7,14,20,2,22,-0.67
2012,Michigan,Big Ten,99,13,8,5,11,7,18,8,19,27,-0.69
2012,NC State,ACC,99,13,7,6,8,16,24,16,17,33,-0.69
2012,Tulane,C-USA,101,12,2,10,9,15,24,13,20,33,-0.75
2012,UAB,C-USA,101,12,3,9,12,6,18,14,13,27,-0.75
2012,Washington St.,Pac-12,101,12,3,9,6,15,21,9,21,30,-0.75
2012,Maryland,ACC,104,12,4,8,16,4,20,18,12,30,-0.83
2012,Nebraska,Big Ten,105,14,10,4,10,13,23,22,13,35,-0.86
2012,Air Force,Mountain West,106,13,6,7,8,8,16,21,8,29,-1
2012,Auburn,SEC,106,12,3,9,11,2,13,10,15,25,-1
2012,Illinois,Big Ten,106,12,2,10,11,7,18,16,14,30,-1
2012,Texas Tech,Big 12,106,13,8,5,3,8,11,8,16,24,-1
2012,Akron,MAC,110,12,1,11,8,5,13,9,18,27,-1.17
2012,Connecticut,AAC,110,12,5,7,6,6,12,8,18,26,-1.17
2012,Hawaii,Mountain West,110,12,3,9,10,9,19,20,13,33,-1.17
2012,Virginia,ACC,110,12,4,8,8,4,12,11,15,26,-1.17
2012,Western Michigan,MAC,110,12,4,8,9,8,17,10,21,31,-1.17
2012,Southern Miss,C-USA,115,12,0,12,7,5,12,15,13,28,-1.33
2012,Idaho,WAC,116,12,1,11,13,9,22,17,22,39,-1.42
2012,New Mexico State,WAC,117,12,1,11,5,4,9,16,11,27,-1.5
2012,Arkansas,SEC,118,12,4,8,6,6,12,15,16,31,-1.58
2012,Colorado,Pac-12,118,12,1,11,12,3,15,15,19,34,-1.58
2012,South Florida,AAC,118,12,3,9,7,2,9,13,15,28,-1.58
