Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2021,Nevada,Mountain West,1,13,8,5,13,14,27,1,9,10,17,1.3076923076923077
2021,Louisiana,Sun Belt,2,14,13,1,13,10,23,4,4,8,15,1.0714285714285714
2021,Baylor,Big 12,3,14,12,2,8,19,27,7,7,14,13,0.9285714285714286
2021,Kent State,MAC,3,14,7,7,9,16,25,6,6,12,13,0.9285714285714286
2021,Cincinnati,AAC,5,14,13,1,11,19,30,9,9,18,12,0.8571428571428571
2021,UTSA,C-USA,5,14,12,2,13,12,25,7,6,13,12,0.8571428571428571
2021,BYU,FBS Independent,7,13,10,3,8,15,23,7,5,12,11,0.8461538461538461
2021,Middle Tennessee,C-USA,7,13,7,6,15,17,32,8,13,21,11,0.8461538461538461
2021,Oklahoma,Big 12,7,13,11,2,13,11,24,4,9,13,11,0.8461538461538461
2021,Washington St.,Pac-12,7,13,7,6,14,15,29,5,13,18,11,0.8461538461538461
2021,California,Pac-12,11,12,5,7,7,13,20,2,8,10,10,0.8333333333333334
2021,Iowa,Big Ten,12,14,10,4,5,25,30,8,11,19,11,0.7857142857142857
2021,Western Kentucky,C-USA,12,14,9,5,10,21,31,8,12,20,11,0.7857142857142857
2021,San Diego St.,Mountain West,14,14,12,2,6,17,23,8,5,13,10,0.7142857142857143
2021,Notre Dame,FBS Independent,15,13,11,2,10,15,25,6,10,16,9,0.6923076923076923
2021,Ohio St.,Big Ten,15,13,11,2,8,12,20,3,8,11,9,0.6923076923076923
2021,Houston,AAC,17,14,12,2,9,14,23,2,12,14,9,0.6428571428571429
2021,Wake Forest,ACC,17,14,11,3,14,15,29,5,15,20,9,0.6428571428571429
2021,Army,FBS Independent,19,13,9,4,6,10,16,5,3,8,8,0.6153846153846154
2021,Ole Miss,SEC,19,13,10,3,9,11,20,5,7,12,8,0.6153846153846154
2021,Alabama,SEC,21,15,13,2,7,15,22,6,7,13,9,0.6
2021,Boise St.,Mountain West,22,12,7,5,9,13,22,5,10,15,7,0.5833333333333334
2021,Illinois,Big Ten,22,12,5,7,9,9,18,5,6,11,7,0.5833333333333334
2021,UCLA,Pac-12,22,12,8,4,9,12,21,6,8,14,7,0.5833333333333334
2021,Oregon,Pac-12,25,14,10,4,5,17,22,6,8,14,8,0.5714285714285714
2021,Pittsburgh,ACC,25,14,11,3,7,16,23,7,8,15,8,0.5714285714285714
2021,Ball St.,MAC,27,13,6,7,4,15,19,5,7,12,7,0.5384615384615384
2021,Toledo,MAC,27,13,7,6,6,8,14,4,3,7,7,0.5384615384615384
2021,Colorado,Pac-12,29,12,4,8,4,9,13,4,3,7,6,0.5
2021,NC State,ACC,29,12,9,3,2,15,17,5,6,11,6,0.5
2021,Air Force,Mountain West,31,13,10,3,7,8,15,5,4,9,6,0.46153846153846156
2021,Arkansas,SEC,31,13,9,4,4,13,17,6,5,11,6,0.46153846153846156
2021,Georgia St.,Sun Belt,31,13,8,5,10,11,21,7,8,15,6,0.46153846153846156
2021,Penn State,Big Ten,31,13,7,6,7,14,21,5,10,15,6,0.46153846153846156
2021,Central Florida,AAC,31,13,9,4,9,11,20,5,9,14,6,0.46153846153846156
2021,Navy,AAC,36,12,4,8,6,7,13,5,3,8,5,0.4166666666666667
2021,South Alabama,Sun Belt,36,12,5,7,10,15,25,9,11,20,5,0.4166666666666667
2021,Miami (FL),OH ,38,13,7,6,8,9,17,4,8,12,5,0.38461538461538464
2021,Florida Atlantic,C-USA,39,12,5,7,7,13,20,8,8,16,4,0.3333333333333333
2021,Eastern Michigan,MAC,40,13,7,6,8,8,16,3,9,12,4,0.3076923076923077
2021,Kansas St.,Big 12,40,13,8,5,7,11,18,7,7,14,4,0.3076923076923077
2021,Minnesota,Big Ten,40,13,9,4,9,8,17,4,9,13,4,0.3076923076923077
2021,Rutgers,Big Ten,40,13,5,8,11,7,18,4,10,14,4,0.3076923076923077
2021,New Mexico State,FBS Independent,44,12,2,10,9,10,19,6,10,16,3,0.25
2021,Troy,Sun Belt,44,12,5,7,8,16,24,11,10,21,3,0.25
2021,Michigan St.,Big Ten,46,13,11,2,10,10,20,7,10,17,3,0.23076923076923078
2021,Missouri,SEC,46,13,6,7,5,11,16,2,11,13,3,0.23076923076923078
2021,Tennessee,SEC,46,13,7,6,3,13,16,10,3,13,3,0.23076923076923078
2021,Georgia,SEC,49,15,14,1,5,16,21,6,12,18,3,0.2
2021,Bowling Green,MAC,50,12,4,8,7,12,19,8,9,17,2,0.16666666666666666
2021,Kansas,Big 12,50,12,2,10,8,7,15,3,10,13,2,0.16666666666666666
2021,UL Monroe,Sun Belt,50,12,4,8,7,11,18,7,9,16,2,0.16666666666666666
2021,Clemson,ACC,53,13,10,3,9,12,21,8,11,19,2,0.15384615384615385
2021,Coastal Carolina,Sun Belt,53,13,11,2,6,6,12,6,4,10,2,0.15384615384615385
2021,Fresno St.,Mountain West,53,13,10,3,13,11,24,12,10,22,2,0.15384615384615385
2021,Iowa St.,Big 12,53,13,7,6,5,11,16,5,9,14,2,0.15384615384615385
2021,Louisville,ACC,53,13,6,7,5,10,15,7,6,13,2,0.15384615384615385
2021,North Carolina,ACC,53,13,6,7,5,11,16,5,9,14,2,0.15384615384615385
2021,UAB,C-USA,53,13,9,4,9,10,19,7,10,17,2,0.15384615384615385
2021,Michigan,Big Ten,60,14,12,2,8,8,16,5,9,14,2,0.14285714285714285
2021,Utah St.,Mountain West,60,14,11,3,13,12,25,8,15,23,2,0.14285714285714285
2021,Florida St.,ACC,62,12,5,7,7,14,21,8,12,20,1,0.08333333333333333
2021,Texas A&M,SEC,62,12,8,4,6,10,16,2,13,15,1,0.08333333333333333
2021,Auburn,SEC,64,13,6,7,3,9,12,7,4,11,1,0.07692307692307693
2021,Central Michigan,MAC,64,13,9,4,10,5,15,4,10,14,1,0.07692307692307693
2021,Oregon St.,Pac-12,64,13,7,6,4,15,19,6,12,18,1,0.07692307692307693
2021,Virginia Tech,ACC,64,13,6,7,4,10,14,8,5,13,1,0.07692307692307693
2021,Wisconsin,Big Ten,64,13,9,4,8,16,24,10,13,23,1,0.07692307692307693
2021,Utah,Pac-12,69,14,10,4,6,10,16,7,8,15,1,0.07142857142857142
2021,Arizona St.,Pac-12,70,13,8,5,5,16,21,11,10,21,0,0.0
2021,North Texas,C-USA,70,13,6,7,12,6,18,4,14,18,0,0.0
2021,South Carolina,SEC,70,13,7,6,9,15,24,13,11,24,0,0.0
2021,Western Michigan,MAC,70,13,8,5,10,4,14,8,6,14,0,0.0
2021,Boston College,ACC,74,12,6,6,7,10,17,7,11,18,-1,-0.08333333333333333
2021,East Carolina,AAC,74,12,7,5,6,15,21,11,11,22,-1,-0.08333333333333333
2021,Louisiana Tech,C-USA,74,12,3,9,12,9,21,6,16,22,-1,-0.08333333333333333
2021,Memphis,AAC,74,12,6,6,7,9,16,6,11,17,-1,-0.08333333333333333
2021,USC,Pac-12,74,12,4,8,5,14,19,7,13,20,-1,-0.08333333333333333
2021,Oklahoma St.,Big 12,79,14,12,2,10,9,19,8,13,21,-2,-0.14285714285714285
2021,Mississippi St.,SEC,80,13,7,6,5,11,16,9,9,18,-2,-0.15384615384615385
2021,Georgia Tech,ACC,81,12,3,9,10,3,13,5,10,15,-2,-0.16666666666666666
2021,Temple,AAC,81,12,3,9,9,6,15,8,9,17,-2,-0.16666666666666666
2021,Hawaii,Mountain West,83,13,6,7,13,14,27,14,16,30,-3,-0.23076923076923078
2021,LSU,SEC,83,13,6,7,5,8,13,5,11,16,-3,-0.23076923076923078
2021,Purdue,Big Ten,83,13,9,4,4,13,17,8,12,20,-3,-0.23076923076923078
2021,Wyoming,Mountain West,83,13,7,6,5,10,15,6,12,18,-3,-0.23076923076923078
2021,Rice,C-USA,87,12,4,8,5,14,19,7,15,22,-3,-0.25
2021,SMU,AAC,87,12,8,4,5,10,15,6,12,18,-3,-0.25
2021,Vanderbilt,SEC,87,12,2,10,3,13,16,5,14,19,-3,-0.25
2021,Virginia,ACC,87,12,6,6,7,8,15,6,12,18,-3,-0.25
2021,Appalachian St.,Sun Belt,91,14,10,4,7,15,22,14,12,26,-4,-0.2857142857142857
