Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2020,Arizona St.,Pac-12,1,4,2,2,8,5,13,4,1,5,8,2.0
2020,Ohio,MAC,2,3,2,1,1,5,6,2,0,2,4,1.3333333333333333
2020,Ohio St.,Big Ten,3,8,7,1,12,7,19,3,6,9,10,1.25
2020,Washington,Pac-12,3,4,3,1,5,3,8,0,3,3,5,1.25
2020,Central Florida,AAC,5,10,6,4,13,9,22,6,4,10,12,1.2
2020,Ball St.,MAC,6,8,7,1,8,10,18,3,6,9,9,1.125
2020,Iowa,Big Ten,6,8,6,2,7,11,18,4,5,9,9,1.125
2020,Wake Forest,ACC,8,9,4,5,4,13,17,2,5,7,10,1.1111111111111112
2020,Coastal Carolina,Sun Belt,9,12,11,1,9,16,25,7,5,12,13,1.0833333333333333
2020,Central Michigan,MAC,10,6,3,3,7,8,15,5,4,9,6,1.0
2020,Indiana,Big Ten,10,8,6,2,3,17,20,7,5,12,8,1.0
2020,Texas,Big 12,10,10,7,3,9,10,19,4,5,9,10,1.0
2020,Kentucky,SEC,13,11,5,6,6,16,22,7,5,12,10,0.9090909090909091
2020,Louisiana,Sun Belt,13,11,10,1,7,16,23,6,7,13,10,0.9090909090909091
2020,LSU,SEC,15,10,5,5,9,13,22,4,9,13,9,0.9
2020,Baylor,Big 12,16,9,2,7,5,12,17,1,8,9,8,0.8888888888888888
2020,USC,Pac-12,17,6,5,1,7,9,16,4,7,11,5,0.8333333333333334
2020,Alabama,SEC,18,13,13,0,10,12,22,8,4,12,10,0.7692307692307693
2020,BYU,FBS Independent,19,12,11,1,10,8,18,5,4,9,9,0.75
2020,Illinois,Big Ten,19,8,2,6,8,7,15,5,4,9,6,0.75
2020,Georgia Southern,Sun Belt,21,13,8,5,8,18,26,6,11,17,9,0.6923076923076923
2020,Clemson,ACC,22,12,10,2,9,14,23,9,6,15,8,0.6666666666666666
2020,Rutgers,Big Ten,22,9,3,6,12,8,20,5,9,14,6,0.6666666666666666
2020,Boston College,ACC,24,11,6,5,12,9,21,6,8,14,7,0.6363636363636364
2020,Texas A&M,SEC,25,10,9,1,4,10,14,4,4,8,6,0.6
2020,UTSA,C-USA,26,12,7,5,8,11,19,4,8,12,7,0.5833333333333334
2020,Buffalo,MAC,27,7,6,1,4,6,10,2,4,6,4,0.5714285714285714
2020,New Mexico,Mountain West,27,7,2,5,7,6,13,3,6,9,4,0.5714285714285714
2020,Hawaii,Mountain West,29,9,5,4,5,12,17,6,6,12,5,0.5555555555555556
2020,Arkansas,SEC,30,10,3,7,5,13,18,7,6,13,5,0.5
2020,Army,FBS Independent,30,12,9,3,6,14,20,8,6,14,6,0.5
2020,Cincinnati,AAC,30,10,9,1,5,16,21,10,6,16,5,0.5
2020,Notre Dame,Independent,30,12,10,2,10,7,17,8,3,11,6,0.5
2020,SMU,AAC,30,10,7,3,10,7,17,6,6,12,5,0.5
2020,Oklahoma,Big 12,35,11,9,2,3,16,19,6,8,14,5,0.45454545454545453
2020,Northwestern,Big Ten,36,9,7,2,5,14,19,7,8,15,4,0.4444444444444444
2020,Tulane,AAC,37,12,6,6,10,9,19,4,10,14,5,0.4166666666666667
2020,Auburn,SEC,38,11,6,5,4,9,13,2,7,9,4,0.36363636363636365
2020,Miami (FL),FL ,38,11,8,3,9,7,16,6,6,12,4,0.36363636363636365
2020,Pittsburgh,ACC,38,11,6,5,6,14,20,4,12,16,4,0.36363636363636365
2020,Charlotte,C-USA,41,6,2,4,3,5,8,4,2,6,2,0.3333333333333333
2020,Iowa St.,Big 12,41,12,9,3,9,9,18,5,9,14,4,0.3333333333333333
