Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2014,Marshall,C-USA,71,14,13,1,9,13,22,11,13,24,-2,-0.14285714285714285
2014,South Carolina,SEC,73,13,7,6,8,11,19,10,11,21,-2,-0.15384615384615385
2014,Rutgers,Big Ten,73,13,8,5,11,7,18,7,13,20,-2,-0.15384615384615385
2014,Nebraska,Big Ten,73,13,9,4,10,13,23,13,12,25,-2,-0.15384615384615385
2014,UAB,C-USA,76,12,6,6,10,9,19,9,12,21,-2,-0.16666666666666666
2014,Akron,MAC,76,12,5,7,11,13,24,12,14,26,-2,-0.16666666666666666
2014,Wyoming,Mountain West,76,12,4,8,13,3,16,8,10,18,-2,-0.16666666666666666
2014,Wake Forest,ACC,76,12,3,9,13,6,19,7,14,21,-2,-0.16666666666666666
2014,Indiana,Big Ten,76,12,4,8,4,13,17,10,9,19,-2,-0.16666666666666666
2014,Toledo,MAC,81,13,9,4,4,10,14,8,9,17,-3,-0.23076923076923078
2014,Illinois,Big Ten,81,13,6,7,12,7,19,10,12,22,-3,-0.23076923076923078
2014,Texas,Big 12,81,13,6,7,7,15,22,14,11,25,-3,-0.23076923076923078
2014,Notre Dame,FBS Independent,81,13,8,5,7,16,23,12,14,26,-3,-0.23076923076923078
2014,UTSA,C-USA,85,12,4,8,10,9,19,10,12,22,-3,-0.25
2014,California,Pac-12,85,12,5,7,5,12,17,10,10,20,-3,-0.25
2014,Florida Atlantic,C-USA,85,12,3,9,7,8,15,13,5,18,-3,-0.25
2014,Buffalo,MAC,88,11,5,6,13,2,15,6,12,18,-3,-0.2727272727272727
2014,Navy,FBS Independent,89,13,8,5,5,13,18,17,5,22,-4,-0.3076923076923077
2014,Virginia Tech,ACC,89,13,7,6,10,12,22,11,15,26,-4,-0.3076923076923077
2014,East Carolina,AAC,89,13,8,5,5,14,19,12,11,23,-4,-0.3076923076923077
2014,Middle Tennessee,C-USA,92,12,6,6,7,13,20,11,13,24,-4,-0.3333333333333333
2014,Ohio,MAC,92,12,6,6,7,12,19,14,9,23,-4,-0.3333333333333333
2014,Kent State,MAC,94,11,2,9,9,8,17,4,17,21,-4,-0.36363636363636365
2014,Stanford,Pac-12,95,13,8,5,4,12,16,13,8,21,-5,-0.38461538461538464
2014,Central Michigan,MAC,95,13,7,6,8,14,22,14,13,27,-5,-0.38461538461538464
2014,Oklahoma,Big 12,95,13,8,5,7,12,19,7,17,24,-5,-0.38461538461538464
2014,Pittsburgh,,95,13,6,7,4,10,14,12,7,19,-5,-0.38461538461538464
2014,Penn State,Big Ten,95,13,7,6,5,16,21,11,15,26,-5,-0.38461538461538464
2014,Purdue,Big Ten,100,12,3,9,9,10,19,8,16,24,-5,-0.4166666666666667
2014,Florida St.,ACC,101,14,13,1,12,14,26,12,20,32,-6,-0.42857142857142855
2014,Iowa,Big Ten,102,13,7,6,3,13,16,15,7,22,-6,-0.46153846153846156
2014,Fresno St.,Mountain West,103,14,6,8,11,9,20,6,21,27,-7,-0.5
2014,Massachusetts,MAC,103,12,3,9,5,12,17,10,13,23,-6,-0.5
2014,UNLV,Mountain West,105,13,2,11,11,7,18,3,22,25,-7,-0.5384615384615384
2014,Hawaii,Mountain West,105,13,4,9,9,11,20,13,14,27,-7,-0.5384615384615384
2014,South Alabama,Sun Belt,105,13,6,7,15,6,21,11,17,28,-7,-0.5384615384615384
2014,Texas A&M,SEC,105,13,8,5,8,5,13,5,15,20,-7,-0.5384615384615384
2014,Oklahoma St.,Big 12,109,13,7,6,2,12,14,5,17,22,-8,-0.6153846153846154
2014,Wisconsin,Big Ten,110,14,11,3,11,6,17,10,16,26,-9,-0.6428571428571429
2014,Tulsa,AAC,111,12,2,10,7,8,15,5,18,23,-8,-0.6666666666666666
2014,Colorado,Pac-12,112,12,2,10,8,3,11,6,15,21,-10,-0.8333333333333334
2014,Southern Miss,C-USA,112,12,3,9,9,7,16,11,15,26,-10,-0.8333333333333334
2014,Idaho,Sun Belt,114,11,1,10,9,8,17,8,20,28,-11,-1.0
2014,San Jose St.,Mountain West,114,12,3,9,8,6,14,12,14,26,-12,-1.0
2014,New Mexico State,Sun Belt,116,12,2,10,10,11,21,10,24,34,-13,-1.0833333333333333
2014,Connecticut,AAC,116,12,2,10,7,8,15,16,12,28,-13,-1.0833333333333333
2014,Texas Tech,Big 12,116,12,4,8,9,6,15,10,18,28,-13,-1.0833333333333333
2014,West Virginia,Big 12,119,13,7,6,2,12,14,19,10,29,-15,-1.1538461538461537
2014,SMU,AAC,120,12,1,11,10,6,16,16,14,30,-14,-1.1666666666666667
2014,Vanderbilt,SEC,121,12,3,9,7,6,13,10,19,29,-16,-1.3333333333333333
2014,Michigan,Big Ten,121,12,5,7,5,5,10,8,18,26,-16,-1.3333333333333333
2014,Washington St.,Pac-12,123,12,3,9,5,3,8,7,18,25,-17,-1.4166666666666667
2014,Eastern Michigan,MAC,124,12,2,10,6,6,12,19,11,30,-18,-1.5
2014,Georgia St.,Sun Belt,125,12,1,11,5,3,8,12,18,30,-22,-1.8333333333333333
