Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2016,Washington,Pac-12,1,14,12,2,14,19,33,6,9,15,18,1.2857142857142858
2016,Western Michigan,MAC,1,14,13,1,11,15,26,4,4,8,18,1.2857142857142858
2016,Ohio St.,Big Ten,3,13,11,2,6,21,27,5,7,12,15,1.1538461538461537
2016,Old Dominion,C-USA,4,13,10,3,12,11,23,4,6,10,13,1.0
2016,San Diego St.,Mountain West,4,14,11,3,3,26,29,9,6,15,14,1.0
2016,Kansas St.,Big 12,4,13,9,4,9,16,25,7,5,12,13,1.0
2016,BYU,FBS Independent,7,13,9,4,10,21,31,7,12,19,12,0.9230769230769231
2016,Kent State,MAC,8,12,3,9,12,12,24,5,8,13,11,0.9166666666666666
2016,Wisconsin,Big Ten,9,14,11,3,6,22,28,6,10,16,12,0.8571428571428571
2016,Idaho,Sun Belt,10,13,9,4,11,17,28,6,11,17,11,0.8461538461538461
2016,Oklahoma St.,Big 12,10,13,10,3,11,14,25,10,4,14,11,0.8461538461538461
2016,Troy,Sun Belt,12,13,10,3,8,22,30,7,13,20,10,0.7692307692307693
2016,Tulane,AAC,13,12,4,8,15,12,27,10,8,18,9,0.75
2016,South Florida,AAC,14,13,11,2,11,15,26,9,8,17,9,0.6923076923076923
2016,Miami (FL),FL ,14,13,9,4,11,8,19,3,7,10,9,0.6923076923076923
2016,Northwestern,Big Ten,14,13,7,6,9,16,25,7,9,16,9,0.6923076923076923
2016,Alabama,SEC,17,15,14,1,13,16,29,10,9,19,10,0.6666666666666666
2016,Appalachian St.,Sun Belt,18,13,10,3,1,20,21,5,8,13,8,0.6153846153846154
2016,Wake Forest,ACC,18,13,7,6,15,12,27,6,13,19,8,0.6153846153846154
2016,Minnesota,Big Ten,18,13,9,4,16,9,25,5,12,17,8,0.6153846153846154
2016,Memphis,AAC,18,13,8,5,13,16,29,11,10,21,8,0.6153846153846154
2016,Georgia,SEC,18,13,8,5,12,15,27,10,9,19,8,0.6153846153846154
2016,Charlotte,C-USA,23,12,4,8,6,16,22,9,6,15,7,0.5833333333333334
2016,Mississippi St.,SEC,24,13,6,7,9,14,23,6,10,16,7,0.5384615384615384
2016,Michigan,Big Ten,24,13,10,3,6,13,19,5,7,12,7,0.5384615384615384
2016,Boston College,ACC,24,13,7,6,15,12,27,12,8,20,7,0.5384615384615384
2016,South Carolina,SEC,24,13,6,7,12,15,27,13,7,20,7,0.5384615384615384
2016,Washington St.,Pac-12,28,13,8,5,11,12,23,5,12,17,6,0.46153846153846156
2016,Air Force,Mountain West,28,13,10,3,8,15,23,9,8,17,6,0.46153846153846156
2016,Utah,Pac-12,28,13,9,4,13,18,31,17,8,25,6,0.46153846153846156
2016,Iowa,Big Ten,28,13,8,5,9,9,18,2,10,12,6,0.46153846153846156
2016,Colorado,Pac-12,32,14,10,4,11,15,26,9,11,20,6,0.42857142857142855
2016,Temple,AAC,32,14,10,4,13,12,25,6,13,19,6,0.42857142857142855
2016,Arkansas St.,Sun Belt,34,13,8,5,11,11,22,8,9,17,5,0.38461538461538464
2016,Nebraska,Big Ten,34,13,9,4,3,16,19,5,9,14,5,0.38461538461538464
2016,Marshall,C-USA,36,12,3,9,12,8,20,4,12,16,4,0.3333333333333333
2016,Nevada,Mountain West,36,12,5,7,10,5,15,2,9,11,4,0.3333333333333333
2016,West Virginia,Big 12,38,13,10,3,11,14,25,10,11,21,4,0.3076923076923077
2016,Georgia Tech,ACC,38,13,9,4,8,11,19,11,4,15,4,0.3076923076923077
2016,Vanderbilt,SEC,38,13,6,7,14,5,19,4,11,15,4,0.3076923076923077
2016,California,Pac-12,41,12,5,7,7,11,18,3,12,15,3,0.25
2016,UTSA,C-USA,42,13,6,7,11,7,18,7,8,15,3,0.23076923076923078
2016,Texas A&M,SEC,42,13,8,5,12,12,24,12,9,21,3,0.23076923076923078
2016,Florida St.,ACC,42,13,10,3,8,15,23,12,8,20,3,0.23076923076923078
2016,Auburn,SEC,42,13,8,5,6,11,17,8,6,14,3,0.23076923076923078
2016,Wyoming,Mountain West,46,14,8,6,12,15,27,9,15,24,3,0.21428571428571427
2016,SMU,AAC,47,12,5,7,8,18,26,7,17,24,2,0.16666666666666666
2016,UNLV,Mountain West,47,12,4,8,10,5,15,3,10,13,2,0.16666666666666666
