Year,School,Conf,Rank,G,W,L,Opp_Fum,Opp_Int,Opp_TO,Fum,Int,TO,Margin,Margin/G
2015,San Diego St.,Mountain West,1,14,11,3,11,23,34,9,3,12,22,1.5714285714285714
2015,Houston,AAC,2,14,13,1,14,21,35,7,7,14,21,1.5
2015,Navy,AAC,3,13,11,2,15,12,27,6,2,8,19,1.4615384615384615
2015,Michigan St.,Big Ten,4,14,12,2,13,15,28,6,8,14,14,1.0
2015,Western Kentucky,C-USA,4,14,12,2,14,17,31,8,9,17,14,1.0
2015,Oklahoma St.,Big 12,4,13,10,3,11,17,28,5,10,15,13,1.0
2015,Utah,Pac-12,4,13,10,3,12,22,34,10,11,21,13,1.0
2015,Texas,Big 12,8,12,5,7,12,13,25,8,6,14,11,0.9166666666666666
2015,Bowling Green,MAC,9,14,10,4,7,20,27,7,8,15,12,0.8571428571428571
2015,Miami (FL),FL ,10,13,8,5,10,15,25,5,9,14,11,0.8461538461538461
2015,USC,Pac-12,11,14,8,6,9,14,23,5,7,12,11,0.7857142857142857
2015,Iowa,Big Ten,11,14,12,2,8,19,27,11,5,16,11,0.7857142857142857
2015,Akron,MAC,13,13,8,5,14,14,28,6,12,18,10,0.7692307692307693
2015,South Florida,AAC,13,13,8,5,8,17,25,6,9,15,10,0.7692307692307693
2015,Oklahoma,Big 12,15,13,11,2,7,20,27,9,9,18,9,0.6923076923076923
2015,West Virginia,Big 12,15,13,8,5,8,23,31,7,15,22,9,0.6923076923076923
2015,Boise St.,Mountain West,15,13,9,4,9,22,31,10,12,22,9,0.6923076923076923
2015,NC State,ACC,15,13,7,6,9,13,22,7,6,13,9,0.6923076923076923
2015,Connecticut,AAC,15,13,6,7,7,18,25,6,10,16,9,0.6923076923076923
2015,Nevada,Mountain West,15,13,7,6,8,13,21,5,7,12,9,0.6923076923076923
2015,Alabama,SEC,21,15,14,1,8,19,27,7,10,17,10,0.6666666666666666
2015,Toledo,MAC,21,12,10,2,10,12,22,4,10,14,8,0.6666666666666666
2015,Memphis,AAC,23,13,9,4,10,12,22,9,5,14,8,0.6153846153846154
2015,Arkansas St.,Sun Belt,23,13,9,4,8,26,34,11,15,26,8,0.6153846153846154
2015,Indiana,Big Ten,23,13,6,7,10,12,22,6,8,14,8,0.6153846153846154
2015,LSU,SEC,26,12,9,3,7,10,17,4,6,10,7,0.5833333333333334
2015,Florida,SEC,27,14,10,4,11,14,25,7,10,17,8,0.5714285714285714
2015,Arkansas,SEC,28,13,8,5,7,11,18,3,8,11,7,0.5384615384615384
2015,Tennessee,SEC,28,13,9,4,7,12,19,7,5,12,7,0.5384615384615384
2015,North Carolina,ACC,30,14,11,3,9,17,26,9,10,19,7,0.5
2015,Georgia Southern,Sun Belt,31,13,9,4,10,17,27,11,10,21,6,0.46153846153846156
2015,South Carolina,SEC,32,12,3,9,8,12,20,3,12,15,5,0.4166666666666667
2015,Syracuse,ACC,32,12,4,8,12,11,23,9,9,18,5,0.4166666666666667
2015,Washington,Pac-12,34,13,7,6,12,15,27,11,11,22,5,0.38461538461538464
2015,Oregon,Pac-12,34,13,9,4,9,13,22,7,10,17,5,0.38461538461538464
2015,Ohio,MAC,34,13,8,5,10,12,22,4,13,17,5,0.38461538461538464
2015,UNLV,Mountain West,37,12,3,9,8,13,21,4,13,17,4,0.3333333333333333
2015,Illinois,Big Ten,37,12,5,7,8,13,21,9,8,17,4,0.3333333333333333
