Sport,Season,Rank,Team,W,L
MBB,2006-07,1,Ohio St.,35,4
MBB,2006-07,2,UCLA,30,6
MBB,2006-07,3,Florida,35,5
MBB,2006-07,4,North Carolina,31,7
MBB,2006-07,5,Pittsburgh,29,8
MBB,2006-07,6,Georgetown,30,7
MBB,2006-07,7,Memphis,33,4
MBB,2006-07,8,Wisconsin,30,6
MBB,2006-07,9,Southern Ill.,29,7
MBB,2006-07,10,Kansas,33,5
MBB,2006-07,11,UNLV,30,7
MBB,2006-07,12,Tennessee,24,11
MBB,2006-07,13,Kentucky,22,12
MBB,2006-07,14,Oregon,29,8
MBB,2006-07,15,Texas A&M,27,7
MBB,2006-07,16,Maryland,25,9
MBB,2006-07,17,Arizona,20,11
MBB,2006-07,18,Duke,22,11
MBB,2006-07,19,Villanova,22,11
MBB,2006-07,20,BYU,25,9
MBB,2006-07,21,Butler,29,7
MBB,2006-07,22,Creighton,22,11
MBB,2006-07,23,Nevada,29,5
MBB,2006-07,24,Michigan St.,23,12
MBB,2006-07,25,Xavier,25,9
MBB,2006-07,26,Texas,25,10
MBB,2006-07,27,Marquette,24,10
MBB,2006-07,28,Washington St.,26,8
MBB,2006-07,29,Air Force,26,9
MBB,2006-07,30,Boston College,21,12
MBB,2006-07,31,West Virginia,27,9
MBB,2006-07,32,Clemson,25,11
MBB,2006-07,33,Indiana,21,11
MBB,2006-07,34,Vanderbilt,22,12
MBB,2006-07,35,Southern California,25,12
MBB,2006-07,36,Virginia Tech,22,12
MBB,2006-07,37,Louisville,24,10
MBB,2006-07,38,Florida St.,22,13
MBB,2006-07,39,Arkansas,21,14
MBB,2006-07,40,VCU,28,7
MBB,2006-07,41,Notre Dame,24,8
MBB,2006-07,42,Purdue,22,12
MBB,2006-07,43,Bradley,22,13
MBB,2006-07,44,Illinois,23,12
MBB,2006-07,45,Old Dominion,24,9
MBB,2006-07,46,Syracuse,24,11
MBB,2006-07,47,Alabama,20,12
MBB,2006-07,48,Missouri St.,22,11
MBB,2006-07,49,Georgia Tech,20,12
MBB,2006-07,50,Davidson,29,5
MBB,2006-07,51,Virginia,21,11
MBB,2006-07,52,Utah St.,23,12
MBB,2006-07,53,Mississippi,21,13
MBB,2006-07,54,Michigan,22,13
MBB,2006-07,55,DePaul,20,14
MBB,2006-07,56,Georgia,19,14
MBB,2006-07,57,Massachusetts,24,9
MBB,2006-07,58,Drexel,23,9
MBB,2006-07,59,Mississippi St.,21,14
MBB,2006-07,60,Holy Cross,25,9
MBB,2006-07,61,San Diego St.,22,11
MBB,2006-07,62,Texas Tech,21,13
MBB,2006-07,63,Oklahoma St.,22,13
MBB,2006-07,64,Kansas St.,23,12
MBB,2006-07,65,Winthrop,29,5
MBB,2006-07,66,Gonzaga,23,11
MBB,2006-07,67,Appalachian St.,25,8
MBB,2006-07,68,Akron,26,7
MBB,2006-07,69,Stanford,18,13
MBB,2006-07,70,New Mexico St.,25,9
MBB,2006-07,71,Wright St.,23,10
MBB,2006-07,72,George Washington,23,9
MBB,2006-07,73,North Carolina St.,20,16
MBB,2006-07,74,St. Louis,20,13
MBB,2006-07,75,Hofstra,22,10
MBB,2006-07,76,Dayton,19,12
MBB,2006-07,77,A&M-Corpus Christi,26,7
MBB,2006-07,78,Providence,18,13
MBB,2006-07,79,Bucknell,22,9
MBB,2006-07,80,Long Beach St.,24,8
MBB,2006-07,81,Penn,22,9
MBB,2006-07,82,Houston,18,15
MBB,2006-07,83,California,16,17
MBB,2006-07,84,Washington,19,13
MBB,2006-07,85,Kent St.,21,11
MBB,2006-07,86,Vermont,25,8
MBB,2006-07,87,UNI,18,13
MBB,2006-07,88,Albany (N.Y.),23,10
MBB,2006-07,89,Oral Roberts,23,11
MBB,2006-07,90,LSU,17,15
MBB,2006-07,91,Fresno St.,22,10
MBB,2006-07,92,Missouri,18,12
MBB,2006-07,93,Miami (Ohio),18,15
MBB,2006-07,94,Western Ky.,22,11
MBB,2006-07,95,Toledo,19,13
MBB,2006-07,96,Marist,25,9
MBB,2006-07,97,Iowa,17,14
MBB,2006-07,98,Santa Clara,21,10
MBB,2006-07,99,Loyola (Ill.),21,11
MBB,2006-07,100,St. Joseph's,18,14
MBB,2006-07,101,Wichita St.,17,14
MBB,2006-07,102,Hawaii,18,13
MBB,2006-07,103,South Carolina,14,16
MBB,2006-07,104,Oklahoma,16,15
MBB,2006-07,105,Nebraska,17,14
MBB,2006-07,106,Ohio,19,13
MBB,2006-07,107,Colorado St.,17,13
MBB,2006-07,108,Rhode Island,19,14
MBB,2006-07,109,Col. of Charleston,22,11
MBB,2006-07,110,Belmont,23,10
MBB,2006-07,111,Fordham,18,12
MBB,2006-07,112,Connecticut,17,14
MBB,2006-07,113,Auburn,17,15
MBB,2006-07,114,Boise St.,17,14
MBB,2006-07,115,Drake,17,15
MBB,2006-07,116,Sam Houston St.,21,10
MBB,2006-07,117,Austin Peay,21,12
MBB,2006-07,118,Tulsa,20,11
MBB,2006-07,119,UCF,22,9
MBB,2006-07,120,Delaware St.,21,13
MBB,2006-07,121,East Tenn. St.,24,10
MBB,2006-07,122,Wyoming,17,15
MBB,2006-07,123,Wake Forest,15,16
MBB,2006-07,124,George Mason,18,15
MBB,2006-07,125,Oakland,19,14
MBB,2006-07,126,South Ala.,20,12
MBB,2006-07,127,Eastern Ky.,21,12
MBB,2006-07,128,St. John's (N.Y.),16,15
MBB,2006-07,129,Niagara,23,12
MBB,2006-07,130,Southern Miss.,20,11
MBB,2006-07,131,Utah Valley St.,22,7
MBB,2006-07,132,Siena,20,12
MBB,2006-07,133,North Texas,23,11
MBB,2006-07,134,UAB,15,16
MBB,2006-07,135,Evansville,14,17
MBB,2006-07,136,Iowa St.,15,16
MBB,2006-07,137,Utah,11,19
MBB,2006-07,138,Illinois St.,15,16
MBB,2006-07,139,Cal Poly,19,11
MBB,2006-07,140,Yale,14,13
MBB,2006-07,141,Weber St.,20,12
MBB,2006-07,142,Indiana St.,13,18
MBB,2006-07,143,Central Conn. St.,22,12
MBB,2006-07,144,Tulane,17,13
MBB,2006-07,145,Tennessee Tech,19,13
MBB,2006-07,146,Baylor,15,16
MBB,2006-07,147,Charlotte,14,16
MBB,2006-07,148,Cal St. Fullerton,20,10
MBB,2006-07,149,Western Mich.,16,16
MBB,2006-07,150,Sacred Heart,18,14
MBB,2006-07,151,Northern Ariz.,18,12
MBB,2006-07,152,UC Santa Barb.,18,11
MBB,2006-07,153,Seton Hall,13,16
MBB,2006-07,154,St. Mary's (Cal.),17,15
MBB,2006-07,155,Fla. Atlantic,16,15
MBB,2006-07,156,Miami (Fla.),12,20
MBB,2006-07,157,North Dakota St.,20,8
MBB,2006-07,158,Rice,16,16
MBB,2006-07,159,Towson,15,17
MBB,2006-07,160,Ill.-Chicago,14,18
MBB,2006-07,161,San Francisco,13,18
MBB,2006-07,162,Marshall,13,19
MBB,2006-07,163,Middle Tenn.,15,17
MBB,2006-07,164,Valparaiso,16,15
MBB,2006-07,165,Arkansas St.,18,15
MBB,2006-07,166,Jackson St.,21,14
MBB,2006-07,167,New Mexico,15,17
MBB,2006-07,167,Northwestern St.,17,15
MBB,2006-07,169,Cincinnati,11,19
MBB,2006-07,170,Cornell,16,12
MBB,2006-07,171,Green Bay,18,15
MBB,2006-07,172,Loyola (Md.),18,13
MBB,2006-07,173,UC Irvine,15,18
MBB,2006-07,174,Florida A&M,21,14
MBB,2006-07,175,Samford,16,16
MBB,2006-07,176,Youngstown St.,14,17
MBB,2006-07,177,Northwestern,13,18
MBB,2006-07,177,American,16,14
MBB,2006-07,179,Lipscomb,18,13
MBB,2006-07,180,San Diego,18,14
MBB,2006-07,181,Murray St.,16,14
MBB,2006-07,182,TCU,13,17
MBB,2006-07,183,High Point,22,10
MBB,2006-07,184,Temple,12,18
MBB,2006-07,185,South Fla.,12,18
MBB,2006-07,186,Eastern Wash.,15,14
MBB,2006-07,187,Northeastern,13,19
MBB,2006-07,188,Loyola Marymount,13,18
MBB,2006-07,189,Minnesota,9,22
MBB,2006-07,190,Harvard,12,16
MBB,2006-07,190,Portland St.,19,13
MBB,2006-07,192,Detroit,11,19
MBB,2006-07,193,Idaho St.,13,17
MBB,2006-07,194,Furman,15,16
MBB,2006-07,195,Jacksonville,15,14
MBB,2006-07,196,Rider,16,15
MBB,2006-07,197,Mississippi Val.,18,16
MBB,2006-07,198,Oregon St.,11,21
MBB,2006-07,199,La.-Monroe,18,14
MBB,2006-07,200,Penn St.,11,19
MBB,2006-07,201,Columbia,16,12
MBB,2006-07,202,William & Mary,15,15
MBB,2006-07,203,Louisiana Tech,10,20
MBB,2006-07,204,Fairfield,13,19
MBB,2006-07,205,Pacific,12,19
MBB,2006-07,206,SMU,14,17
MBB,2006-07,207,Robert Morris,17,11
MBB,2006-07,208,UNC Greensboro,16,14
MBB,2006-07,209,Boston U.,12,18
MBB,2006-07,210,UTEP,14,17
MBB,2006-07,211,Southern Utah,16,14
MBB,2006-07,212,IUPUI,15,15
MBB,2006-07,213,Chicago St.,9,20
MBB,2006-07,214,Rutgers,10,19
MBB,2006-07,215,UMBC,12,19
MBB,2006-07,216,Montana,17,15
MBB,2006-07,217,New Orleans,14,17
MBB,2006-07,218,Lamar,15,17
MBB,2006-07,219,Duquesne,10,19
MBB,2006-07,220,Hampton,15,16
MBB,2006-07,221,Chattanooga,15,18
MBB,2006-07,222,Troy,13,17
MBB,2006-07,223,Arizona St.,8,22
MBB,2006-07,224,Army,15,16
MBB,2006-07,225,Navy,14,16
MBB,2006-07,226,Central Mich.,13,18
MBB,2006-07,227,Hartford,13,18
MBB,2006-07,227,Southeastern La.,16,14
MBB,2006-07,229,Manhattan,13,17
MBB,2006-07,230,Ark.-Little Rock,13,17
MBB,2006-07,231,Brown,11,18
MBB,2006-07,232,Fairleigh Dickinson,14,16
MBB,2006-07,233,Georgia St.,11,20
MBB,2006-07,234,McNeese St.,15,17
MBB,2006-07,235,Quinnipiac,14,15
MBB,2006-07,236,Eastern Mich.,13,19
MBB,2006-07,237,Buffalo,12,19
MBB,2006-07,238,Milwaukee,9,22
MBB,2006-07,239,Colorado,7,20
MBB,2006-07,240,Lehigh,12,19
MBB,2006-07,241,Ga. Southern,15,16
MBB,2006-07,242,IPFW,12,17
MBB,2006-07,243,Bowling Green,13,18
MBB,2006-07,244,Canisius,12,19
MBB,2006-07,245,Stephen F. Austin,15,14
MBB,2006-07,246,Coppin St.,12,20
MBB,2006-07,247,Western Caro.,11,20
MBB,2006-07,248,Cal St. Northridge,14,17
MBB,2006-07,249,UNC Asheville,12,19
MBB,2006-07,250,Maine,12,18
MBB,2006-07,250,Florida Int'l,12,17
MBB,2006-07,252,Mt. St. Mary's,11,20
MBB,2006-07,253,Texas-Arlington,13,17
MBB,2006-07,254,Dartmouth,9,18
MBB,2006-07,255,UMKC,12,20
MBB,2006-07,256,Monmouth,12,18
MBB,2006-07,257,San Jose St.,5,25
MBB,2006-07,258,Binghamton,13,16
MBB,2006-07,259,New Hampshire,10,20
MBB,2006-07,260,Tennessee St.,12,20
MBB,2006-07,261,Colgate,10,19
MBB,2006-07,262,Cleveland St.,10,21
MBB,2006-07,263,Pepperdine,8,23
MBB,2006-07,264,Princeton,11,17
MBB,2006-07,265,Gardner-Webb,9,21
MBB,2006-07,266,Coastal Caro.,15,15
MBB,2006-07,267,La Salle,10,20
MBB,2006-07,268,Ark.-Pine Bluff,12,19
MBB,2006-07,269,La.-Lafayette,9,21
MBB,2006-07,270,UNC Wilmington,7,22
MBB,2006-07,271,N.C. A&T,15,17
MBB,2006-07,272,Richmond,8,22
MBB,2006-07,273,Campbell,14,17
