Sport,Season,Rank,Team,W,L
MBB,2011-12,1,Kentucky,38,2
MBB,2011-12,2,Syracuse,34,3
MBB,2011-12,3,Michigan St.,29,8
MBB,2011-12,4,North Carolina,32,6
MBB,2011-12,5,Kansas,32,7
MBB,2011-12,6,Ohio St.,31,8
MBB,2011-12,7,Duke,27,7
MBB,2011-12,8,Baylor,30,8
MBB,2011-12,9,Marquette,27,8
MBB,2011-12,10,Louisville,30,10
MBB,2011-12,11,Indiana,27,9
MBB,2011-12,12,Missouri,30,5
MBB,2011-12,13,Florida St.,25,10
MBB,2011-12,14,Georgetown,24,9
MBB,2011-12,15,Michigan,24,10
MBB,2011-12,16,Wisconsin,26,10
MBB,2011-12,17,Vanderbilt,25,11
MBB,2011-12,18,Wichita St.,27,6
MBB,2011-12,19,Florida,26,11
MBB,2011-12,20,Memphis,26,9
MBB,2011-12,21,Murray St.,31,2
MBB,2011-12,22,Temple,24,8
MBB,2011-12,23,Creighton,29,6
MBB,2011-12,24,Gonzaga,26,7
MBB,2011-12,25,UNLV,26,9
MBB,2011-12,26,Southern Miss.,25,9
MBB,2011-12,27,New Mexico,28,7
MBB,2011-12,28,Saint Louis,26,8
MBB,2011-12,29,Colorado St.,20,12
MBB,2011-12,30,St. Mary's (CA),27,6
MBB,2011-12,31,San Diego St.,26,8
MBB,2011-12,32,Iowa St.,23,11
MBB,2011-12,33,Connecticut,20,14
MBB,2011-12,34,VCU,29,7
MBB,2011-12,35,Cincinnati,26,11
MBB,2011-12,36,North Carolina St.,24,13
MBB,2011-12,37,Long Beach St.,25,9
MBB,2011-12,38,Xavier,23,13
MBB,2011-12,39,South Fla.,22,14
MBB,2011-12,40,Alabama,21,12
MBB,2011-12,41,Harvard,26,5
MBB,2011-12,42,Ohio,29,8
MBB,2011-12,43,Purdue,22,13
MBB,2011-12,44,Kansas St.,22,11
MBB,2011-12,45,California,24,10
MBB,2011-12,46,Nevada,28,7
MBB,2011-12,47,BYU,26,9
MBB,2011-12,48,Iona,25,8
MBB,2011-12,49,Notre Dame,22,12
MBB,2011-12,50,South Dakota St.,27,8
MBB,2011-12,51,Colorado,24,12
MBB,2011-12,52,Oregon,24,10
MBB,2011-12,53,Marshall,21,14
MBB,2011-12,54,Washington,24,11
MBB,2011-12,55,Northwestern,19,14
MBB,2011-12,56,Middle Tenn.,27,7
MBB,2011-12,57,Texas,20,14
MBB,2011-12,58,UCF,22,11
MBB,2011-12,59,Virginia,22,10
MBB,2011-12,60,Belmont,27,8
MBB,2011-12,61,West Virginia,19,14
MBB,2011-12,62,Massachusetts,25,12
MBB,2011-12,63,Minnesota,23,15
MBB,2011-12,64,New Mexico St.,26,10
MBB,2011-12,65,Oral Roberts,27,7
MBB,2011-12,66,Drexel,29,7
MBB,2011-12,67,Davidson,25,8
MBB,2011-12,68,Akron,22,12
MBB,2011-12,69,Stanford,26,11
MBB,2011-12,70,Seton Hall,21,13
MBB,2011-12,71,Miami (FL),20,13
MBB,2011-12,72,UNI,20,14
MBB,2011-12,73,Weber St.,25,7
