Sport,Season,Rank,Team,W,L
MBB,2017-18,1,Villanova,36,4
MBB,2017-18,2,Virginia,31,3
MBB,2017-18,3,Kansas,31,8
MBB,2017-18,4,Xavier,29,6
MBB,2017-18,5,Duke,29,8
MBB,2017-18,6,North Carolina,26,11
MBB,2017-18,7,Cincinnati,31,5
MBB,2017-18,8,Michigan,33,8
MBB,2017-18,9,Purdue,30,7
MBB,2017-18,10,Tennessee,26,9
MBB,2017-18,11,Clemson,25,10
MBB,2017-18,12,Kentucky,26,11
MBB,2017-18,13,Nevada,29,8
MBB,2017-18,14,Loyola Chicago,32,6
MBB,2017-18,15,Michigan St.,30,5
MBB,2017-18,16,Auburn,26,8
MBB,2017-18,17,Arizona,27,8
MBB,2017-18,18,Texas Tech,27,10
MBB,2017-18,19,Ohio St.,25,9
MBB,2017-18,20,Houston,27,8
MBB,2017-18,21,Wichita St.,25,8
MBB,2017-18,22,Gonzaga,32,5
MBB,2017-18,23,Rhode Island,26,8
MBB,2017-18,24,West Virginia,26,11
MBB,2017-18,25,Texas A&M,22,13
MBB,2017-18,26,Buffalo,27,9
MBB,2017-18,27,St. Bonaventure,26,8
MBB,2017-18,28,TCU,21,12
MBB,2017-18,29,Miami (FL),22,10
MBB,2017-18,30,Middle Tenn.,25,8
MBB,2017-18,31,Seton Hall,22,12
MBB,2017-18,32,Western Ky.,27,11
MBB,2017-18,33,Syracuse,23,14
MBB,2017-18,34,Arkansas,23,12
MBB,2017-18,35,Florida St.,23,12
MBB,2017-18,36,Providence,21,14
MBB,2017-18,37,Southern California,24,12
MBB,2017-18,38,Kansas St.,25,12
MBB,2017-18,39,Butler,21,14
MBB,2017-18,40,Utah,23,12
MBB,2017-18,41,Alabama,20,16
MBB,2017-18,42,Louisville,22,14
MBB,2017-18,43,Florida,21,13
MBB,2017-18,44,UCLA,21,12
MBB,2017-18,45,Penn St.,26,13
MBB,2017-18,46,Saint Mary's (CA),30,6
MBB,2017-18,47,New Mexico St.,28,6
MBB,2017-18,48,South Dakota St.,28,7
MBB,2017-18,49,Missouri,20,13
MBB,2017-18,50,Creighton,21,12
MBB,2017-18,51,Murray St.,26,6
MBB,2017-18,52,Texas,19,15
MBB,2017-18,53,Oklahoma,18,14
MBB,2017-18,54,Nebraska,22,11
MBB,2017-18,55,Mississippi St.,25,12
MBB,2017-18,56,Davidson,21,12
MBB,2017-18,57,Boise St.,23,9
MBB,2017-18,58,Northeastern,23,10
MBB,2017-18,59,Temple,17,16
MBB,2017-18,60,Marquette,21,14
MBB,2017-18,61,Col. of Charleston,26,8
MBB,2017-18,62,Vermont,27,8
MBB,2017-18,63,Washington,21,13
MBB,2017-18,64,San Diego St.,22,11
MBB,2017-18,65,Louisiana,27,7
MBB,2017-18,66,UNCG,27,8
MBB,2017-18,67,Oregon,23,13
MBB,2017-18,68,BYU,24,11
MBB,2017-18,69,Virginia Tech,21,12
MBB,2017-18,70,Baylor,19,15
MBB,2017-18,71,Maryland,19,13
MBB,2017-18,72,NC State,21,12
MBB,2017-18,73,Arizona St.,20,12
MBB,2017-18,74,Old Dominion,25,7
MBB,2017-18,75,Toledo,23,11
MBB,2017-18,76,Montana,26,8
MBB,2017-18,77,Rider,22,10
MBB,2017-18,78,Marshall,25,11
MBB,2017-18,79,Notre Dame,21,15
MBB,2017-18,80,Georgia,18,15
MBB,2017-18,81,Bucknell,25,10
MBB,2017-18,82,Belmont,24,9
MBB,2017-18,83,Illinois St.,18,15
MBB,2017-18,84,Colorado,17,15
MBB,2017-18,85,Oklahoma St.,21,15
MBB,2017-18,86,Stanford,19,16
MBB,2017-18,87,UCF,19,13
MBB,2017-18,88,LSU,18,15
MBB,2017-18,89,Tulsa,19,12
MBB,2017-18,90,South Carolina,17,16
MBB,2017-18,91,Utah Valley,23,11
MBB,2017-18,92,William & Mary,19,12
MBB,2017-18,93,ETSU,25,9
MBB,2017-18,94,Boston College,19,16
MBB,2017-18,95,St. John's (NY),16,17
MBB,2017-18,96,Furman,23,10
MBB,2017-18,97,Southern Ill.,20,13
MBB,2017-18,98,Wright St.,25,10
MBB,2017-18,99,Northern Colo.,26,12
MBB,2017-18,100,Wyoming,20,13
MBB,2017-18,101,UC Davis,22,11
MBB,2017-18,102,South Dakota,26,9
MBB,2017-18,103,Fresno St.,21,11
MBB,2017-18,104,UMBC,25,11
MBB,2017-18,105,Lipscomb,23,10
MBB,2017-18,106,Bradley,20,13
MBB,2017-18,107,SFA,28,7
MBB,2017-18,108,Memphis,21,13
MBB,2017-18,109,Iona,20,14
MBB,2017-18,110,Eastern Mich.,22,13
MBB,2017-18,111,Northern Ky.,22,10
MBB,2017-18,112,UT Arlington,21,13
MBB,2017-18,113,Penn,24,9
MBB,2017-18,114,Wisconsin,15,18
MBB,2017-18,115,Radford,23,13
MBB,2017-18,116,Georgia St.,24,11
MBB,2017-18,117,SMU,17,16
MBB,2017-18,118,Wagner,23,10
MBB,2017-18,119,New Mexico,19,15
MBB,2017-18,120,Harvard,18,14
MBB,2017-18,121,Hofstra,19,12
MBB,2017-18,122,UC Irvine,18,17
MBB,2017-18,123,Eastern Wash.,20,15
MBB,2017-18,124,Indiana,16,15
MBB,2017-18,125,Ball St.,19,13
MBB,2017-18,126,UConn,14,18
MBB,2017-18,127,UNC Asheville,21,13
MBB,2017-18,128,Idaho,22,9
MBB,2017-18,129,UC Santa Barbara,23,9
MBB,2017-18,130,Cal St. Fullerton,20,12
MBB,2017-18,131,Vanderbilt,12,20
MBB,2017-18,132,UNLV,20,13
MBB,2017-18,133,San Francisco,22,17
MBB,2017-18,134,Missouri St.,18,15
MBB,2017-18,135,Jacksonville St.,23,13
MBB,2017-18,136,VCU,18,15
MBB,2017-18,137,UNI,16,16
MBB,2017-18,138,Canisius,21,12
MBB,2017-18,139,San Diego,20,14
MBB,2017-18,140,Oregon St.,16,16
MBB,2017-18,141,Wofford,21,13
MBB,2017-18,142,Iowa St.,13,18
MBB,2017-18,143,Ga. Southern,21,12
MBB,2017-18,144,Central Mich.,21,15
MBB,2017-18,145,Ole Miss,12,20
MBB,2017-18,146,Albany (NY),22,10
MBB,2017-18,147,Nicholls St.,21,11
MBB,2017-18,148,Southeastern La.,22,12
MBB,2017-18,149,Saint Joseph's,16,16
MBB,2017-18,150,UAB,20,13
MBB,2017-18,151,Evansville,17,15
MBB,2017-18,152,Dayton,14,17
MBB,2017-18,153,Saint Louis,17,16
MBB,2017-18,154,Towson,18,14
MBB,2017-18,155,Iowa,14,19
MBB,2017-18,156,Kent St.,17,17
MBB,2017-18,157,Utah St.,17,17
MBB,2017-18,158,Weber St.,20,11
MBB,2017-18,159,Northwestern,15,17
MBB,2017-18,160,Tennessee Tech,19,14
MBB,2017-18,161,Georgetown,15,15
MBB,2017-18,162,Wake Forest,11,20
MBB,2017-18,163,Mercer,19,15
