Sport,Season,Team,W,L,Rank,Conf
MBB,2019-20,UCF,16,14,124,AAC
MBB,2019-20,South Fla.,14,17,125,AAC
MBB,2019-20,South Dakota St.,20,10,126,Summit League
MBB,2019-20,Wright St.,23,7,127,Horizon
MBB,2019-20,Northeastern,17,16,128,CAA
MBB,2019-20,UT Arlington,12,18,129,Sun Belt
MBB,2019-20,North Dakota St.,23,8,130,Summit League
MBB,2019-20,Pepperdine,16,16,131,WCC
MBB,2019-20,Massachusetts,14,17,132,Atlantic 10
MBB,2019-20,Murray St.,21,9,133,OVC
MBB,2019-20,Georgia St.,17,13,134,Sun Belt
MBB,2019-20,Eastern Wash.,21,8,135,Big Sky
MBB,2019-20,Western Caro.,17,12,136,SoCon
MBB,2019-20,Toledo,16,15,137,MAC
MBB,2019-20,Valparaiso,18,16,138,MVC
MBB,2019-20,California,14,18,139,Pac-12
MBB,2019-20,Little Rock,20,10,140,Sun Belt
MBB,2019-20,Montana,17,12,141,Big Sky
MBB,2019-20,Vanderbilt,11,21,142,SEC
MBB,2019-20,New Mexico,18,14,143,Mountain West
MBB,2019-20,Oral Roberts,13,14,144,Summit League
MBB,2019-20,Santa Clara,18,13,145,WCC
MBB,2019-20,Buffalo,19,12,146,MAC
MBB,2019-20,Ga. Southern,18,13,147,Sun Belt
MBB,2019-20,Winthrop,22,10,148,Big South
MBB,2019-20,Penn,15,11,149,Ivy League
MBB,2019-20,Northern Ky.,21,9,150,Horizon
MBB,2019-20,Siena,20,10,151,MAAC
MBB,2019-20,Col. of Charleston,16,14,152,CAA
MBB,2019-20,Chattanooga,18,13,153,SoCon
MBB,2019-20,Towson,17,13,154,CAA
MBB,2019-20,Wofford,17,16,155,SoCon
MBB,2019-20,Drake,18,14,156,MVC
MBB,2019-20,Boston College,13,19,157,ACC
MBB,2019-20,Ohio,15,15,158,MAC
MBB,2019-20,Bowling Green,19,10,159,MAC
MBB,2019-20,Boston U.,20,13,160,Patriot
MBB,2019-20,Fresno St.,10,19,161,Mountain West
MBB,2019-20,Southern Ill.,15,16,162,MVC
MBB,2019-20,Austin Peay,19,12,163,OVC
MBB,2019-20,Northwestern,8,23,164,Big Ten
MBB,2019-20,William & Mary,20,11,165,CAA
MBB,2019-20,Princeton,13,13,166,Ivy League
MBB,2019-20,George Mason,17,15,167,Atlantic 10
MBB,2019-20,Tulane,12,18,168,AAC
MBB,2019-20,South Alabama,17,11,169,Sun Belt
MBB,2019-20,FIU,16,13,170,C-USA
MBB,2019-20,La Salle,15,15,171,Atlantic 10
MBB,2019-20,Marshall,16,15,172,C-USA
MBB,2019-20,Old Dominion,13,19,173,C-USA
MBB,2019-20,Northern Ill.,17,13,174,MAC
MBB,2019-20,North Florida,19,12,175,ASUN
MBB,2019-20,Charlotte,16,13,176,C-USA
MBB,2019-20,UC Santa Barbara,19,10,177,Big West
MBB,2019-20,Saint Francis (PA),21,10,178,NEC
MBB,2019-20,Portland St.,16,14,179,Big Sky
MBB,2019-20,Delaware,21,11,180,CAA
MBB,2019-20,Appalachian St.,16,15,181,Sun Belt
MBB,2019-20,South Dakota,17,12,182,Summit League
MBB,2019-20,Radford,19,11,183,Big South
MBB,2019-20,Southern Utah,15,15,184,Big Sky
MBB,2019-20,Rider,18,12,185,MAAC
MBB,2019-20,Sacramento St.,14,14,186,Big Sky
MBB,2019-20,Mercer,15,15,187,SoCon
MBB,2019-20,Coastal Carolina,14,17,188,Sun Belt
MBB,2019-20,Stony Brook,19,13,189,America East
MBB,2019-20,Sacred Heart,19,13,190,NEC
MBB,2019-20,Eastern Mich.,12,16,191,MAC
MBB,2019-20,Nicholls St.,17,10,192,Southland
MBB,2019-20,Fla. Atlantic,14,15,193,C-USA
MBB,2019-20,Abilene Christian,16,11,194,Southland
MBB,2019-20,UTEP,14,15,195,C-USA
MBB,2019-20,Illinois St.,9,21,196,MVC
MBB,2019-20,American,16,14,197,Patriot
MBB,2019-20,Central Mich.,11,18,198,MAC
MBB,2019-20,Nebraska,7,25,199,Big Ten
MBB,2019-20,California Baptist,17,10,200,WAC
MBB,2019-20,Prairie View,17,13,201,SWAC
MBB,2019-20,Arkansas St.,14,16,202,Sun Belt
MBB,2019-20,Robert Morris,19,14,203,NEC
MBB,2019-20,UTSA,10,19,204,C-USA
MBB,2019-20,UAB,17,13,205,C-USA
MBB,2019-20,Miami (OH),11,19,206,MAC
MBB,2019-20,LMU (CA),10,21,207,WCC
MBB,2019-20,East Carolina,11,20,208,AAC
MBB,2019-20,Monmouth,18,13,209,MAAC
MBB,2019-20,UC Riverside,14,15,210,Big West
MBB,2019-20,Dartmouth,11,17,211,Ivy League
MBB,2019-20,Gardner-Webb,14,16,212,Big South
MBB,2019-20,Saint Peter's,18,12,213,MAAC
MBB,2019-20,Rice,13,17,214,C-USA
MBB,2019-20,Hawaii,16,13,215,Big West
