Sport,Season,Rank,Team,W,L
MBA,2013-14,1,Virginia,53,16
MBA,2013-14,2,Vanderbilt,51,21
MBA,2013-14,3,Texas,46,21
MBA,2013-14,4,Ole Miss,48,21
MBA,2013-14,5,Houston,48,18
MBA,2013-14,6,La.-Lafayette,58,10
MBA,2013-14,7,TCU,48,18
MBA,2013-14,8,Florida,40,23
MBA,2013-14,9,Indiana,44,15
MBA,2013-14,10,Florida St.,43,17
MBA,2013-14,11,LSU,46,16
MBA,2013-14,12,Texas Tech,45,21
MBA,2013-14,13,Oregon St.,45,14
MBA,2013-14,14,Rice,42,20
MBA,2013-14,15,South Carolina,44,18
MBA,2013-14,16,Cal Poly,47,12
MBA,2013-14,17,Miami (FL),44,19
MBA,2013-14,18,Louisville,50,17
MBA,2013-14,19,Oklahoma St.,48,18
MBA,2013-14,20,Kentucky,37,25
MBA,2013-14,21,Maryland,40,23
MBA,2013-14,22,Pepperdine,43,18
MBA,2013-14,23,UC Irvine,41,25
MBA,2013-14,24,Alabama,37,24
MBA,2013-14,25,Washington,41,17
MBA,2013-14,26,Oregon,44,20
MBA,2013-14,27,Stanford,35,26
MBA,2013-14,28,Mississippi St.,39,24
MBA,2013-14,29,Arkansas,40,25
MBA,2013-14,30,Long Beach St.,34,26
MBA,2013-14,31,Texas A&M,36,26
MBA,2013-14,32,Indiana St.,35,18
MBA,2013-14,33,Nebraska,41,21
MBA,2013-14,34,Sam Houston St.,43,19
MBA,2013-14,35,UNLV,36,25
MBA,2013-14,36,Georgia Tech,37,27
MBA,2013-14,37,Dallas Baptist,40,21
MBA,2013-14,38,West Virginia,28,26
MBA,2013-14,39,Liberty,41,18
MBA,2013-14,40,San Diego St.,42,21
MBA,2013-14,41,Col. of Charleston,44,19
MBA,2013-14,42,Columbia,29,20
MBA,2013-14,43,Old Dominion,36,26
MBA,2013-14,44,Kansas,35,26
MBA,2013-14,45,North Carolina,35,27
MBA,2013-14,46,Arizona St.,33,24
MBA,2013-14,47,Mercer,38,17
MBA,2013-14,48,Cal St. Fullerton,34,24
MBA,2013-14,49,Bryant,42,16
MBA,2013-14,50,UCF,36,23
MBA,2013-14,51,UC Santa Barbara,34,17
MBA,2013-14,52,Kennesaw St.,40,24
MBA,2013-14,53,Tennessee,31,23
MBA,2013-14,54,Western Caro.,37,18
MBA,2013-14,55,Clemson,36,25
MBA,2013-14,56,Illinois,32,21
MBA,2013-14,57,California,26,27
MBA,2013-14,58,Georgia,26,29
MBA,2013-14,59,North Carolina St.,32,23
MBA,2013-14,60,Ball St.,39,18
MBA,2013-14,61,Southern California,29,24
MBA,2013-14,62,High Point,33,22
MBA,2013-14,63,Campbell,41,21
MBA,2013-14,64,Southern Miss.,35,25
MBA,2013-14,65,San Diego,34,20
MBA,2013-14,66,Creighton,32,17
MBA,2013-14,67,Southeastern La.,38,25
MBA,2013-14,68,Canisius,40,16
MBA,2013-14,69,New Mexico,37,20
MBA,2013-14,70,William & Mary,34,22
MBA,2013-14,71,Samford,35,25
MBA,2013-14,72,Southeast Mo. St.,37,20
MBA,2013-14,73,Auburn,28,28
MBA,2013-14,74,East Carolina,33,26
MBA,2013-14,75,Baylor,26,31
MBA,2013-14,76,Arkansas St.,32,27
MBA,2013-14,77,FGCU,39,22
MBA,2013-14,78,UAB,35,21
MBA,2013-14,79,Wichita St.,31,28
MBA,2013-14,80,Evansville,34,21
MBA,2013-14,81,Wake Forest,30,26
MBA,2013-14,82,Oklahoma,29,29
MBA,2013-14,83,UC Riverside,26,28
MBA,2013-14,84,Duke,33,25
MBA,2013-14,85,VCU,37,20
MBA,2013-14,86,Ga. Southern,40,23
MBA,2013-14,87,Illinois St.,33,22
MBA,2013-14,88,FIU,36,20
MBA,2013-14,89,Rutgers,30,25
MBA,2013-14,90,Middle Tenn.,31,27
MBA,2013-14,91,Xavier,30,29
MBA,2013-14,92,Jacksonville St.,36,27
MBA,2013-14,93,Texas St.,30,28
MBA,2013-14,94,Saint Joseph's,35,16
MBA,2013-14,95,Oral Roberts,30,26
MBA,2013-14,96,UNC Wilmington,30,27
MBA,2013-14,97,Texas-Arlington,33,26
MBA,2013-14,98,Radford,33,23
MBA,2013-14,99,Fla. Atlantic,28,25
MBA,2013-14,100,Michigan St.,31,26
MBA,2013-14,101,Davidson,29,19
MBA,2013-14,102,UTSA,35,26
MBA,2013-14,103,UCLA,25,30
MBA,2013-14,104,Kansas St.,25,30
MBA,2013-14,105,Seton Hall,38,15
MBA,2013-14,106,Bucknell,31,21
MBA,2013-14,107,St. John's (NY),35,20
MBA,2013-14,108,Michigan,30,29
MBA,2013-14,109,Central Ark.,32,22
MBA,2013-14,110,Missouri St.,26,31
MBA,2013-14,111,Miami (OH),30,27
MBA,2013-14,112,Fresno St.,28,29
MBA,2013-14,113,Stony Brook,35,18
MBA,2013-14,114,A&M-Corpus Christi,31,27
MBA,2013-14,115,Memphis,30,29
MBA,2013-14,116,Tennessee Tech,40,19
MBA,2013-14,117,Northwestern St.,33,26
MBA,2013-14,118,Minnesota,27,24
MBA,2013-14,119,Loyola Marymount,32,24
MBA,2013-14,120,Sacred Heart,29,28
MBA,2013-14,121,George Mason,34,22
MBA,2013-14,122,Iowa,30,23
MBA,2013-14,123,VMI,25,23
MBA,2013-14,124,Wright St.,35,22
MBA,2013-14,125,Hartford,31,23
MBA,2013-14,126,Western Ky.,29,28
MBA,2013-14,127,Kent St.,36,23
MBA,2013-14,128,Central Mich.,35,23
MBA,2013-14,129,Ohio St.,30,28
MBA,2013-14,130,Sacramento St.,40,24
MBA,2013-14,131,Nevada,31,27
MBA,2013-14,132,UConn,27,31
MBA,2013-14,133,Nicholls St.,32,26
MBA,2013-14,134,Washington St.,24,30
MBA,2013-14,135,Central Conn. St.,27,22
MBA,2013-14,136,Towson,22,25
MBA,2013-14,137,Penn,24,17
MBA,2013-14,138,McNeese St.,30,28
MBA,2013-14,139,Missouri,20,33
MBA,2013-14,140,Bowling Green,25,27
MBA,2013-14,141,Grand Canyon,30,23
MBA,2013-14,142,South Fla.,27,31
MBA,2013-14,143,Gonzaga,26,29
MBA,2013-14,144,Elon,27,26
MBA,2013-14,145,Virginia Tech,21,31
MBA,2013-14,146,Tulane,23,29
MBA,2013-14,147,Pacific,26,27
MBA,2013-14,148,Army,33,18
MBA,2013-14,149,Eastern Ill.,22,33
MBA,2013-14,150,Fairfield,32,23
MBA,2013-14,151,Saint Louis,34,21
MBA,2013-14,152,Binghamton,25,27
MBA,2013-14,153,South Ala.,22,33
