Sport,Season,Rank,Team,W,L
MBA,2012-13,1,North Carolina,59,12
MBA,2012-13,2,Vanderbilt,54,12
MBA,2012-13,3,LSU,57,11
MBA,2012-13,3,Oregon St.,52,13
MBA,2012-13,5,Virginia,50,12
MBA,2012-13,6,Cal St. Fullerton,51,10
MBA,2012-13,7,North Carolina St.,50,16
MBA,2012-13,8,Mississippi St.,51,20
MBA,2012-13,9,UCLA,49,17
MBA,2012-13,10,Florida St.,47,17
MBA,2012-13,11,Oregon,48,16
MBA,2012-13,12,Indiana,49,16
MBA,2012-13,13,South Carolina,43,20
MBA,2012-13,14,Louisville,51,14
MBA,2012-13,15,Virginia Tech,40,22
MBA,2012-13,16,Kansas St.,45,19
MBA,2012-13,17,Clemson,40,22
MBA,2012-13,18,South Ala.,43,20
MBA,2012-13,19,Miami (FL),37,25
MBA,2012-13,20,Arizona St.,37,22
MBA,2012-13,21,Georgia Tech,37,27
MBA,2012-13,22,Ole Miss,38,24
MBA,2012-13,23,La.-Lafayette,43,20
MBA,2012-13,24,Fla. Atlantic,42,22
MBA,2012-13,25,Rice,44,20
MBA,2012-13,26,Austin Peay,47,15
MBA,2012-13,27,Oklahoma,43,21
MBA,2012-13,28,Cal Poly,40,19
MBA,2012-13,29,Alabama,35,28
MBA,2012-13,30,Arkansas,39,22
MBA,2012-13,31,Nebraska,29,30
MBA,2012-13,32,Texas A&M,34,29
MBA,2012-13,33,Notre Dame,34,24
MBA,2012-13,34,William & Mary,39,24
MBA,2012-13,35,Troy,42,20
MBA,2012-13,36,Illinois,35,20
MBA,2012-13,37,Mercer,43,18
MBA,2012-13,38,Sam Houston St.,38,22
MBA,2012-13,39,San Diego,37,25
MBA,2012-13,40,UNC Wilmington,38,23
MBA,2012-13,41,Michigan St.,33,17
MBA,2012-13,42,Campbell,49,10
MBA,2012-13,43,Bryant,45,18
MBA,2012-13,44,Seton Hall,37,19
MBA,2012-13,45,Central Ark.,42,22
MBA,2012-13,46,Maryland,30,25
MBA,2012-13,47,Auburn,33,23
MBA,2012-13,48,Florida,29,30
MBA,2012-13,49,Liberty,36,29
MBA,2012-13,50,Kentucky,30,25
MBA,2012-13,51,San Francisco,35,24
MBA,2012-13,52,Oklahoma St.,41,19
MBA,2012-13,53,Coastal Caro.,37,23
MBA,2012-13,54,BYU,32,21
MBA,2012-13,55,Western Caro.,39,20
MBA,2012-13,56,Elon,34,30
MBA,2012-13,57,UC Santa Barbara,35,25
MBA,2012-13,58,Southeastern La.,36,24
MBA,2012-13,59,Arizona,34,21
MBA,2012-13,60,New Mexico,37,22
MBA,2012-13,61,Wake Forest,28,27
MBA,2012-13,62,Pittsburgh,42,17
MBA,2012-13,63,Stanford,32,22
MBA,2012-13,64,Creighton,30,18
MBA,2012-13,65,Ohio St.,35,23
MBA,2012-13,66,Rutgers,28,30
MBA,2012-13,67,Houston,36,22
MBA,2012-13,68,Illinois St.,39,19
MBA,2012-13,69,Kansas,34,25
MBA,2012-13,70,North Florida,40,19
MBA,2012-13,71,Connecticut,35,28
MBA,2012-13,72,Citadel,35,25
MBA,2012-13,72,South Fla.,36,22
MBA,2012-13,74,Texas,27,24
MBA,2012-13,75,Long Beach St.,29,27
MBA,2012-13,76,Baylor,27,28
