Sport,Season,Rank,Team,W,L
MBA,2017-18,1,Arkansas,48,21
MBA,2017-18,2,Oregon St.,55,12
MBA,2017-18,3,Florida,49,21
MBA,2017-18,4,Ole Miss,48,17
MBA,2017-18,5,North Carolina,44,20
MBA,2017-18,6,Stanford,46,12
MBA,2017-18,7,Stetson,48,13
MBA,2017-18,8,Texas Tech,45,20
MBA,2017-18,9,Auburn,43,23
MBA,2017-18,10,Georgia,39,21
MBA,2017-18,11,Florida St.,43,19
MBA,2017-18,12,Minnesota,44,15
MBA,2017-18,13,Clemson,47,16
MBA,2017-18,14,Duke,45,18
MBA,2017-18,15,Tennessee Tech,53,12
MBA,2017-18,16,East Carolina,44,18
MBA,2017-18,17,Texas A&M,40,22
MBA,2017-18,18,Mississippi St.,39,29
MBA,2017-18,19,Texas,42,23
MBA,2017-18,20,UConn,37,22
MBA,2017-18,21,Louisville,45,19
MBA,2017-18,22,UCLA,38,21
MBA,2017-18,23,Jacksonville,40,21
MBA,2017-18,24,NC State,42,18
MBA,2017-18,25,Coastal Caro.,43,19
MBA,2017-18,26,LSU,39,27
MBA,2017-18,27,Missouri St.,40,17
MBA,2017-18,28,South Carolina,37,26
MBA,2017-18,29,South Fla.,36,22
MBA,2017-18,30,Fla. Atlantic,43,19
MBA,2017-18,31,Kentucky,34,22
MBA,2017-18,32,Vanderbilt,35,27
MBA,2017-18,33,St. John's (NY),40,17
MBA,2017-18,34,Indiana,40,19
MBA,2017-18,35,Baylor,37,21
MBA,2017-18,36,Oklahoma St.,31,26
MBA,2017-18,37,DBU,42,21
MBA,2017-18,38,Southern Miss.,44,18
MBA,2017-18,39,Northeastern,36,21
MBA,2017-18,40,Purdue,38,21
MBA,2017-18,41,Troy,42,21
MBA,2017-18,42,Houston,38,25
MBA,2017-18,43,Oklahoma,38,25
MBA,2017-18,44,Cal St. Fullerton,36,25
MBA,2017-18,45,UCF,35,21
MBA,2017-18,46,Ohio St.,36,24
MBA,2017-18,47,Missouri,34,22
MBA,2017-18,48,Arizona,34,22
MBA,2017-18,49,Washington,35,26
MBA,2017-18,50,Illinois,33,20
MBA,2017-18,51,South Alabama,32,25
MBA,2017-18,52,West Virginia,29,27
MBA,2017-18,53,San Diego St.,39,21
MBA,2017-18,54,Wichita St.,35,21
MBA,2017-18,55,Sam Houston St.,39,20
MBA,2017-18,56,Georgia Tech,31,27
MBA,2017-18,57,TCU,33,23
MBA,2017-18,58,Louisiana,34,25
MBA,2017-18,59,Kent St.,40,18
MBA,2017-18,60,UNCW,39,23
MBA,2017-18,61,Louisiana Tech,39,20
MBA,2017-18,62,Creighton,34,16
MBA,2017-18,63,Michigan,33,21
MBA,2017-18,64,Gonzaga,33,24
MBA,2017-18,65,Miami (FL),28,26
MBA,2017-18,66,Nevada,29,24
MBA,2017-18,67,UNCG,39,15
MBA,2017-18,68,Col. of Charleston,36,19
