Sport,Season,Rank,Team,W,L
MBA,2019-20,1,UCLA,13,2
MBA,2019-20,2,Florida,16,1
MBA,2019-20,3,Alabama,16,1
MBA,2019-20,4,Ole Miss,16,1
MBA,2019-20,5,East Carolina,13,4
MBA,2019-20,6,Oklahoma,14,4
MBA,2019-20,7,Miami (FL),12,4
MBA,2019-20,8,Clemson,14,3
MBA,2019-20,9,Oklahoma State,13,5
MBA,2019-20,10,Cal State Northridge,10,5
MBA,2019-20,11,Northeastern,10,5
MBA,2019-20,12,North Carolina State,14,3
MBA,2019-20,13,Texas A&M,15,3
MBA,2019-20,14,UTA,12,4
MBA,2019-20,15,TCU,11,4
MBA,2019-20,16,Wichita State,13,2
MBA,2019-20,17,Wright State,6,9
MBA,2019-20,18,Florida State,12,5
MBA,2019-20,19,West Virginia,11,5
MBA,2019-20,20,UC Santa Barbara,13,2
MBA,2019-20,21,Georgia,14,4
MBA,2019-20,22,UCF,15,3
MBA,2019-20,23,Xavier,5,10
MBA,2019-20,24,San Diego,12,4
MBA,2019-20,25,Illinois State,7,9
MBA,2019-20,26,Dallas Baptist,12,4
MBA,2019-20,27,Tulane,15,2
MBA,2019-20,28,Kent State,7,7
MBA,2019-20,29,Georgia Southern,11,5
MBA,2019-20,30,FAU,10,6
MBA,2019-20,31,Notre Dame,11,2
MBA,2019-20,32,Pepperdine,12,3
MBA,2019-20,33,Coastal Carolina,11,5
MBA,2019-20,34,Texas,14,3
MBA,2019-20,35,Louisville,13,4
MBA,2019-20,36,Southern Miss,12,4
MBA,2019-20,37,LSU,12,5
MBA,2019-20,38,Iowa,9,5
MBA,2019-20,39,Indiana,9,6
MBA,2019-20,40,Mercer,13,3
MBA,2019-20,41,Santa Clara,12,5
MBA,2019-20,42,Arizona State,13,4
MBA,2019-20,43,San Diego State,10,6
MBA,2019-20,44,Texas Tech,16,3
MBA,2019-20,45,Arizona,10,5
MBA,2019-20,46,USC,10,5
MBA,2019-20,47,Arkansas,11,5
MBA,2019-20,48,Middle Tennessee,7,10
MBA,2019-20,49,Southern Illinois,12,6
MBA,2019-20,50,Mississippi State,12,4
MBA,2019-20,51,Charleston,12,2
MBA,2019-20,52,Oregon State,5,9
MBA,2019-20,53,Utah,6,7
MBA,2019-20,54,Northwestern State,12,4
MBA,2019-20,55,Georgia Tech,11,5
MBA,2019-20,56,East Tennessee State,12,3
MBA,2019-20,57,Virginia Tech,11,5
MBA,2019-20,58,Vanderbilt,13,5
MBA,2019-20,59,Penn,3,5
MBA,2019-20,60,Eastern Illinois,8,6
MBA,2019-20,61,Virginia,14,4
MBA,2019-20,62,Appalachian State,10,6
MBA,2019-20,63,Western Michigan,9,6
MBA,2019-20,64,Michigan,8,7
MBA,2019-20,65,New Mexico,14,4
MBA,2019-20,66,Illinois,8,5
MBA,2019-20,67,Louisiana Tech,11,6
MBA,2019-20,68,North Carolina,12,7
MBA,2019-20,69,ULM,12,5
MBA,2019-20,70,Northwestern,6,7
MBA,2019-20,71,Rhode Island,8,5
MBA,2019-20,72,UNCG,12,4
MBA,2019-20,73,Connecticut,8,5
MBA,2019-20,74,UNCW,11,5
MBA,2019-20,75,Long Beach State,10,5
MBA,2019-20,76,Abilene Christian,7,8
MBA,2019-20,77,New Mexico State,12,4
MBA,2019-20,78,Duke,12,4
MBA,2019-20,79,Maryland,10,5
MBA,2019-20,80,New Orleans,10,6
MBA,2019-20,81,Belmont,14,3
MBA,2019-20,82,Hawaii,9,6
MBA,2019-20,83,Lipscomb,11,5
MBA,2019-20,84,BYU,7,9
MBA,2019-20,85,UC Riverside,9,7
MBA,2019-20,86,Incarnate Word,9,7
MBA,2019-20,87,Missouri,11,5
MBA,2019-20,88,Kentucky,11,6
MBA,2019-20,89,Villanova,9,5
MBA,2019-20,90,Liberty,10,7
MBA,2019-20,91,Grand Canyon,9,9
MBA,2019-20,92,Youngstown State,7,7
MBA,2019-20,93,Tennessee,15,2
MBA,2019-20,94,Central Michigan,11,6
MBA,2019-20,95,UC Irvine,8,7
MBA,2019-20,96,Western Kentucky,10,6
MBA,2019-20,97,Hartford,6,6
MBA,2019-20,98,Samford,13,2
MBA,2019-20,99,Wofford,14,3
MBA,2019-20,100,Indiana State,8,6
MBA,2019-20,101,Radford,9,8
MBA,2019-20,102,South Carolina Upstate,13,5
MBA,2019-20,103,South Carolina,12,4
MBA,2019-20,104,Merrimack,6,9
MBA,2019-20,105,Harvard,1,5
