Sport,Season,Rank,Team,W,L
MBA,2008-09,1,Cal St. Fullerton,47,16
MBA,2008-09,2,Texas,50,16
MBA,2008-09,3,Virginia,49,15
MBA,2008-09,4,LSU,56,17
MBA,2008-09,5,North Carolina,48,18
MBA,2008-09,6,Arizona St.,51,14
MBA,2008-09,7,Arkansas,41,24
MBA,2008-09,8,TCU,40,18
MBA,2008-09,9,Georgia Tech,38,19
MBA,2008-09,10,Florida,42,22
MBA,2008-09,10,Rice,43,18
MBA,2008-09,12,Clemson,44,22
MBA,2008-09,13,Miami (FL),38,22
MBA,2008-09,14,Mississippi,44,20
MBA,2008-09,15,Florida St.,45,18
MBA,2008-09,16,UC Irvine,45,15
MBA,2008-09,17,Louisville,47,18
MBA,2008-09,18,Texas A&M,37,24
MBA,2008-09,19,Oklahoma,43,20
MBA,2008-09,20,Georgia,38,24
MBA,2008-09,21,South Carolina,40,23
MBA,2008-09,22,Kansas St.,43,18
MBA,2008-09,23,East Carolina,46,20
MBA,2008-09,24,Elon,41,18
MBA,2008-09,25,Minnesota,40,19
MBA,2008-09,26,Oklahoma St.,34,24
MBA,2008-09,27,Vanderbilt,37,27
MBA,2008-09,28,Coastal Caro.,47,16
MBA,2008-09,29,Boston College,34,26
MBA,2008-09,30,Baylor,30,26
MBA,2008-09,31,Southern Miss.,40,26
MBA,2008-09,32,Oral Roberts,33,15
MBA,2008-09,33,Auburn,31,25
MBA,2008-09,34,Texas St.,41,17
MBA,2008-09,35,Missouri,35,27
MBA,2008-09,36,Ohio St.,42,19
MBA,2008-09,37,Ga. Southern,42,17
MBA,2008-09,38,Middle Tenn.,44,18
MBA,2008-09,39,Alabama,37,21
MBA,2008-09,40,Dallas Baptist,38,17
MBA,2008-09,41,Western Ky.,42,20
MBA,2008-09,42,Oregon St.,37,19
MBA,2008-09,43,Fla. Gulf Coast,36,18
MBA,2008-09,44,Kansas,39,24
MBA,2008-09,45,San Diego St.,41,23
MBA,2008-09,46,Kentucky,28,26
MBA,2008-09,47,Gonzaga,36,18
MBA,2008-09,48,Washington St.,32,25
MBA,2008-09,49,George Mason,42,14
MBA,2008-09,50,Virginia Tech,32,21
MBA,2008-09,51,San Diego,29,25
MBA,2008-09,52,Notre Dame,36,23
MBA,2008-09,53,Jacksonville,37,22
MBA,2008-09,54,Southeastern La.,37,22
MBA,2008-09,55,Rhode Island,37,20
MBA,2008-09,56,Cal Poly,37,21
MBA,2008-09,57,Western Caro.,35,22
MBA,2008-09,58,Tennessee,26,29
MBA,2008-09,59,Xavier,39,21
MBA,2008-09,60,BYU,30,24
MBA,2008-09,61,Arizona,30,25
MBA,2008-09,62,Col. of Charleston,35,22
MBA,2008-09,63,Eastern Ill.,36,14
MBA,2008-09,64,UNC Wilmington,31,23
MBA,2008-09,65,Illinois,34,20
MBA,2008-09,66,Tulane,34,25
MBA,2008-09,67,Missouri St.,34,20
MBA,2008-09,68,Hawaii,32,26
MBA,2008-09,69,Troy,33,23
MBA,2008-09,70,Sam Houston St.,36,24
MBA,2008-09,71,UCLA,27,29
MBA,2008-09,72,Connecticut,36,24
MBA,2008-09,73,South Fla.,34,25
MBA,2008-09,74,Southern California,28,28
MBA,2008-09,75,Duke,35,24
MBA,2008-09,76,Stanford,30,25
MBA,2008-09,77,UC Riverside,33,20
MBA,2008-09,78,Kent St.,43,17
MBA,2008-09,79,Citadel,37,22
MBA,2008-09,80,San Jose St.,41,20
MBA,2008-09,81,Utah,28,31
MBA,2008-09,82,FIU,34,23
MBA,2008-09,83,Appalachian St.,33,21
MBA,2008-09,84,UTSA,32,24
MBA,2008-09,85,UC Santa Barbara,29,23
MBA,2008-09,86,Fla. Atlantic,30,26
MBA,2008-09,87,Maryland,27,27
MBA,2008-09,88,New Mexico,37,20
MBA,2008-09,89,Mississippi St.,25,29
MBA,2008-09,90,Indiana St.,33,21
MBA,2008-09,91,Kennesaw St.,30,22
MBA,2008-09,92,Texas Tech,25,32
MBA,2008-09,93,La.-Lafayette,27,30
MBA,2008-09,94,Loyola Marymount,30,29
MBA,2008-09,95,La.-Monroe,32,27
MBA,2008-09,96,Wichita St.,30,27
MBA,2008-09,97,Georgia St.,39,22
MBA,2008-09,98,James Madison,30,24
MBA,2008-09,99,North Carolina St.,25,31
MBA,2008-09,100,San Francisco,28,28
MBA,2008-09,101,Texas-Arlington,30,26
MBA,2008-09,102,West Virginia,37,18
MBA,2008-09,103,Winthrop,35,25
MBA,2008-09,104,Wake Forest,22,30
MBA,2008-09,105,Liberty,33,21
MBA,2008-09,106,Nebraska,25,28
MBA,2008-09,107,Delaware,28,20
MBA,2008-09,108,Indiana,32,27
MBA,2008-09,108,Houston,27,31
MBA,2008-09,110,Dayton,38,19
MBA,2008-09,111,Louisiana Tech,29,22
MBA,2008-09,112,St. John's (NY),30,22
MBA,2008-09,113,Jacksonville St.,31,26
MBA,2008-09,114,Tennessee Tech,31,24
MBA,2008-09,115,Creighton,31,25
MBA,2008-09,116,Long Beach St.,25,29
MBA,2008-09,117,Northeastern,28,25
MBA,2008-09,118,Lamar,38,22
MBA,2008-09,119,Bryant,32,22
MBA,2008-09,120,Le Moyne,24,23
MBA,2008-09,121,Brown,24,19
MBA,2008-09,122,Army,36,21
MBA,2008-09,123,California,24,29
MBA,2008-09,124,New Mexico St.,44,17
MBA,2008-09,125,North Fla.,23,31
MBA,2008-09,126,Penn St.,25,26
MBA,2008-09,127,Miami (OH),30,25
MBA,2008-09,128,Belmont,29,29
MBA,2008-09,129,Bethune-Cookman,32,28
MBA,2008-09,130,South Ala.,25,30
MBA,2008-09,131,UAB,31,26
MBA,2008-09,132,Pittsburgh,28,21
MBA,2008-09,133,Washington,25,30
MBA,2008-09,134,Ill.-Chicago,29,23
MBA,2008-09,135,Cincinnati,29,29
MBA,2008-09,136,St. Mary's (CA),28,27
MBA,2008-09,137,Seton Hall,25,24
MBA,2008-09,138,Pepperdine,31,23
MBA,2008-09,139,Mercer,23,23
MBA,2008-09,140,Wright St.,33,30
MBA,2008-09,141,Northwestern St.,26,26
MBA,2008-09,142,Pacific,21,32
MBA,2008-09,143,Stetson,27,30
MBA,2008-09,144,Radford,26,24
MBA,2008-09,145,Bowling Green,28,22
MBA,2008-09,146,Dartmouth,27,18
MBA,2008-09,147,Michigan,30,25
MBA,2008-09,148,Canisius,36,22
MBA,2008-09,149,Manhattan,35,18
MBA,2008-09,150,Murray St.,34,21
MBA,2008-09,151,UCF,22,35
MBA,2008-09,152,Towson,28,25
MBA,2008-09,153,Fresno St.,32,30
MBA,2008-09,154,Charlotte,33,22
MBA,2008-09,155,Lipscomb,24,32
MBA,2008-09,156,Southern U.,30,17
MBA,2008-09,157,Old Dominion,22,27
MBA,2008-09,158,East Tenn. St.,25,28
MBA,2008-09,159,Centenary (LA),33,19
MBA,2008-09,160,New Orleans,22,33
MBA,2008-09,161,Furman,24,31
MBA,2008-09,162,Stony Brook,29,23
MBA,2008-09,163,Eastern Ky.,27,24
MBA,2008-09,164,Rutgers,22,31
MBA,2008-09,165,William & Mary,24,25
MBA,2008-09,166,Purdue,25,26
MBA,2008-09,167,Binghamton,30,22
MBA,2008-09,168,Marshall,22,32
MBA,2008-09,169,Nevada,25,31
MBA,2008-09,170,Illinois St.,25,23
MBA,2008-09,171,Bucknell,22,25
MBA,2008-09,172,Sacramento St.,27,27
MBA,2008-09,173,Memphis,21,32
MBA,2008-09,174,St. Louis,30,25
MBA,2008-09,175,Marist,31,28
MBA,2008-09,176,Holy Cross,22,27
MBA,2008-09,177,Samford,17,35
MBA,2008-09,178,Arkansas St.,23,30
MBA,2008-09,179,Monmouth,32,25
MBA,2008-09,180,Cal St. Northridge,24,32
MBA,2008-09,180,Southeast Mo. St.,26,25
MBA,2008-09,182,Southern Ill.,24,28
MBA,2008-09,183,Massachusetts,27,26
MBA,2008-09,184,Campbell,27,24
MBA,2008-09,185,High Point,21,32
MBA,2008-09,186,Sacred Heart,29,27
MBA,2008-09,187,VCU,20,26
MBA,2008-09,188,Central Ark.,22,30
