Sport,Season,Rank,Team,W,L
MBA,2007-08,1,Miami (Fla.),53,11
MBA,2007-08,2,North Carolina,54,14
MBA,2007-08,3,Florida St.,54,14
MBA,2007-08,4,Rice,47,15
MBA,2007-08,5,Arizona St.,49,13
MBA,2007-08,6,Arizona,42,19
MBA,2007-08,7,Coastal Caro.,50,14
MBA,2007-08,8,LSU,49,19
MBA,2007-08,9,Stanford,41,24
MBA,2007-08,10,North Carolina St.,42,22
MBA,2007-08,11,Georgia Tech,41,21
MBA,2007-08,12,UC Irvine,42,18
MBA,2007-08,13,Wichita St.,48,17
MBA,2007-08,14,Georgia,45,25
MBA,2007-08,15,Cal St. Fullerton,41,22
MBA,2007-08,16,Nebraska,41,16
MBA,2007-08,17,Oklahoma St.,44,18
MBA,2007-08,18,Texas A&M,46,19
MBA,2007-08,19,Texas,39,22
MBA,2007-08,20,East Carolina,42,21
MBA,2007-08,21,UNC Wilmington,44,17
MBA,2007-08,22,Florida,34,24
MBA,2007-08,23,South Carolina,40,23
MBA,2007-08,24,San Diego,44,17
MBA,2007-08,25,Long Beach St.,38,21
MBA,2007-08,26,Clemson,31,27
MBA,2007-08,27,Kentucky,44,19
MBA,2007-08,28,Southern Miss.,42,22
MBA,2007-08,29,Virginia,39,23
MBA,2007-08,30,California,33,21
MBA,2007-08,31,Michigan,46,14
MBA,2007-08,32,Oral Roberts,48,14
MBA,2007-08,33,Pepperdine,38,21
MBA,2007-08,34,TCU,44,19
MBA,2007-08,35,Houston,42,24
MBA,2007-08,36,Vanderbilt,41,22
MBA,2007-08,37,Oklahoma,36,26
MBA,2007-08,38,Arkansas,34,24
MBA,2007-08,39,Dallas Baptist,37,19
MBA,2007-08,40,Mississippi,39,26
MBA,2007-08,41,Elon,44,18
MBA,2007-08,42,UCLA,33,27
MBA,2007-08,43,Missouri,39,21
MBA,2007-08,44,Washington St.,30,26
MBA,2007-08,45,UC Davis,35,24
MBA,2007-08,46,Fresno St.,47,31
MBA,2007-08,47,Tulane,39,22
MBA,2007-08,48,New Orleans,43,21
MBA,2007-08,49,Alabama,35,28
MBA,2007-08,50,Kansas St.,29,29
MBA,2007-08,51,Baylor,32,26
MBA,2007-08,52,Missouri St.,40,17
MBA,2007-08,53,Col. of Charleston,39,20
MBA,2007-08,54,Charlotte,43,16
MBA,2007-08,55,Louisville,41,21
MBA,2007-08,56,Wake Forest,25,31
MBA,2007-08,57,St. John's (N.Y.),42,16
MBA,2007-08,58,Southern California,28,28
MBA,2007-08,59,Boston College,26,27
MBA,2007-08,60,James Madison,39,19
MBA,2007-08,61,Oregon St.,28,24
MBA,2007-08,62,UC Santa Barbara,35,21
MBA,2007-08,63,UCF,31,27
MBA,2007-08,64,UTSA,39,19
MBA,2007-08,65,South Fla.,31,27
MBA,2007-08,66,New Mexico,34,25
MBA,2007-08,67,Fla. Gulf Coast,38,15
MBA,2007-08,68,Santa Clara,33,22
MBA,2007-08,69,Auburn,28,28
MBA,2007-08,70,Marshall,30,30
MBA,2007-08,71,Texas Tech,25,30
MBA,2007-08,72,Ga. Southern,33,25
MBA,2007-08,73,Appalachian St.,32,27
MBA,2007-08,74,Troy,32,26
MBA,2007-08,75,Duke,37,18
MBA,2007-08,76,San Francisco,31,26
MBA,2007-08,77,San Diego St.,31,28
MBA,2007-08,78,Fla. Atlantic,32,27
MBA,2007-08,79,William & Mary,36,21
MBA,2007-08,80,Kent St.,36,21
MBA,2007-08,81,Loyola Marymount,23,32
MBA,2007-08,82,Canisius,41,13
MBA,2007-08,83,Cincinnati,39,20
MBA,2007-08,84,Sam Houston St.,37,25
MBA,2007-08,85,UNC Greensboro,33,27
MBA,2007-08,86,Western Ky.,33,27
MBA,2007-08,87,Jacksonville St.,37,21
MBA,2007-08,88,Virginia Tech,23,32
MBA,2007-08,89,Maryland,30,26
MBA,2007-08,90,George Mason,30,25
MBA,2007-08,91,Creighton,37,21
MBA,2007-08,92,St. Mary's (Cal.),26,26
