school,urlSchool
Nevada,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
New Mexico,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
San Diego St.,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San Jose St.,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png
UNLV,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
Utah St.,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png
Wyoming,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona St.,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Colorado,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon St.,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Stanford,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Washington St.,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Georgia,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
LSU,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Ole Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Mississippi St.,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Missouri,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
South Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Vanderbilt,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Appalachian St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arkansas St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Coastal Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Georgia Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png
UL Monroe,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
South Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png
Texas St.,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png
Troy,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
Cal Poly,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Eastern Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png
Idaho,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Idaho State,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Montana,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png
Montana State,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png
Northern Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png
Northern Colorado,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png
Portland State,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png
Sacramento State,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
Southern Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png
UC Davis,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png
Weber State,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png
Charleston Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png
Campbell,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Gardner-Webb,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
Kennesaw State,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Monmouth,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
Presbyterian,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png
Albany,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png
Delaware,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Elon,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
James Madison,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Maine,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png
