Team,Conference,ConferenceAbbrev,Power5,FBS,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Michigan,Big Ten,B1G,TRUE,TRUE,Wolverines,MICH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan St.,Big Ten,B1G,TRUE,TRUE,Spartans,MSU,Michigan St,Michigan State,Mich. St.,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Minnesota,Big Ten,B1G,TRUE,TRUE,Golden Gophers,MINN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Nebraska,Big Ten,B1G,TRUE,TRUE,Cornhuskers,NEB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Northwestern,Big Ten,B1G,TRUE,TRUE,Wildcats,NW,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Ohio St.,Big Ten,B1G,TRUE,TRUE,Buckeyes,OSU,Ohio St,Ohio State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Penn State,Big Ten,B1G,TRUE,TRUE,Nittany Lions,PSU,Penn St.,Penn St,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Purdue,Big Ten,B1G,TRUE,TRUE,Boilermakers,PUR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Rutgers,Big Ten,B1G,TRUE,TRUE,Scarlet Knights,RUTG,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
Wisconsin,Big Ten,B1G,TRUE,TRUE,Badgers,WIS,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Charlotte,Conference USA,C-USA,FALSE,TRUE,49ers,CHAR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Florida Atlantic,Conference USA,C-USA,FALSE,TRUE,Owls,FAU,FL Atlantic,Fla. Atlantic,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida Intl,Conference USA,C-USA,FALSE,TRUE,Golden Panthers,FIU,Florida International,Florida Int.,Florida Intl.,Florida Int'l,Florida International Panthers,,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Louisiana Tech,Conference USA,C-USA,FALSE,TRUE,Bulldogs,LT,LA Tech,La Tech,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Marshall,Conference USA,C-USA,FALSE,TRUE,Thundering Herd,MRSH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Middle Tennessee,Conference USA,C-USA,FALSE,TRUE,Blue Raiders,MTSU,Middle Tenn,Mid Tennessee,Middle Tenn.,Middle Tennessee State,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
North Texas,Conference USA,C-USA,FALSE,TRUE,Mean Green,UNT,N Texas,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Old Dominion,Conference USA,C-USA,FALSE,TRUE,Monarchs,ODU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png
Rice,Conference USA,C-USA,FALSE,TRUE,Owls,RICE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png
Southern Miss,Conference USA,C-USA,FALSE,TRUE,Golden Eagles,USM,Southern Mississippi,Southern Miss.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
UAB,Conference USA,C-USA,FALSE,TRUE,Blazers,UAB,Alabama-Birmingham,Alabama Birmingham,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
UTEP,Conference USA,C-USA,FALSE,TRUE,Miners,UTEP,Texas El-Paso,Texas-El Paso,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
UTSA,Conference USA,C-USA,FALSE,TRUE,Roadrunners,UTSA,Texas San-Antonio,Texas-San Antonio,UT San Antonio,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Western Kentucky,Conference USA,C-USA,FALSE,TRUE,Hilltoppers,WKU,W Kentucky,W. Kentucky,Western Ky.,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Army,Independent (FBS),IND (FBS),FALSE,TRUE,Black Knights,ARMY,Army West Point,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png
BYU,Independent (FBS),IND (FBS),FALSE,TRUE,Cougars,BYU,Brigham Young,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Liberty,Independent (FBS),IND (FBS),FALSE,TRUE,Flames,LIB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Massachusetts,Independent (FBS),IND (FBS),FALSE,TRUE,Minutemen,UMASS,UMass,Mass,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png
New Mexico State,Independent (FBS),IND (FBS),FALSE,TRUE,Aggies,NMSU,New Mexico St,New Mexico St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png
Notre Dame,Independent (FBS),IND (FBS),TRUE,TRUE,Fighting Irish,ND,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Akron,Mid-American,MAC,FALSE,TRUE,Zips,AKR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Ball St.,Mid-American,MAC,FALSE,TRUE,Cardinals,BALL,Ball St,Ball State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Bowling Green,Mid-American,MAC,FALSE,TRUE,Falcons,BGSU,Bowling Green State,Bowling Green St.,Bowling Green St,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Buffalo,Mid-American,MAC,FALSE,TRUE,Bulls,BUFF,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Central Michigan,Mid-American,MAC,FALSE,TRUE,Chippewas,CMU,Cent Michigan,C Michigan,Central Mich.,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Eastern Michigan,Mid-American,MAC,FALSE,TRUE,Eagles,EMU,E Michigan,Eastern Mich.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Kent State,Mid-American,MAC,FALSE,TRUE,Golden Flashes,KENT,Kent St.,Kent St,Kent,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Miami (OH),Mid-American,MAC,FALSE,TRUE,RedHawks,M-OH,Miami (Ohio),Miami OH,"Miami, Ohio",,,,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Northern Illinois,Mid-American,MAC,FALSE,TRUE,Huskies,NIU,N Illinois,Northern Ill.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
Ohio,Mid-American,MAC,FALSE,TRUE,Bobcats,OHIO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png
Toledo,Mid-American,MAC,FALSE,TRUE,Rockets,TOL,TOLEDO,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
Western Michigan,Mid-American,MAC,FALSE,TRUE,Broncos,WMU,W Michigan,Western Mich.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
Air Force,Mountain West,MWC,FALSE,TRUE,Falcons,AFA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Boise St.,Mountain West,MWC,FALSE,TRUE,Broncos,BSU,Boise St,Boise State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Colorado St.,Mountain West,MWC,FALSE,TRUE,Rams,CSU,Colorado St,Colorado State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Fresno St.,Mountain West,MWC,FALSE,TRUE,Bulldogs,FRES,Fresno St,Fresno State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Hawaii,Mountain West,MWC,FALSE,TRUE,Rainbow Warriors,HAW,Hawai'i,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Nevada,Mountain West,MWC,FALSE,TRUE,Wolf Pack,NEV,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
New Mexico,Mountain West,MWC,FALSE,TRUE,Lobos,UNM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
San Diego St.,Mountain West,MWC,FALSE,TRUE,Aztecs,SDSU,San Diego St,San Diego State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San Jose St.,Mountain West,MWC,FALSE,TRUE,Spartans,SJSU,San Jose St,San Jose State,San José State,San Jos� St,San José St,,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png
UNLV,Mountain West,MWC,FALSE,TRUE,Rebels,UNLV,Nevada-Las Vegas,Nevada Las Vegas,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
Utah St.,Mountain West,MWC,FALSE,TRUE,Aggies,USU,Utah St,Utah State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png
Wyoming,Mountain West,MWC,FALSE,TRUE,Cowboys,WYO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
Arizona,Pac 12,Pac-12,TRUE,TRUE,Wildcats,ARIZ,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona St.,Pac 12,Pac-12,TRUE,TRUE,Sun Devils,ASU,Arizona St,Arizona State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
California,Pac 12,Pac-12,TRUE,TRUE,Golden Bears,CAL,Cal,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Colorado,Pac 12,Pac-12,TRUE,TRUE,Buffaloes,COLO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Oregon,Pac 12,Pac-12,TRUE,TRUE,Ducks,ORE,UO,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon St.,Pac 12,Pac-12,TRUE,TRUE,Beavers,ORST,Oregon St,Oregon State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Stanford,Pac 12,Pac-12,TRUE,TRUE,Cardinal,STAN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
UCLA,Pac 12,Pac-12,TRUE,TRUE,Bruins,UCLA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
USC,Pac 12,Pac-12,TRUE,TRUE,Trojans,USC,Southern Cal,Southern California,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Utah,Pac 12,Pac-12,TRUE,TRUE,Utes,UTAH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Washington,Pac 12,Pac-12,TRUE,TRUE,Huskies,WASH,UW,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Washington St.,Pac 12,Pac-12,TRUE,TRUE,Cougars,WSU,Washington St,Washington State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Alabama,Southeastern,SEC,TRUE,TRUE,Crimson Tide,ALA,BAMA,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Arkansas,Southeastern,SEC,TRUE,TRUE,Razorbacks,ARK,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Auburn,Southeastern,SEC,TRUE,TRUE,Tigers,AUB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Florida,Southeastern,SEC,TRUE,TRUE,Gators,FLA,UF,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Georgia,Southeastern,SEC,TRUE,TRUE,Bulldogs,UGA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Kentucky,Southeastern,SEC,TRUE,TRUE,Wildcats,UK,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
LSU,Southeastern,SEC,TRUE,TRUE,Tigers,LSU,Louisiana State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Ole Miss,Southeastern,SEC,TRUE,TRUE,Rebels,MISS,Mississippi,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Mississippi St.,Southeastern,SEC,TRUE,TRUE,Bulldogs,MSST,Mississippi St,Mississippi State,Miss St,Miss St.,,,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Missouri,Southeastern,SEC,TRUE,TRUE,Tigers,MIZ,MIZZ,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
South Carolina,Southeastern,SEC,TRUE,TRUE,Gamecocks,SC,SCAR,S Carolina,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Tennessee,Southeastern,SEC,TRUE,TRUE,Volunteers,TENN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Texas A&M,Southeastern,SEC,TRUE,TRUE,Aggies,TAMU,Texas A&M,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
